celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,elimination_week,final_place,weeks_participated,week1_judge_total,week1_judge_mean,week1_judge_count,week2_judge_total,week2_judge_mean,week2_judge_count,week3_judge_total,week3_judge_mean,week3_judge_count,week4_judge_total,week4_judge_mean,week4_judge_count,week5_judge_total,week5_judge_mean,week5_judge_count,week6_judge_total,week6_judge_mean,week6_judge_count,week7_judge_total,week7_judge_mean,week7_judge_count,week8_judge_total,week8_judge_mean,week8_judge_count,week9_judge_total,week9_judge_mean,week9_judge_count,week10_judge_total,week10_judge_mean,week10_judge_count,week11_judge_total,week11_judge_mean,week11_judge_count,avg_judge_total,max_judge_total,min_judge_total,std_judge_total,score_trend,partner_prev_seasons,partner_historical_avg_placement,is_us_contestant,age_group,industry_category
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,13.0,4.333333333333333,3,17.0,5.666666666666667,3,21.0,7.0,3,26.0,8.666666666666666,3,23.5,7.833333333333333,3,27.5,9.166666666666666,3,,,0,,,0,,,0,,,0,,,0,21.333333333333332,27.5,13.0,5.52871293039046,8.666666666666668,0,6.814726840855107,1,26-35,Entertainment
Paulina Porizkova,Alec Mazo,Model,Unknown,Czechoslovakia,41,4,Eliminated Week 2,11,6.0,6.0,7.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,19.0,6.333333333333333,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,20.0,21.0,19.0,1.4142135623730951,,1,1.0,0,36-45,Model
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,6.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,16.0,5.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,16.0,16.0,16.0,,,2,6.0,1,26-35,Model
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,7.5,7.0,8.0,,7.0,8.0,8.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,22.5,7.5,3,23.0,7.666666666666667,3,22.0,7.333333333333333,3,22.0,7.333333333333333,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,22.3,23.0,22.0,0.4472135954999579,-0.5,3,8.0,1,36-45,Entertainment
Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,9,Eliminated Week 5,10,9.6666,8.6666,8.6666,,7.0,7.0,7.0,,9.0,8.0,9.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,26.9998,8.999933333333333,3,21.0,7.0,3,26.0,8.666666666666666,3,24.0,8.0,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,23.999959999999998,26.9998,21.0,2.549450922845937,-0.666599999999999,4,8.0,1,26-35,Sports
Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,19,Eliminated Week 6,9,8.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,6.0,,6.0,30.0,7.5,4,30.0,7.5,4,32.0,8.0,4,24.0,6.0,4,24.0,6.0,4,32.0,8.0,4,,,0,,,0,,,0,,,0,,,0,28.666666666666668,32.0,24.0,3.7237973450050514,-4.0,0,6.814726840855107,1,26-35,Entertainment
Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,20,2nd Place,2,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,8.5,9.5,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,2.0,10.0,31.0,7.75,4,32.0,8.0,4,34.0,8.5,4,34.0,8.5,4,38.0,9.5,4,38.0,9.5,4,37.0,9.25,4,39.0,9.75,4,40.0,10.0,4,40.0,10.0,4,,,0,36.3,40.0,31.0,3.301514803843836,7.333333333333329,1,9.0,1,≤25,Entertainment
Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,21,Eliminated Week 8,7,7.0,7.0,7.0,,7.5,7.5,7.0,,7.0,7.0,8.0,7.0,7.0,8.0,8.0,,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.5,9.5,9.0,,8.6666,7.6666,7.6666,,,,,,,,,,,,,,8.0,,8.0,21.0,7.0,3,22.0,7.333333333333333,3,29.0,7.25,4,23.0,7.666666666666667,3,36.0,9.0,4,40.0,10.0,4,28.0,9.333333333333334,3,23.9998,7.999933333333334,3,,,0,,,0,,,0,27.874975,40.0,21.0,6.916610958255289,6.666599999999999,2,5.5,1,26-35,Entertainment
Babyface,Allison Holker,Singer/Rapper,Indiana,United States,57,23,Eliminated Week 4,11,7.0,6.0,6.0,7.0,8.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,26.0,6.5,4,30.0,7.5,4,25.0,6.25,4,18.0,6.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.75,30.0,18.0,4.9916597106239795,-2.666666666666668,3,6.0,1,>55,Entertainment
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,13.0,4.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,13.0,13.0,13.0,,,0,6.814726840855107,1,46-55,Media
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,7.0,6.0,6.0,,7.0,7.0,6.0,,5.0,4.0,5.0,,5.0,6.0,5.0,,7.0,7.0,7.0,,6.6666,8.6666,6.6666,,8.0,8.0,7.5,,,,,,,,,,,,,,,,,,7.0,,7.0,19.0,6.333333333333333,3,20.0,6.666666666666667,3,14.0,4.666666666666667,3,16.0,5.333333333333333,3,21.0,7.0,3,21.9998,7.333266666666667,3,23.5,7.833333333333333,3,,,0,,,0,,,0,,,0,19.357114285714285,23.5,14.0,3.350524480052126,4.499933333333331,0,6.814726840855107,1,36-45,Sports
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,,2.0,8.0,21.0,7.0,3,23.0,7.666666666666667,3,19.0,6.333333333333333,3,24.0,8.0,3,23.0,7.666666666666667,3,23.0,7.666666666666667,3,20.5,6.833333333333333,3,26.666600000000003,8.888866666666667,3,,,0,,,0,,,0,22.520825000000002,26.666600000000003,19.0,2.3560586372462935,2.3888666666666687,0,6.814726840855107,1,36-45,Sports
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,7.0,7.0,7.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,21.0,7.0,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,21.0,21.0,21.0,0.0,,1,2.0,1,≤25,Model
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,6.0,6.0,6.0,,6.0,5.0,5.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,18.0,6.0,3,16.0,5.333333333333333,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,18.333333333333332,21.0,16.0,2.5166114784235836,,2,6.5,1,46-55,Entertainment
Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,9,Eliminated Week 4,11,8.0,7.0,7.0,,6.0,7.0,6.0,,6.0,5.0,6.0,,6.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,22.0,7.333333333333333,3,19.0,6.333333333333333,3,17.0,5.666666666666667,3,17.0,5.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,18.75,22.0,17.0,2.362907813126304,-1.6666666666666643,3,7.666666666666667,1,36-45,Sports
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,8.0,7.0,8.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,8.5,9.0,,10.0,9.5,10.0,,9.3333,8.7777,8.7777,,,,,,,2.0,10.0,23.0,7.666666666666667,3,24.0,8.0,3,26.0,8.666666666666666,3,26.0,8.666666666666666,3,27.0,9.0,3,27.0,9.0,3,27.0,9.0,3,26.5,8.833333333333334,3,29.5,9.833333333333334,3,26.888699999999996,8.9629,3,,,0,26.288869999999996,29.5,23.0,1.778117885137103,3.2962333333333333,4,8.5,1,≤25,Sports
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,7.0,5.0,7.0,,7.0,7.0,7.0,,8.0,8.0,7.0,,6.0,5.5,5.5,,8.0,8.0,8.0,,7.3333,7.3333,7.3333,,9.5,8.5,8.5,8.5,8.0,8.0,8.0,,,,,,,,,,,,,,8.0,,8.0,19.0,6.333333333333333,3,21.0,7.0,3,23.0,7.666666666666667,3,17.0,5.666666666666667,3,24.0,8.0,3,21.9999,7.3333,3,35.0,8.75,4,24.0,8.0,3,,,0,,,0,,,0,23.1249875,35.0,17.0,5.3835095431558395,5.999966666666666,5,7.2,1,36-45,Sports
Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,Eliminated Week 4,9,6.0,5.0,6.0,,6.0,5.0,6.0,,7.0,6.0,7.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,17.0,5.666666666666667,3,17.0,5.666666666666667,3,20.0,6.666666666666667,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,18.75,21.0,17.0,2.0615528128088303,1.3333333333333321,6,6.833333333333333,1,46-55,Sports
Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,Eliminated Week 5,8,6.0,5.0,6.0,,6.0,6.0,6.0,,8.0,7.0,8.0,,7.0,6.0,7.0,,6.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,17.0,5.666666666666667,3,18.0,6.0,3,23.0,7.666666666666667,3,20.0,6.666666666666667,3,19.0,6.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,19.4,23.0,17.0,2.3021728866442674,1.3333333333333357,7,7.142857142857143,1,36-45,Media
Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,Eliminated Week 3,11,8.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,23.0,7.666666666666667,3,21.0,7.0,3,24.0,8.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,22.666666666666668,24.0,21.0,1.5275252316519465,,8,7.25,1,46-55,Entertainment
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,15,Eliminated Week 3,11,7.0,7.0,7.5,,7.5,7.5,7.5,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,21.5,7.166666666666667,3,22.5,7.5,3,24.0,8.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,22.666666666666668,24.0,21.5,1.2583057392117916,,9,7.666666666666667,1,36-45,Entertainment
Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,21,Eliminated Week 4,10,5.0,5.0,5.0,,5.5,5.5,5.5,,6.0,7.0,6.0,6.0,5.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,15.0,5.0,3,16.5,5.5,3,25.0,6.25,4,16.0,5.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,18.125,25.0,15.0,4.625563028792639,0.3333333333333357,10,8.0,1,>55,Entertainment
Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,19,Eliminated Week 9,6,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0,8.0,8.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.5,8.5,9.0,9.0,8.0,8.0,8.0,8.0,8.5,9.0,8.5,9.0,,,,,,,,,9.0,,9.0,32.0,8.0,4,35.0,8.75,4,31.0,7.75,4,39.0,9.75,4,34.0,8.5,4,32.0,8.0,4,35.0,8.75,4,32.0,8.0,4,35.0,8.75,4,,,0,,,0,33.888888888888886,39.0,31.0,2.4720661623652207,1.3333333333333357,0,6.814726840855107,1,46-55,Entertainment
Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Pennsylvania,United States,70,20,Eliminated Week 6,8,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,6.0,8.0,7.0,7.0,8.0,7.0,6.0,7.0,7.0,9.0,8.0,8.5,8.5,,,,,,,,,,,,,,,,,,,,,6.0,,6.0,25.0,6.25,4,28.0,7.0,4,22.0,5.5,4,30.0,7.5,4,27.0,6.75,4,34.0,8.5,4,,,0,,,0,,,0,,,0,,,0,27.666666666666668,34.0,22.0,4.131182235954578,5.333333333333332,1,6.0,1,>55,Entertainment
Mischa Barton,Artem Chigvintsev,Actor/Actress,Unknown,England,30,22,Eliminated Week 3,11,5.0,5.0,6.0,,5.0,5.0,5.0,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,16.0,5.333333333333333,3,15.0,5.0,3,18.0,6.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,16.333333333333332,18.0,15.0,1.5275252316519465,,2,7.0,0,26-35,Entertainment
Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,23,Eliminated Week 7,8,6.0,5.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,7.0,8.0,8.0,8.5,8.0,8.0,8.5,,,,,,,,,,,,,,,,,7.0,,7.0,22.0,5.5,4,26.0,6.5,4,28.0,7.0,4,24.0,8.0,3,24.0,8.0,3,31.0,7.75,4,33.0,8.25,4,,,0,,,0,,,0,,,0,26.857142857142858,33.0,22.0,4.0178174601214955,4.0,3,8.333333333333334,1,>55,Entertainment
Nancy Kerrigan,Artem Chigvintsev,Athlete,Massachusetts,United States,47,24,Eliminated Week 7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.5,8.5,8.0,8.5,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,7.0,,7.0,28.0,7.0,4,28.0,7.0,4,33.0,8.25,4,33.0,8.25,4,36.0,9.0,4,33.5,8.375,4,36.0,9.0,4,,,0,,,0,,,0,,,0,32.5,36.0,28.0,3.3291640592396967,5.4999999999999964,4,8.25,1,46-55,Sports
Nikki Bella,Artem Chigvintsev,Athlete,California,United States,33,25,Eliminated Week 7,8,7.0,7.0,6.0,,6.5,6.5,6.5,,7.0,7.0,7.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,9.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,7.0,,7.0,20.0,6.666666666666667,3,19.5,6.5,3,21.0,7.0,3,24.0,8.0,3,27.0,9.0,3,36.0,9.0,4,24.0,8.0,3,,,0,,,0,,,0,,,0,24.5,36.0,19.5,5.722761571129799,8.833333333333332,5,8.0,1,26-35,Sports
Jamie Anderson,Artem Chigvintsev,Athlete,California,United States,27,26,Eliminated Week 1,10,6.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,19.0,6.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,19.0,19.0,19.0,,,6,8.0,1,26-35,Sports
Danelle Umstead,Artem Chigvintsev,Athlete,New Mexico,United States,46,27,Eliminated Week 2,12,6.0,6.0,6.0,,6.5,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,18.0,6.0,3,18.5,6.166666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,18.25,18.5,18.0,0.3535533905932738,,7,8.285714285714286,1,46-55,Sports
Kaitlyn Bristowe,Artem Chigvintsev,TV Personality,Unknown,Canada,35,29,1st Place,1,6.0,7.0,7.0,,7.0,8.0,7.0,,8.0,7.0,8.0,,9.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,7.0,9.0,8.0,,9.0,10.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,,1.0,11.0,20.0,6.666666666666667,3,22.0,7.333333333333333,3,23.0,7.666666666666667,3,25.0,8.333333333333334,3,27.0,9.0,3,27.0,9.0,3,24.0,8.0,3,28.0,9.333333333333334,3,30.0,10.0,3,30.0,10.0,3,30.0,10.0,3,26.0,30.0,20.0,3.4641016151377544,8.333333333333332,8,8.75,0,26-35,Media
Melora Hardin,Artem Chigvintsev,Actor/Actress,Texas,United States,54,30,Eliminated Week 9,6,7.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,8.0,7.0,8.0,,9.0,9.5,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.5,9.5,9.5,9.5,10.5,10.5,10.5,10.5,8.5,9.5,9.0,9.0,,,,,,,,,9.0,,9.0,26.0,6.5,4,27.0,6.75,4,23.0,7.666666666666667,3,36.5,9.125,4,36.0,9.0,4,34.0,8.5,4,38.0,9.5,4,42.0,10.5,4,36.0,9.0,4,,,0,,,0,33.166666666666664,42.0,23.0,6.34428877022476,13.333333333333332,9,7.888888888888889,1,46-55,Entertainment
