celebrity_name,season,week,judge_total,judge_mean,judge_count,judge1_score,judge2_score,judge3_score,judge4_score,placement,elimination_week,is_elimination_week,celebrity_industry,industry_category,age,age_group,partner,partner_experience,home_country,home_state,is_us,weekly_rank,weekly_rank_pct
Hannah Brown,28,5,25.0,8.333333333333334,3,9.0,7.0,9.0,,1,,False,TV Personality,Media,24,≤25,Alan Bersten,3,United States,Alabama,1,4.0,0.4444444444444444
Hannah Brown,28,6,24.0,8.0,3,8.0,8.0,8.0,,1,,False,TV Personality,Media,24,≤25,Alan Bersten,3,United States,Alabama,1,8.0,0.8888888888888888
Hannah Brown,28,7,26.0,8.666666666666666,3,8.5,9.0,8.5,,1,,False,TV Personality,Media,24,≤25,Alan Bersten,3,United States,Alabama,1,4.0,0.5
Hannah Brown,28,8,30.9998,10.333266666666667,3,10.6666,9.6666,10.6666,,1,,False,TV Personality,Media,24,≤25,Alan Bersten,3,United States,Alabama,1,2.0,0.2857142857142857
Hannah Brown,28,9,35.5,8.875,4,9.0,8.5,9.0,9.0,1,,False,TV Personality,Media,24,≤25,Alan Bersten,3,United States,Alabama,1,4.0,0.6666666666666666
Hannah Brown,28,10,27.0,9.0,3,9.0,9.0,9.0,,1,,False,TV Personality,Media,24,≤25,Alan Bersten,3,United States,Alabama,1,3.0,0.7
Hannah Brown,28,11,29.0,9.666666666666666,3,10.0,9.5,9.5,,1,,False,TV Personality,Media,24,≤25,Alan Bersten,3,United States,Alabama,1,3.0,0.75
Skai Jackson,29,1,21.0,7.0,3,7.0,7.0,7.0,,5,10.0,False,Actor/Actress,Entertainment,18,≤25,Alan Bersten,4,United States,New York,1,1.0,0.1
Skai Jackson,29,2,15.0,5.0,3,5.0,5.0,5.0,,5,10.0,False,Actor/Actress,Entertainment,18,≤25,Alan Bersten,4,United States,New York,1,14.0,0.9666666666666667
Skai Jackson,29,3,18.0,6.0,3,6.0,6.0,6.0,,5,10.0,False,Actor/Actress,Entertainment,18,≤25,Alan Bersten,4,United States,New York,1,11.0,0.8214285714285714
Skai Jackson,29,4,28.0,9.333333333333334,3,10.0,9.0,9.0,,5,10.0,False,Actor/Actress,Entertainment,18,≤25,Alan Bersten,4,United States,New York,1,1.0,0.07692307692307693
Skai Jackson,29,5,24.0,8.0,3,8.0,8.0,8.0,,5,10.0,False,Actor/Actress,Entertainment,18,≤25,Alan Bersten,4,United States,New York,1,5.0,0.5833333333333334
Skai Jackson,29,6,18.0,6.0,3,6.0,6.0,6.0,,5,10.0,False,Actor/Actress,Entertainment,18,≤25,Alan Bersten,4,United States,New York,1,11.0,1.0
Skai Jackson,29,7,27.0,9.0,3,9.0,9.0,9.0,,5,10.0,False,Actor/Actress,Entertainment,18,≤25,Alan Bersten,4,United States,New York,1,2.0,0.3
Skai Jackson,29,8,26.9998,8.999933333333333,3,8.6666,9.6666,8.6666,,5,10.0,False,Actor/Actress,Entertainment,18,≤25,Alan Bersten,4,United States,New York,1,7.0,0.875
Skai Jackson,29,9,28.9998,9.6666,3,9.6666,9.6666,9.6666,,5,10.0,False,Actor/Actress,Entertainment,18,≤25,Alan Bersten,4,United States,New York,1,3.0,0.5
Skai Jackson,29,10,28.5,9.5,3,9.5,9.5,9.5,,5,10.0,True,Actor/Actress,Entertainment,18,≤25,Alan Bersten,4,United States,New York,1,4.0,0.75
Amanda Kloots,30,1,28.0,7.0,4,7.0,7.0,7.0,7.0,4,,False,TV Personality,Media,39,36-45,Alan Bersten,5,United States,Ohio,1,2.0,0.16666666666666666
Amanda Kloots,30,2,32.0,8.0,4,8.0,8.0,8.0,8.0,4,,False,TV Personality,Media,39,36-45,Alan Bersten,5,United States,Ohio,1,1.0,0.06666666666666667
Amanda Kloots,30,3,24.0,8.0,3,8.0,8.0,8.0,,4,,False,TV Personality,Media,39,36-45,Alan Bersten,5,United States,Ohio,1,1.0,0.14285714285714285
Amanda Kloots,30,4,34.0,8.5,4,8.5,8.5,8.5,8.5,4,,False,TV Personality,Media,39,36-45,Alan Bersten,5,United States,Ohio,1,4.0,0.34615384615384615
Amanda Kloots,30,5,39.0,9.75,4,10.0,10.0,9.0,10.0,4,,False,TV Personality,Media,39,36-45,Alan Bersten,5,United States,Ohio,1,2.0,0.18181818181818182
Amanda Kloots,30,6,38.0,9.5,4,9.0,9.0,10.0,10.0,4,,False,TV Personality,Media,39,36-45,Alan Bersten,5,United States,Ohio,1,3.0,0.35
Amanda Kloots,30,7,34.0,8.5,4,8.25,8.25,8.25,9.25,4,,False,TV Personality,Media,39,36-45,Alan Bersten,5,United States,Ohio,1,6.0,0.7777777777777778
Amanda Kloots,30,8,42.0,10.5,4,10.5,10.5,10.5,10.5,4,,False,TV Personality,Media,39,36-45,Alan Bersten,5,United States,Ohio,1,1.0,0.25
Amanda Kloots,30,9,39.5,9.875,4,9.5,10.0,10.0,10.0,4,,False,TV Personality,Media,39,36-45,Alan Bersten,5,United States,Ohio,1,2.0,0.3333333333333333
Amanda Kloots,30,10,39.0,9.75,4,9.5,10.0,9.5,10.0,4,,False,TV Personality,Media,39,36-45,Alan Bersten,5,United States,Ohio,1,3.0,0.75
Jessie James Decker,31,1,20.0,5.0,4,5.0,5.0,5.0,5.0,10,6.0,False,Singer/Rapper,Entertainment,34,26-35,Alan Bersten,6,Italy,Unknown,0,12.0,0.8125
Jessie James Decker,31,2,25.0,6.25,4,7.0,6.0,6.0,6.0,10,6.0,False,Singer/Rapper,Entertainment,34,26-35,Alan Bersten,6,Italy,Unknown,0,12.0,0.8
Jessie James Decker,31,3,26.0,6.5,4,6.0,6.0,7.0,7.0,10,6.0,False,Singer/Rapper,Entertainment,34,26-35,Alan Bersten,6,Italy,Unknown,0,11.0,0.7857142857142857
Jessie James Decker,31,4,31.0,7.75,4,8.0,7.0,8.0,8.0,10,6.0,False,Singer/Rapper,Entertainment,34,26-35,Alan Bersten,6,Italy,Unknown,0,8.0,0.6153846153846154
Jessie James Decker,31,5,36.0,9.0,4,8.875,8.875,9.375,8.875,10,6.0,False,Singer/Rapper,Entertainment,34,26-35,Alan Bersten,6,Italy,Unknown,0,7.0,0.625
Jessie James Decker,31,6,32.0,8.0,4,8.0,8.0,8.0,8.0,10,6.0,True,Singer/Rapper,Entertainment,34,26-35,Alan Bersten,6,Italy,Unknown,0,9.0,0.9
Jamie Lynn Spears,32,1,15.0,5.0,3,5.0,5.0,5.0,,13,2.0,False,Actor/Actress,Entertainment,32,26-35,Alan Bersten,7,United States,Mississippi,1,9.0,0.6785714285714286
Jamie Lynn Spears,32,2,16.0,5.333333333333333,3,6.0,5.0,5.0,,13,2.0,True,Actor/Actress,Entertainment,32,26-35,Alan Bersten,7,United States,Mississippi,1,9.0,0.6923076923076923
Ilona Maher,33,1,18.0,6.0,3,6.0,6.0,6.0,,2,,False,Athlete,Sports,28,26-35,Alan Bersten,8,United States,California,1,8.0,0.6923076923076923
Ilona Maher,33,2,21.0,7.0,3,7.0,7.0,7.0,,2,,False,Athlete,Sports,28,26-35,Alan Bersten,8,United States,California,1,5.0,0.46153846153846156
Ilona Maher,33,3,28.0,7.0,4,7.5,7.0,7.0,6.5,2,,False,Athlete,Sports,28,26-35,Alan Bersten,8,United States,California,1,7.0,0.6818181818181818
Ilona Maher,33,4,32.0,8.0,4,8.0,8.0,8.0,8.0,2,,False,Athlete,Sports,28,26-35,Alan Bersten,8,United States,California,1,4.0,0.6666666666666666
Ilona Maher,33,5,26.0,8.666666666666666,3,9.0,8.5,8.5,,2,,False,Athlete,Sports,28,26-35,Alan Bersten,8,United States,California,1,2.0,0.3125
Ilona Maher,33,6,24.0,8.0,3,8.0,8.0,8.0,,2,,False,Athlete,Sports,28,26-35,Alan Bersten,8,United States,California,1,7.0,1.0
Ilona Maher,33,7,26.0,8.666666666666666,3,9.0,8.5,8.5,,2,,False,Athlete,Sports,28,26-35,Alan Bersten,8,United States,California,1,4.0,0.6666666666666666
Ilona Maher,33,8,28.5,9.5,3,9.5,9.5,9.5,,2,,False,Athlete,Sports,28,26-35,Alan Bersten,8,United States,California,1,3.0,0.6
Ilona Maher,33,9,28.5,9.5,3,9.5,9.5,9.5,,2,,False,Athlete,Sports,28,26-35,Alan Bersten,8,United States,California,1,4.0,0.8
Elaine Hendrix,34,1,12.0,6.0,2,6.0,6.0,,,5,,False,Actor/Actress,Entertainment,55,46-55,Alan Bersten (Rashad Jennings week 9),0,United States,Georgia,1,6.0,0.5
Elaine Hendrix,34,2,21.0,7.0,3,7.0,7.0,7.0,,5,,False,Actor/Actress,Entertainment,55,46-55,Alan Bersten (Rashad Jennings week 9),0,United States,Georgia,1,5.0,0.4642857142857143
Elaine Hendrix,34,3,21.0,7.0,3,7.0,7.0,7.0,,5,,False,Actor/Actress,Entertainment,55,46-55,Alan Bersten (Rashad Jennings week 9),0,United States,Georgia,1,8.0,0.7083333333333334
Elaine Hendrix,34,4,24.0,8.0,3,8.0,8.0,8.0,,5,,False,Actor/Actress,Entertainment,55,46-55,Alan Bersten (Rashad Jennings week 9),0,United States,Georgia,1,2.0,0.2727272727272727
Elaine Hendrix,34,5,30.0,7.5,4,8.0,7.0,7.0,8.0,5,,False,Actor/Actress,Entertainment,55,46-55,Alan Bersten (Rashad Jennings week 9),0,United States,Georgia,1,6.0,0.65
Elaine Hendrix,34,6,36.0,9.0,4,9.0,9.0,9.0,9.0,5,,False,Actor/Actress,Entertainment,55,46-55,Alan Bersten (Rashad Jennings week 9),0,United States,Georgia,1,3.0,0.4
Elaine Hendrix,34,7,32.0,8.0,4,8.0,8.0,8.0,8.0,5,,False,Actor/Actress,Entertainment,55,46-55,Alan Bersten (Rashad Jennings week 9),0,United States,Georgia,1,8.0,0.8888888888888888
Elaine Hendrix,34,8,37.5,9.375,4,9.0,9.5,10.0,9.0,5,,False,Actor/Actress,Entertainment,55,46-55,Alan Bersten (Rashad Jennings week 9),0,United States,Georgia,1,6.0,0.75
Elaine Hendrix,34,9,36.0,9.0,4,9.0,9.0,9.0,9.0,5,,False,Actor/Actress,Entertainment,55,46-55,Alan Bersten (Rashad Jennings week 9),0,United States,Georgia,1,6.0,0.8571428571428571
Elaine Hendrix,34,10,28.5,9.5,3,9.5,9.5,9.5,,5,,False,Actor/Actress,Entertainment,55,46-55,Alan Bersten (Rashad Jennings week 9),0,United States,Georgia,1,4.0,0.75
Elaine Hendrix,34,11,28.9998,9.6666,3,9.6666,9.6666,9.6666,,5,,False,Actor/Actress,Entertainment,55,46-55,Alan Bersten (Rashad Jennings week 9),0,United States,Georgia,1,5.0,1.0
Kelly Monaco,1,1,13.0,4.333333333333333,3,5.0,4.0,4.0,,1,,False,Actor/Actress,Entertainment,29,26-35,Alec Mazo,0,United States,Pennsylvania,1,6.0,1.0
Kelly Monaco,1,2,17.0,5.666666666666667,3,5.0,6.0,6.0,,1,,False,Actor/Actress,Entertainment,29,26-35,Alec Mazo,0,United States,Pennsylvania,1,5.0,0.8333333333333334
Kelly Monaco,1,3,21.0,7.0,3,6.0,7.0,8.0,,1,,False,Actor/Actress,Entertainment,29,26-35,Alec Mazo,0,United States,Pennsylvania,1,4.0,0.8
Kelly Monaco,1,4,26.0,8.666666666666666,3,9.0,9.0,8.0,,1,,False,Actor/Actress,Entertainment,29,26-35,Alec Mazo,0,United States,Pennsylvania,1,1.0,0.25
Kelly Monaco,1,5,23.5,7.833333333333333,3,8.5,7.5,7.5,,1,,False,Actor/Actress,Entertainment,29,26-35,Alec Mazo,0,United States,Pennsylvania,1,2.0,0.6666666666666666
Kelly Monaco,1,6,27.5,9.166666666666666,3,8.5,9.5,9.5,,1,,False,Actor/Actress,Entertainment,29,26-35,Alec Mazo,0,United States,Pennsylvania,1,1.0,0.5
Paulina Porizkova,4,1,19.0,6.333333333333333,3,6.0,6.0,7.0,,11,2.0,False,Model,Model,41,36-45,Alec Mazo,1,Czechoslovakia,Unknown,0,5.0,0.5
Paulina Porizkova,4,2,21.0,7.0,3,7.0,7.0,7.0,,11,2.0,True,Model,Model,41,36-45,Alec Mazo,1,Czechoslovakia,Unknown,0,6.0,0.6818181818181818
Josie Maran,5,1,16.0,5.333333333333333,3,6.0,5.0,5.0,,12,1.0,True,Model,Model,29,26-35,Alec Mazo,2,United States,California,1,12.0,1.0
Toni Braxton,7,1,22.5,7.5,3,7.5,7.0,8.0,,8,5.0,False,Singer/Rapper,Entertainment,40,36-45,Alec Mazo,3,United States,Maryland,1,2.0,0.15384615384615385
Toni Braxton,7,2,23.0,7.666666666666667,3,7.0,8.0,8.0,,8,5.0,False,Singer/Rapper,Entertainment,40,36-45,Alec Mazo,3,United States,Maryland,1,3.0,0.2727272727272727
Toni Braxton,7,3,22.0,7.333333333333333,3,8.0,7.0,7.0,,8,5.0,False,Singer/Rapper,Entertainment,40,36-45,Alec Mazo,3,United States,Maryland,1,4.0,0.5
Toni Braxton,7,4,22.0,7.333333333333333,3,7.0,7.0,8.0,,8,5.0,False,Singer/Rapper,Entertainment,40,36-45,Alec Mazo,3,United States,Maryland,1,5.0,0.6666666666666666
Toni Braxton,7,5,22.0,7.333333333333333,3,7.0,7.0,8.0,,8,5.0,True,Singer/Rapper,Entertainment,40,36-45,Alec Mazo,3,United States,Maryland,1,5.0,0.6875
Natalie Coughlin,9,1,26.9998,8.999933333333333,3,9.6666,8.6666,8.6666,,10,5.0,False,Athlete,Sports,27,26-35,Alec Mazo,4,United States,California,1,7.0,0.46875
Natalie Coughlin,9,2,21.0,7.0,3,7.0,7.0,7.0,,10,5.0,False,Athlete,Sports,27,26-35,Alec Mazo,4,United States,California,1,4.0,0.35714285714285715
Natalie Coughlin,9,3,26.0,8.666666666666666,3,9.0,8.0,9.0,,10,5.0,False,Athlete,Sports,27,26-35,Alec Mazo,4,United States,California,1,2.0,0.15384615384615385
Natalie Coughlin,9,4,24.0,8.0,3,8.0,8.0,8.0,,10,5.0,False,Athlete,Sports,27,26-35,Alec Mazo,4,United States,California,1,4.0,0.4090909090909091
Natalie Coughlin,9,5,22.0,7.333333333333333,3,7.0,8.0,7.0,,10,5.0,True,Athlete,Sports,27,26-35,Alec Mazo,4,United States,California,1,8.0,0.85
Jonathan Bennett,19,1,30.0,7.5,4,8.0,7.0,7.0,8.0,9,6.0,False,Actor/Actress,Entertainment,33,26-35,Allison Holker,0,United States,Ohio,1,6.0,0.46153846153846156
Jonathan Bennett,19,2,30.0,7.5,4,7.0,7.0,8.0,8.0,9,6.0,False,Actor/Actress,Entertainment,33,26-35,Allison Holker,0,United States,Ohio,1,7.0,0.5833333333333334
Jonathan Bennett,19,3,32.0,8.0,4,8.0,8.0,8.0,8.0,9,6.0,False,Actor/Actress,Entertainment,33,26-35,Allison Holker,0,United States,Ohio,1,4.0,0.45454545454545453
Jonathan Bennett,19,4,24.0,6.0,4,6.0,6.0,6.0,6.0,9,6.0,False,Actor/Actress,Entertainment,33,26-35,Allison Holker,0,United States,Ohio,1,10.0,1.0
Jonathan Bennett,19,5,24.0,6.0,4,6.0,6.0,6.0,6.0,9,6.0,False,Actor/Actress,Entertainment,33,26-35,Allison Holker,0,United States,Ohio,1,7.0,0.7777777777777778
Jonathan Bennett,19,6,32.0,8.0,4,8.0,8.0,8.0,8.0,9,6.0,True,Actor/Actress,Entertainment,33,26-35,Allison Holker,0,United States,Ohio,1,5.0,0.6111111111111112
Riker Lynch,20,1,31.0,7.75,4,8.0,7.0,8.0,8.0,2,,False,Actor/Actress,Entertainment,23,≤25,Allison Holker,1,United States,Colorado,1,2.0,0.16666666666666666
Riker Lynch,20,2,32.0,8.0,4,8.0,8.0,8.0,8.0,2,,False,Actor/Actress,Entertainment,23,≤25,Allison Holker,1,United States,Colorado,1,2.0,0.25
Riker Lynch,20,3,34.0,8.5,4,9.0,7.0,9.0,9.0,2,,False,Actor/Actress,Entertainment,23,≤25,Allison Holker,1,United States,Colorado,1,1.0,0.13636363636363635
Riker Lynch,20,4,34.0,8.5,4,8.0,8.0,9.0,9.0,2,,False,Actor/Actress,Entertainment,23,≤25,Allison Holker,1,United States,Colorado,1,4.0,0.45
Riker Lynch,20,5,38.0,9.5,4,10.0,9.0,9.0,10.0,2,,False,Actor/Actress,Entertainment,23,≤25,Allison Holker,1,United States,Colorado,1,2.0,0.2777777777777778
Riker Lynch,20,6,38.0,9.5,4,10.0,8.5,9.5,10.0,2,,False,Actor/Actress,Entertainment,23,≤25,Allison Holker,1,United States,Colorado,1,1.0,0.125
Riker Lynch,20,7,37.0,9.25,4,9.0,10.0,9.0,9.0,2,,False,Actor/Actress,Entertainment,23,≤25,Allison Holker,1,United States,Colorado,1,4.0,0.6428571428571429
Riker Lynch,20,8,39.0,9.75,4,10.0,9.0,10.0,10.0,2,,False,Actor/Actress,Entertainment,23,≤25,Allison Holker,1,United States,Colorado,1,2.0,0.3333333333333333
Riker Lynch,20,9,40.0,10.0,4,10.0,10.0,10.0,10.0,2,,False,Actor/Actress,Entertainment,23,≤25,Allison Holker,1,United States,Colorado,1,1.0,0.375
Riker Lynch,20,10,40.0,10.0,4,10.0,10.0,10.0,10.0,2,,False,Actor/Actress,Entertainment,23,≤25,Allison Holker,1,United States,Colorado,1,1.0,0.5
Andy Grammer,21,1,21.0,7.0,3,7.0,7.0,7.0,,7,8.0,False,Singer/Rapper,Entertainment,31,26-35,Allison Holker,2,United States,California,1,7.0,0.5769230769230769
Andy Grammer,21,2,22.0,7.333333333333333,3,7.5,7.5,7.0,,7,8.0,False,Singer/Rapper,Entertainment,31,26-35,Allison Holker,2,United States,California,1,8.0,0.6153846153846154
Andy Grammer,21,3,29.0,7.25,4,7.0,7.0,8.0,7.0,7,8.0,False,Singer/Rapper,Entertainment,31,26-35,Allison Holker,2,United States,California,1,8.0,0.8
Andy Grammer,21,4,23.0,7.666666666666667,3,7.0,8.0,8.0,,7,8.0,False,Singer/Rapper,Entertainment,31,26-35,Allison Holker,2,United States,California,1,7.0,0.7
Andy Grammer,21,5,36.0,9.0,4,9.0,9.0,9.0,9.0,7,8.0,False,Singer/Rapper,Entertainment,31,26-35,Allison Holker,2,United States,California,1,4.0,0.4444444444444444
Andy Grammer,21,6,40.0,10.0,4,10.0,10.0,10.0,10.0,7,8.0,False,Singer/Rapper,Entertainment,31,26-35,Allison Holker,2,United States,California,1,1.0,0.2222222222222222
Andy Grammer,21,7,28.0,9.333333333333334,3,9.5,9.5,9.0,,7,8.0,False,Singer/Rapper,Entertainment,31,26-35,Allison Holker,2,United States,California,1,2.0,0.375
Andy Grammer,21,8,23.9998,7.999933333333334,3,8.6666,7.6666,7.6666,,7,8.0,True,Singer/Rapper,Entertainment,31,26-35,Allison Holker,2,United States,California,1,7.0,1.0
Babyface,23,1,26.0,6.5,4,7.0,6.0,6.0,7.0,11,4.0,False,Singer/Rapper,Entertainment,57,>55,Allison Holker,3,United States,Indiana,1,5.0,0.4230769230769231
Babyface,23,2,30.0,7.5,4,8.0,7.0,7.0,8.0,11,4.0,False,Singer/Rapper,Entertainment,57,>55,Allison Holker,3,United States,Indiana,1,3.0,0.23076923076923078
Babyface,23,3,25.0,6.25,4,7.0,6.0,6.0,6.0,11,4.0,False,Singer/Rapper,Entertainment,57,>55,Allison Holker,3,United States,Indiana,1,8.0,0.75
Babyface,23,4,18.0,6.0,3,6.0,6.0,6.0,,11,4.0,True,Singer/Rapper,Entertainment,57,>55,Allison Holker,3,United States,Indiana,1,11.0,1.0
Kenny Mayne,2,1,13.0,4.333333333333333,3,4.0,5.0,4.0,,10,1.0,True,Sports Broadcaster,Media,46,46-55,Andrea Hale,0,United States,Washington,1,9.0,0.9
Michael Irvin,9,1,19.0,6.333333333333333,3,7.0,6.0,6.0,,7,7.0,False,Athlete,Sports,43,36-45,Anna Demidova,0,United States,Florida,1,14.0,0.875
Michael Irvin,9,2,20.0,6.666666666666667,3,7.0,7.0,6.0,,7,7.0,False,Athlete,Sports,43,36-45,Anna Demidova,0,United States,Florida,1,7.0,0.5357142857142857
Michael Irvin,9,3,14.0,4.666666666666667,3,5.0,4.0,5.0,,7,7.0,False,Athlete,Sports,43,36-45,Anna Demidova,0,United States,Florida,1,13.0,1.0
Michael Irvin,9,4,16.0,5.333333333333333,3,5.0,6.0,5.0,,7,7.0,False,Athlete,Sports,43,36-45,Anna Demidova,0,United States,Florida,1,10.0,0.9545454545454546
Michael Irvin,9,5,21.0,7.0,3,7.0,7.0,7.0,,7,7.0,False,Athlete,Sports,43,36-45,Anna Demidova,0,United States,Florida,1,10.0,1.0
Michael Irvin,9,6,21.9998,7.333266666666667,3,6.6666,8.6666,6.6666,,7,7.0,False,Athlete,Sports,43,36-45,Anna Demidova,0,United States,Florida,1,9.0,1.0
Michael Irvin,9,7,23.5,7.833333333333333,3,8.0,8.0,7.5,,7,7.0,True,Athlete,Sports,43,36-45,Anna Demidova,0,United States,Florida,1,6.0,0.8571428571428571
Jerry Rice,2,1,21.0,7.0,3,7.0,7.0,7.0,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,5.0,0.5
Jerry Rice,2,2,23.0,7.666666666666667,3,7.0,8.0,8.0,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,4.0,0.4444444444444444
Jerry Rice,2,3,19.0,6.333333333333333,3,7.0,6.0,6.0,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,7.0,0.875
Jerry Rice,2,4,24.0,8.0,3,8.0,8.0,8.0,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,5.0,0.7142857142857143
Jerry Rice,2,5,23.0,7.666666666666667,3,7.0,8.0,8.0,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,5.0,0.8333333333333334
Jerry Rice,2,6,23.0,7.666666666666667,3,8.0,7.0,8.0,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,4.0,0.9
Jerry Rice,2,7,20.5,6.833333333333333,3,7.0,7.0,6.5,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,4.0,1.0
Jerry Rice,2,8,26.666600000000003,8.888866666666667,3,9.0,9.0,8.6666,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,3.0,1.0
Albert Reed,5,1,21.0,7.0,3,7.0,7.0,7.0,,11,2.0,False,Model,Model,22,≤25,Anna Trebunskaya,1,United States,Florida,1,5.0,0.5833333333333334
Albert Reed,5,2,21.0,7.0,3,7.0,7.0,7.0,,11,2.0,True,Model,Model,22,≤25,Anna Trebunskaya,1,United States,Florida,1,5.0,0.6363636363636364
Steve Guttenberg,6,1,18.0,6.0,3,6.0,6.0,6.0,,10,3.0,False,Actor/Actress,Entertainment,49,46-55,Anna Trebunskaya,2,United States,New York,1,8.0,0.7083333333333334
Steve Guttenberg,6,2,16.0,5.333333333333333,3,6.0,5.0,5.0,,10,3.0,False,Actor/Actress,Entertainment,49,46-55,Anna Trebunskaya,2,United States,New York,1,11.0,0.9166666666666666
Steve Guttenberg,6,3,21.0,7.0,3,7.0,7.0,7.0,,10,3.0,True,Actor/Actress,Entertainment,49,46-55,Anna Trebunskaya,2,United States,New York,1,6.0,0.75
Chuck Liddell,9,1,22.0,7.333333333333333,3,8.0,7.0,7.0,,11,4.0,False,Athlete,Sports,39,36-45,Anna Trebunskaya,3,United States,California,1,10.0,0.65625
Chuck Liddell,9,2,19.0,6.333333333333333,3,6.0,7.0,6.0,,11,4.0,False,Athlete,Sports,39,36-45,Anna Trebunskaya,3,United States,California,1,9.0,0.75
Chuck Liddell,9,3,17.0,5.666666666666667,3,6.0,5.0,6.0,,11,4.0,False,Athlete,Sports,39,36-45,Anna Trebunskaya,3,United States,California,1,10.0,0.8076923076923077
Chuck Liddell,9,4,17.0,5.666666666666667,3,6.0,5.0,6.0,,11,4.0,True,Athlete,Sports,39,36-45,Anna Trebunskaya,3,United States,California,1,9.0,0.8181818181818182
Evan Lysacek,10,1,23.0,7.666666666666667,3,8.0,7.0,8.0,,2,,False,Athlete,Sports,24,≤25,Anna Trebunskaya,4,United States,Illinois,1,2.0,0.18181818181818182
Evan Lysacek,10,2,24.0,8.0,3,8.0,8.0,8.0,,2,,False,Athlete,Sports,24,≤25,Anna Trebunskaya,4,United States,Illinois,1,2.0,0.18181818181818182
