celebrity_name,ballroom_partner,celebrity_industry,industry_category,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,age_group,season,results,placement,elimination_week,final_place,weeks_participated,avg_judge_total,max_judge_total,min_judge_total,std_judge_total,score_trend,partner_prev_seasons,partner_historical_avg_placement,is_us_contestant
Kelly Monaco,Alec Mazo,Actor/Actress,Entertainment,Pennsylvania,United States,29,26-35,1,1st Place,1,,1.0,6.0,21.333333333333332,27.5,13.0,5.52871293039046,8.666666666666668,0,6.814726840855107,1
Paulina Porizkova,Alec Mazo,Model,Model,Unknown,Czechoslovakia,41,36-45,4,Eliminated Week 2,11,2.0,,2.0,20.0,21.0,19.0,1.4142135623730951,,1,1.0,0
Josie Maran,Alec Mazo,Model,Model,California,United States,29,26-35,5,Eliminated Week 1,12,1.0,,1.0,16.0,16.0,16.0,,,2,6.0,1
Toni Braxton,Alec Mazo,Singer/Rapper,Entertainment,Maryland,United States,40,36-45,7,Eliminated Week 5,8,5.0,,5.0,22.3,23.0,22.0,0.4472135954999579,-0.5,3,8.0,1
Natalie Coughlin,Alec Mazo,Athlete,Sports,California,United States,27,26-35,9,Eliminated Week 5,10,5.0,,5.0,23.999959999999998,26.9998,21.0,2.549450922845937,-0.666599999999999,4,8.0,1
Jonathan Bennett,Allison Holker,Actor/Actress,Entertainment,Ohio,United States,33,26-35,19,Eliminated Week 6,9,6.0,,6.0,28.666666666666668,32.0,24.0,3.7237973450050514,-4.0,0,6.814726840855107,1
Riker Lynch,Allison Holker,Actor/Actress,Entertainment,Colorado,United States,23,≤25,20,2nd Place,2,,2.0,10.0,36.3,40.0,31.0,3.301514803843836,7.333333333333329,1,9.0,1
Andy Grammer,Allison Holker,Singer/Rapper,Entertainment,California,United States,31,26-35,21,Eliminated Week 8,7,8.0,,8.0,27.874975,40.0,21.0,6.916610958255289,6.666599999999999,2,5.5,1
Babyface,Allison Holker,Singer/Rapper,Entertainment,Indiana,United States,57,>55,23,Eliminated Week 4,11,4.0,,4.0,24.75,30.0,18.0,4.9916597106239795,-2.666666666666668,3,6.0,1
Kenny Mayne,Andrea Hale,Sports Broadcaster,Media,Washington,United States,46,46-55,2,Eliminated Week 1,10,1.0,,1.0,13.0,13.0,13.0,,,0,6.814726840855107,1
Michael Irvin,Anna Demidova,Athlete,Sports,Florida,United States,43,36-45,9,Eliminated Week 7,7,7.0,,7.0,19.357114285714285,23.5,14.0,3.350524480052126,4.499933333333331,0,6.814726840855107,1
Jerry Rice,Anna Trebunskaya,Athlete,Sports,Mississippi,United States,43,36-45,2,2nd Place,2,,2.0,8.0,22.520825000000002,26.666600000000003,19.0,2.3560586372462935,2.3888666666666687,0,6.814726840855107,1
Albert Reed,Anna Trebunskaya,Model,Model,Florida,United States,22,≤25,5,Eliminated Week 2,11,2.0,,2.0,21.0,21.0,21.0,0.0,,1,2.0,1
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,Entertainment,New York,United States,49,46-55,6,Eliminated Week 3,10,3.0,,3.0,18.333333333333332,21.0,16.0,2.5166114784235836,,2,6.5,1
Chuck Liddell,Anna Trebunskaya,Athlete,Sports,California,United States,39,36-45,9,Eliminated Week 4,11,4.0,,4.0,18.75,22.0,17.0,2.362907813126304,-1.6666666666666643,3,7.666666666666667,1
Evan Lysacek,Anna Trebunskaya,Athlete,Sports,Illinois,United States,24,≤25,10,2nd Place,2,,2.0,10.0,26.288869999999996,29.5,23.0,1.778117885137103,3.2962333333333333,4,8.5,1
Kurt Warner,Anna Trebunskaya,Athlete,Sports,Iowa,United States,39,36-45,11,Eliminated Week 8,5,8.0,,8.0,23.1249875,35.0,17.0,5.3835095431558395,5.999966666666666,5,7.2,1
Sugar Ray Leonard,Anna Trebunskaya,Athlete,Sports,North Carolina,United States,54,46-55,12,Eliminated Week 4,9,4.0,,4.0,18.75,21.0,17.0,2.0615528128088303,1.3333333333333321,6,6.833333333333333,1
Carson Kressley,Anna Trebunskaya,TV Personality,Media,Pennsylvania,United States,41,36-45,13,Eliminated Week 5,8,5.0,,5.0,19.4,23.0,17.0,2.3021728866442674,1.3333333333333357,7,7.142857142857143,1
Jack Wagner,Anna Trebunskaya,Actor/Actress,Entertainment,Missouri,United States,52,46-55,14,Eliminated Week 3,11,3.0,,3.0,22.666666666666668,24.0,21.0,1.5275252316519465,,8,7.25,1
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Entertainment,Ohio,United States,36,36-45,15,Eliminated Week 3,11,3.0,,3.0,22.666666666666668,24.0,21.5,1.2583057392117916,,9,7.666666666666667,1
Gary Busey,Anna Trebunskaya,Actor/Actress,Entertainment,Texas,United States,71,>55,21,Eliminated Week 4,10,4.0,,4.0,18.125,25.0,15.0,4.625563028792639,0.3333333333333357,10,8.0,1
Lea Thompson,Artem Chigvintsev,Actor/Actress,Entertainment,Minnesota,United States,53,46-55,19,Eliminated Week 9,6,9.0,,9.0,33.888888888888886,39.0,31.0,2.4720661623652207,1.3333333333333357,0,6.814726840855107,1
Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Entertainment,Pennsylvania,United States,70,>55,20,Eliminated Week 6,8,6.0,,6.0,27.666666666666668,34.0,22.0,4.131182235954578,5.333333333333332,1,6.0,1
Mischa Barton,Artem Chigvintsev,Actor/Actress,Entertainment,Unknown,England,30,26-35,22,Eliminated Week 3,11,3.0,,3.0,16.333333333333332,18.0,15.0,1.5275252316519465,,2,7.0,0
Maureen McCormick,Artem Chigvintsev,Actor/Actress,Entertainment,California,United States,60,>55,23,Eliminated Week 7,8,7.0,,7.0,26.857142857142858,33.0,22.0,4.0178174601214955,4.0,3,8.333333333333334,1
Nancy Kerrigan,Artem Chigvintsev,Athlete,Sports,Massachusetts,United States,47,46-55,24,Eliminated Week 7,7,7.0,,7.0,32.5,36.0,28.0,3.3291640592396967,5.4999999999999964,4,8.25,1
Nikki Bella,Artem Chigvintsev,Athlete,Sports,California,United States,33,26-35,25,Eliminated Week 7,8,7.0,,7.0,24.5,36.0,19.5,5.722761571129799,8.833333333333332,5,8.0,1
Jamie Anderson,Artem Chigvintsev,Athlete,Sports,California,United States,27,26-35,26,Eliminated Week 1,10,1.0,,1.0,19.0,19.0,19.0,,,6,8.0,1
Danelle Umstead,Artem Chigvintsev,Athlete,Sports,New Mexico,United States,46,46-55,27,Eliminated Week 2,12,2.0,,2.0,18.25,18.5,18.0,0.3535533905932738,,7,8.285714285714286,1
Kaitlyn Bristowe,Artem Chigvintsev,TV Personality,Media,Unknown,Canada,35,26-35,29,1st Place,1,,1.0,11.0,26.0,30.0,20.0,3.4641016151377544,8.333333333333332,8,8.75,0
Melora Hardin,Artem Chigvintsev,Actor/Actress,Entertainment,Texas,United States,54,46-55,30,Eliminated Week 9,6,9.0,,9.0,33.166666666666664,42.0,23.0,6.34428877022476,13.333333333333332,9,7.888888888888889,1
Heidi D'Amelio,Artem Chigvintsev,Social Media Personality,Media,Louisiana,United States,50,46-55,31,Eliminated Week 8,8,8.0,,8.0,32.875,39.0,24.0,4.793969425970806,7.333333333333336,10,7.7,1
Charity Lawson,Artem Chigvintsev,TV Personality,Media,Georgia,United States,27,26-35,32,4th Place,4,,4.0,11.0,30.636363636363637,39.0,21.0,6.557785102803038,7.333333333333336,11,7.7272727272727275,1
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Entertainment,Massachusetts,United States,32,26-35,1,3rd Place,3,,3.0,5.0,21.1,22.5,20.0,1.1401754250991378,0.5,0,6.814726840855107,1
Master P,Ashly DelGrosso,Singer/Rapper,Entertainment,Louisiana,United States,35,26-35,2,Eliminated Week 4,7,4.0,,4.0,12.5,16.0,8.0,3.415650255319866,-1.333333333333334,1,3.0,1
Harry Hamlin,Ashly DelGrosso,Actor/Actress,Entertainment,California,United States,54,46-55,3,Eliminated Week 3,9,3.0,,3.0,20.0,22.0,17.0,2.6457513110645907,,2,5.0,1
Buzz Aldrin,Ashly DelGrosso,Astronaut,Other,New Jersey,United States,80,>55,10,Eliminated Week 3,10,3.0,,3.0,13.0,14.0,12.0,1.0,,3,6.333333333333333,1
Tinashe,Brandon Armstrong,Singer/Rapper,Entertainment,Kentucky,United States,25,≤25,27,Eliminated Week 4,10,4.0,,4.0,25.5,27.0,23.0,1.7320508075688772,1.0,0,6.814726840855107,1
Mary Wilson,Brandon Armstrong,Singer/Rapper,Entertainment,Nevada,United States,75,>55,28,Eliminated Week 2,12,2.0,,2.0,16.0,17.0,15.0,1.4142135623730951,,1,10.0,1
Jeannie Mai,Brandon Armstrong,TV Personality,Media,California,United States,41,36-45,29,Withdrew,9,-1.0,,7.0,21.857142857142858,25.0,18.0,3.023715784073818,5.333333333333336,2,11.0,1
Kenya Moore,Brandon Armstrong,TV Personality,Media,Michigan,United States,50,46-55,30,Eliminated Week 6,10,6.0,,6.0,28.083333333333332,36.0,21.0,5.499242372060597,8.833333333333332,3,10.333333333333334,1
Jordin Sparks,Brandon Armstrong,Singer/Rapper,Entertainment,Arizona,United States,32,26-35,31,Eliminated Week 7,9,7.0,,7.0,31.428571428571427,35.5,26.0,3.9626229889280347,7.333333333333332,4,10.25,1
Lele Pons,Brandon Armstrong,Social Media Personality,Media,Unknown,Venezuela,27,26-35,32,Eliminated Week 7,8,7.0,,7.0,26.642857142857142,37.0,19.0,7.341175460568774,10.166666666666668,5,10.0,0
Chandler Kinney,Brandon Armstrong,Actor/Actress,Entertainment,California,United States,24,≤25,33,3rd Place,3,,3.0,9.0,29.055555555555557,34.5,23.0,3.7950991789119,2.5,6,9.666666666666666,1
Lauren Jauregui,Brandon Armstrong,Singer/Rapper,Entertainment,Florida,United States,29,26-35,34,Eliminated Week 3,12,3.0,,3.0,17.333333333333332,21.0,13.0,4.041451884327381,,7,8.714285714285714,1
Shandi Finnessey,Brian Fortuna,Beauty Pageant,Model,Missouri,United States,28,26-35,4,Eliminated Week 3,10,3.0,,3.0,20.0,21.0,19.0,1.0,,0,6.814726840855107,1
Johnny Weir,Britt Stewart,Athlete,Sports,Pennsylvania,United States,36,36-45,29,Eliminated Week 10,6,10.0,,10.0,25.05,30.0,18.0,4.60947092649712,9.5,0,6.814726840855107,1
Martin Kove,Britt Stewart,Actor/Actress,Entertainment,New York,United States,75,>55,30,Eliminated Week 2,15,2.0,,2.0,14.0,15.0,13.0,1.4142135623730951,,1,6.0,1
Daniel Durant,Britt Stewart,Actor/Actress,Entertainment,Michigan,United States,32,26-35,31,Eliminated Week 9,5,9.0,,9.0,32.611111111111114,39.0,27.0,3.911343900900445,7.666666666666664,2,10.5,1
Adrian Peterson,Britt Stewart,Athlete,Sports,Texas,United States,38,36-45,32,Eliminated Week 4,11,4.0,,4.0,19.0,22.0,15.0,3.1622776601683795,1.0,3,8.666666666666666,1
Eric Roberts,Britt Stewart,Actor/Actress,Entertainment,California,United States,68,>55,33,Eliminated Week 3,10,3.0,,3.0,17.666666666666668,23.0,15.0,4.618802153517007,,4,9.25,1
Baron Davis,Britt Stewart,Athlete,Sports,California,United States,46,46-55,34,Eliminated Week 2,13,2.0,,2.0,14.0,18.0,10.0,5.656854249492381,,5,9.4,1
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Entertainment,Maine,United States,50,46-55,1,2nd Place,2,,2.0,6.0,24.166666666666668,27.0,20.0,3.0605010483034745,1.6666666666666679,0,6.814726840855107,1
Ty Murray,Chelsie Hightower,Athlete,Sports,Arizona,United States,39,36-45,8,Eliminated Week 10,4,10.0,,10.0,21.8,26.0,14.0,3.6453928305312844,5.333333333333332,0,6.814726840855107,1
Louie Vito,Chelsie Hightower,Athlete,Sports,Ohio,United States,21,≤25,9,Eliminated Week 6,8,6.0,,6.0,21.333299999999998,26.9998,16.0,3.8815220390975496,-1.3332666666666633,1,4.0,1
Jake Pavelka,Chelsie Hightower,TV Personality,Media,Texas,United States,32,26-35,10,Eliminated Week 6,7,6.0,,6.0,21.333316666666665,24.999899999999997,19.0,2.2508931564307226,1.9999666666666656,2,6.0,1
Michael Bolton,Chelsie Hightower,Singer/Rapper,Entertainment,Connecticut,United States,57,>55,11,Eliminated Week 2,11,2.0,,2.0,14.0,16.0,12.0,2.8284271247461903,,3,6.333333333333333,1
Romeo,Chelsie Hightower,Singer/Rapper,Entertainment,Louisiana,United States,21,≤25,12,Eliminated Week 8,5,8.0,,8.0,24.375,30.0,19.0,3.814914340921881,7.333333333333332,4,7.5,1
Roshon Fegan,Chelsie Hightower,Actor/Actress,Entertainment,California,United States,20,≤25,14,Eliminated Week 8,6,8.0,,8.0,25.999975,28.0,23.0,1.6035318178053986,2.6665999999999954,5,7.0,1
Helio Castroneves,Chelsie Hightower,Racing Driver,Sports,Unknown,Brazil,37,36-45,15,Eliminated Week 3,10,3.0,,3.0,23.333333333333332,25.5,21.5,2.0207259421636903,,6,6.833333333333333,0
Drew Lachey,Cheryl Burke,Singer/Rapper,Entertainment,Ohio,United States,29,26-35,2,1st Place,1,,1.0,8.0,27.437475,30.0,24.0,1.7614168418390592,2.8332666666666633,0,6.814726840855107,1
Emmitt Smith,Cheryl Burke,Athlete,Sports,Florida,United States,37,36-45,3,1st Place,1,,1.0,10.0,25.76666,29.666600000000003,19.0,3.255755246124418,6.388866666666669,1,1.0,1
Ian Ziering,Cheryl Burke,Actor/Actress,Entertainment,New Jersey,United States,42,36-45,4,Eliminated Week 9,4,9.0,,9.0,24.27777777777778,29.0,21.0,2.412352471021688,4.166666666666668,2,1.0,1
Wayne Newton,Cheryl Burke,Singer/Rapper,Entertainment,Virginia,United States,65,>55,5,Eliminated Week 3,10,3.0,,3.0,17.333333333333332,19.0,15.0,2.081665999466133,,3,2.0,1
Cristian de la Fuente,Cheryl Burke,Actor/Actress,Entertainment,Unknown,Chile,34,26-35,6,3rd Place,3,,3.0,10.0,24.75,28.5,20.0,2.8987545218210147,5.5,4,4.0,0
Maurice Greene,Cheryl Burke,Athlete,Sports,Kansas,United States,34,26-35,7,Eliminated Week 8,5,8.0,,8.0,22.4375,27.0,19.0,2.94518371971209,2.5,5,3.8,1
Gilles Marini,Cheryl Burke,Actor/Actress,Entertainment,Unknown,France,33,26-35,8,2nd Place,2,,2.0,11.0,27.681818181818183,30.0,24.0,1.7926618096106035,3.0,6,4.0,0
Tom DeLay,Cheryl Burke,Politician,Other,Texas,United States,62,>55,9,Withdrew,13,-1.0,,3.0,17.666633333333333,19.9999,15.0,2.5165651200263692,,7,3.7142857142857144,1
Chad Ochocinco,Cheryl Burke,Athlete,Sports,Florida,United States,32,26-35,10,Eliminated Week 9,4,9.0,,9.0,22.166655555555554,30.999899999999997,16.0,4.808823054321897,6.833333333333332,8,4.875,1
Rick Fox,Cheryl Burke,Athlete,Sports,Unknown,Canada,41,36-45,11,Eliminated Week 7,6,7.0,,7.0,25.0,34.5,19.5,5.361902647381804,7.166666666666668,9,4.777777777777778,0
Chris Jericho,Cheryl Burke,Athlete,Sports,New York,United States,40,36-45,12,Eliminated Week 6,7,6.0,,6.0,22.333333333333332,26.0,19.0,2.3380903889000244,2.666666666666668,10,4.9,1
Rob Kardashian,Cheryl Burke,TV Personality,Media,California,United States,24,≤25,13,2nd Place,2,,2.0,10.0,24.3833,32.4998,16.0,4.372312296714405,8.444333333333333,11,5.090909090909091,1
William Levy,Cheryl Burke,Actor/Actress,Entertainment,Unknown,Cuba,31,26-35,14,3rd Place,3,,3.0,10.0,27.76666,36.0,22.0,3.825834404327157,3.388866666666665,12,4.833333333333333,0
Emmitt Smith,Cheryl Burke,Athlete,Sports,Florida,United States,43,36-45,15,Eliminated Week 9,4,9.0,,9.0,28.117255555555555,36.0,22.5,4.499844849856245,6.185099999999995,13,4.6923076923076925,1
D. L. Hughley,Cheryl Burke,Comedian,Entertainment,Virginia,United States,50,46-55,16,Eliminated Week 5,9,5.0,,5.0,16.6,21.0,12.0,3.286335345030997,3.666666666666666,14,4.642857142857143,1
Jack Osbourne,Cheryl Burke,TV Personality,Media,Unknown,England,27,26-35,17,3rd Place,3,,3.0,11.0,26.909063636363634,35.5,22.0,3.786935917142704,7.166633333333333,15,4.933333333333334,0
Drew Carey,Cheryl Burke,Comedian,Entertainment,Ohio,United States,55,46-55,18,Eliminated Week 6,8,6.0,,6.0,27.5,33.0,21.0,5.319774431308154,7.0,16,4.8125,1
Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,Entertainment,Unknown,Italy,42,36-45,19,Eliminated Week 7,8,7.0,,7.0,28.5,31.0,25.0,1.848422751068236,0.16666666666666785,17,5.0,0
Ryan Lochte,Cheryl Burke,Athlete,Sports,New York,United States,32,26-35,23,Eliminated Week 8,7,8.0,,8.0,26.0,33.0,22.0,3.6645015252516173,5.333333333333336,18,5.166666666666667,1
Terrell Owens,Cheryl Burke,Athlete,Sports,Alabama,United States,43,36-45,25,Eliminated Week 8,6,8.0,,8.0,23.9375,37.0,15.0,6.355186296021766,10.5,19,5.2631578947368425,1
Juan Pablo Di Pace,Cheryl Burke,Actor/Actress,Entertainment,Unknown,Argentina,39,36-45,27,Eliminated Week 8,5,8.0,,8.0,27.375,30.0,22.0,3.0676887530703447,3.333333333333332,20,5.3,0
Ray Lewis,Cheryl Burke,Athlete,Sports,Florida,United States,44,36-45,28,Withdrew,11,-1.0,,2.0,15.0,15.0,15.0,0.0,,21,5.285714285714286,1
AJ McLean,Cheryl Burke,Singer/Rapper,Entertainment,Florida,United States,42,36-45,29,Eliminated Week 9,7,9.0,,9.0,23.444422222222222,27.0,18.0,3.3582287004378433,6.666599999999999,22,5.545454545454546,1
Cody Rigsby,Cheryl Burke,Fitness Instructor,Other,California,United States,34,26-35,30,3rd Place,3,,3.0,10.0,31.05,38.0,18.0,6.9938465016676545,15.166666666666664,23,5.608695652173913,1
Sam Champion,Cheryl Burke,News Anchor,Media,Kentucky,United States,61,>55,31,Eliminated Week 4,13,4.0,,4.0,24.0,26.0,20.0,2.70801280154532,1.6666666666666643,24,5.5,1
Cloris Leachman,Corky Ballas,Actor/Actress,Entertainment,Iowa,United States,82,>55,7,Eliminated Week 6,7,6.0,,6.0,17.5,22.0,15.0,3.146426544510455,3.666666666666666,0,6.814726840855107,1
Florence Henderson,Corky Ballas,Actor/Actress,Entertainment,Indiana,United States,76,>55,11,Eliminated Week 5,8,5.0,,5.0,19.1,21.0,17.5,1.4317821063276353,0.5,1,7.0,1
Pamela Anderson,Damian Whitewood,Model,Model,Unknown,Canada,42,36-45,10,Eliminated Week 7,6,7.0,,7.0,23.428542857142855,29.9998,21.0,3.3469303642079478,4.166599999999999,0,6.814726840855107,0
Nelly,Daniella Karagach,Singer/Rapper,Entertainment,Texas,United States,45,36-45,29,3rd Place,3,,3.0,11.0,22.954545454545453,28.5,16.0,4.221697202870816,9.5,0,6.814726840855107,1
Iman Shumpert,Daniella Karagach,Athlete,Sports,Illinois,United States,31,26-35,30,1st Place,1,,1.0,10.0,31.1,40.0,19.0,7.58946638440411,15.833333333333332,1,3.0,1
Joseph Baena,Daniella Karagach,Actor/Actress,Entertainment,California,United States,24,≤25,31,Eliminated Week 5,11,5.0,,5.0,27.8,35.0,23.0,4.764451699828638,5.333333333333336,2,2.0,1
Jason Mraz,Daniella Karagach,Singer/Rapper,Entertainment,Virginia,United States,46,46-55,32,2nd Place,2,,2.0,11.0,30.863636363636363,43.0,21.0,6.834072391667025,7.5000000000000036,3,5.0,1
Dwight Howard,Daniella Karagach,Athlete,Sports,Georgia,United States,38,36-45,33,Eliminated Week 7,6,7.0,,7.0,25.428571428571427,31.0,22.0,3.4572215654165057,3.0,4,4.25,1
Dylan Efron,Daniella Karagach (Rumer Willis week 9),TV Personality,Media,California,United States,33,26-35,34,4th Place,4,,4.0,11.0,28.98483636363636,42.0,10.0,9.515032805752456,15.277733333333334,0,6.814726840855107,1
Jennie Garth,Derek Hough,Actor/Actress,Entertainment,Illinois,United States,35,26-35,5,Eliminated Week 9,4,9.0,,9.0,25.27777777777778,29.0,21.0,2.7054471801246547,4.166666666666664,0,6.814726840855107,1
Shannon Elizabeth,Derek Hough,Actor/Actress,Entertainment,Texas,United States,34,26-35,6,Eliminated Week 7,6,7.0,,7.0,24.214285714285715,28.0,21.0,2.1574897229794407,1.1666666666666679,1,4.0,1
Brooke Burke,Derek Hough,TV Personality,Media,Connecticut,United States,37,36-45,7,1st Place,1,,1.0,10.0,26.95,30.0,24.0,2.2785229133512495,1.8333333333333321,2,5.0,1
Lil' Kim,Derek Hough,Singer/Rapper,Entertainment,New York,United States,34,26-35,8,Eliminated Week 9,5,9.0,,9.0,25.555555555555557,28.0,21.0,2.2973414586817036,3.666666666666668,3,3.6666666666666665,1
Joanna Krupa,Derek Hough,Model,Model,Unknown,Poland,30,26-35,9,Eliminated Week 9,4,9.0,,9.0,27.055533333333333,35.9999,20.0,5.077142952241938,1.1666999999999987,4,4.0,0
Nicole Scherzinger,Derek Hough,Singer/Rapper,Entertainment,Hawaii,United States,31,26-35,10,1st Place,1,,1.0,10.0,28.07776,35.9999,23.0,3.559693356393996,3.9258999999999986,5,4.0,1
Jennifer Grey,Derek Hough,Actor/Actress,Entertainment,New York,United States,50,46-55,11,1st Place,1,,1.0,10.0,27.9,36.5,24.0,3.9214509786273974,5.5,6,3.5,1
Ricki Lake,Derek Hough,Actor/Actress,Entertainment,New York,United States,42,36-45,13,3rd Place,3,,3.0,10.0,26.59998,33.4999,20.0,3.7252641966860693,5.833266666666667,7,3.142857142857143,1
Maria Menounos,Derek Hough,TV Personality,Media,Massachusetts,United States,33,26-35,14,Eliminated Week 9,4,9.0,,9.0,26.72221111111111,29.999899999999997,21.0,2.6938564366185345,3.8333333333333357,8,3.125,1
Shawn Johnson,Derek Hough,Athlete,Sports,Iowa,United States,20,≤25,15,2nd Place,2,,2.0,10.0,29.35274,39.5,22.0,5.420423685203133,4.259200000000003,9,3.2222222222222223,1
Kellie Pickler,Derek Hough,Singer/Rapper,Entertainment,North Carolina,United States,26,26-35,16,1st Place,1,,1.0,10.0,26.75,30.0,21.0,2.5522321385189257,4.833333333333332,10,3.1,1
Amber Riley,Derek Hough,Actor/Actress,Entertainment,California,United States,27,26-35,17,1st Place,1,,1.0,11.0,28.53028181818182,39.5,24.0,4.5029571991788195,7.111066666666666,11,2.909090909090909,1
Amy Purdy,Derek Hough,Athlete,Sports,Nevada,United States,34,26-35,18,2nd Place,2,,2.0,10.0,33.91666,40.0,24.0,5.971775280470996,8.2222,12,2.75,1
Bethany Mota,Derek Hough,Social Media Personality,Media,California,United States,18,≤25,19,Eliminated Week 11,4,11.0,,11.0,36.04545454545455,40.0,32.0,3.0533141457647743,2.6666666666666643,13,2.6923076923076925,1
Nastia Liukin,Derek Hough,Athlete,Sports,Unknown,Russia,25,≤25,20,Eliminated Week 9,4,9.0,,9.0,36.388888888888886,41.0,30.0,3.3891165679437925,7.0,14,2.7857142857142856,0
Bindi Irwin,Derek Hough,TV Personality,Media,Unknown,Australia,17,≤25,21,1st Place,1,,1.0,11.0,30.318181818181817,40.0,24.0,4.849086136957805,3.833333333333332,15,2.8666666666666667,0
Marilu Henner,Derek Hough,Actor/Actress,Entertainment,Illinois,United States,64,>55,23,Eliminated Week 9,6,9.0,,9.0,28.333333333333332,36.0,21.0,4.898979485566356,3.0,16,2.75,1
Holly Madison,Dmitry Chaplin,TV Personality,Media,Oregon,United States,30,26-35,8,Eliminated Week 4,11,4.0,,4.0,17.25,18.0,16.0,0.9574271077563381,-0.6666666666666679,0,6.814726840855107,1
Mya,Dmitry Chaplin,Singer/Rapper,Entertainment,Washington D.C.,United States,29,26-35,9,2nd Place,2,,2.0,10.0,28.433299999999996,33.0,24.5,2.37423048024688,0.6110666666666695,1,11.0,1
Petra Nemcova,Dmitry Chaplin,Model,Model,Unknown,Czechoslovakia,31,26-35,12,Eliminated Week 5,8,5.0,,5.0,21.2,25.0,18.0,3.1144823004794873,3.0,2,6.5,0
Evander Holyfield,Edyta Sliwinska,Athlete,Sports,Alabama,United States,42,36-45,1,Eliminated Week 3,5,3.0,,3.0,15.0,18.0,13.0,2.6457513110645907,,0,6.814726840855107,1
George Hamilton,Edyta Sliwinska,Actor/Actress,Entertainment,Tennessee,United States,66,>55,2,Eliminated Week 6,5,6.0,,6.0,21.666666666666668,24.0,18.0,2.0655911179772892,2.0,1,5.0,1
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Entertainment,Pennsylvania,United States,30,26-35,3,3rd Place,3,,3.0,9.0,25.88888888888889,29.5,21.0,3.069790076065644,4.333333333333332,2,5.0,1
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Entertainment,Connecticut,United States,59,>55,4,Eliminated Week 7,6,7.0,,7.0,19.071428571428573,22.5,16.0,2.280872848797353,0.5,3,4.333333333333333,1
Cameron Mathison,Edyta Sliwinska,Actor/Actress,Entertainment,Unknown,Canada,38,36-45,5,Eliminated Week 8,5,8.0,,8.0,24.25,27.0,21.0,2.29906813420444,3.6666666666666643,4,4.75,0
Jason Taylor,Edyta Sliwinska,Athlete,Sports,Pennsylvania,United States,33,26-35,6,2nd Place,2,,2.0,10.0,26.15,29.0,22.0,2.369364659331461,3.333333333333332,5,4.8,1
Jeffrey Ross,Edyta Sliwinska,Comedian,Entertainment,New Jersey,United States,43,36-45,7,Eliminated Week 1,13,1.0,,1.0,12.0,12.0,12.0,,,6,4.333333333333333,1
