season,week,t,method,w_judge,w_fan,n_contestants,excitement_reversal_rate
9,4,0.4,rank,,,11,0.45454545454545453
9,5,0.5,rank,,,10,0.6
9,6,0.6,rank,,,9,0.4444444444444444
9,7,0.7,rank,,,7,0.5714285714285714
9,8,0.8,rank,,,5,0.4
9,9,0.9,rank,,,4,0.25
9,10,1.0,rank,,,3,0.0
10,1,0.1,rank,,,11,
10,2,0.2,rank,,,11,0.45454545454545453
10,3,0.3,rank,,,10,0.4
10,4,0.4,rank,,,9,0.5555555555555556
10,5,0.5,rank,,,8,0.375
10,6,0.6,rank,,,7,0.5714285714285714
10,7,0.7,rank,,,6,0.3333333333333333
10,8,0.8,rank,,,5,0.2
10,9,0.9,rank,,,4,0.0
10,10,1.0,rank,,,3,0.3333333333333333
11,1,0.1,rank,,,12,
11,2,0.2,rank,,,11,0.5454545454545454
11,3,0.3,rank,,,10,0.4
11,4,0.4,rank,,,9,0.2222222222222222
11,5,0.5,rank,,,8,0.625
11,6,0.6,rank,,,7,0.2857142857142857
11,7,0.7,rank,,,6,0.6666666666666666
11,8,0.8,rank,,,5,0.2
11,9,0.9,rank,,,4,0.0
11,10,1.0,rank,,,3,0.0
12,1,0.1,rank,,,11,
12,2,0.2,rank,,,11,0.45454545454545453
12,3,0.3,rank,,,10,0.6
12,4,0.4,rank,,,9,0.6666666666666666
12,5,0.5,rank,,,8,0.625
12,6,0.6,rank,,,7,0.5714285714285714
12,7,0.7,rank,,,6,0.6666666666666666
12,8,0.8,rank,,,5,0.4
12,9,0.9,rank,,,4,0.0
12,10,1.0,rank,,,3,0.0
13,1,0.1,rank,,,12,
13,2,0.2,rank,,,11,0.8181818181818182
13,3,0.3,rank,,,10,0.4
13,4,0.4,rank,,,9,0.2222222222222222
13,5,0.5,rank,,,8,0.25
13,6,0.6,rank,,,7,0.5714285714285714
13,7,0.7,rank,,,6,0.6666666666666666
13,8,0.8,rank,,,5,0.4
13,9,0.9,rank,,,4,0.5
13,10,1.0,rank,,,3,0.3333333333333333
14,1,0.1,rank,,,12,
14,2,0.2,rank,,,12,0.6666666666666666
14,3,0.3,rank,,,11,0.45454545454545453
14,4,0.4,rank,,,10,0.6
14,5,0.5,rank,,,9,0.7777777777777778
14,6,0.6,rank,,,8,0.625
14,7,0.7,rank,,,7,0.42857142857142855
14,8,0.8,rank,,,6,0.5
14,9,0.9,rank,,,4,0.25
14,10,1.0,rank,,,3,0.3333333333333333
15,1,0.1,rank,,,13,
15,2,0.2,rank,,,12,0.4166666666666667
15,3,0.3,rank,,,11,0.7272727272727273
15,4,0.4,rank,,,9,0.6666666666666666
15,5,0.5,rank,,,8,0.5
15,6,0.6,rank,,,8,0.75
15,7,0.7,rank,,,7,0.5714285714285714
15,8,0.8,rank,,,7,0.42857142857142855
15,9,0.9,rank,,,5,0.8
15,10,1.0,rank,,,3,0.3333333333333333
16,1,0.1,rank,,,12,
16,2,0.2,rank,,,12,0.3333333333333333
16,3,0.3,rank,,,11,0.45454545454545453
16,4,0.4,rank,,,10,0.8
16,5,0.5,rank,,,9,0.5555555555555556
16,6,0.6,rank,,,8,0.625
16,7,0.7,rank,,,7,0.2857142857142857
16,8,0.8,rank,,,6,0.0
16,9,0.9,rank,,,5,0.4
16,10,1.0,rank,,,4,1.0
17,1,0.09090909090909091,rank,,,12,
17,2,0.18181818181818182,rank,,,12,0.5833333333333334
17,3,0.2727272727272727,rank,,,11,0.45454545454545453
17,4,0.36363636363636365,rank,,,10,0.6
17,5,0.45454545454545453,rank,,,9,0.6666666666666666
17,6,0.5454545454545454,rank,,,8,0.5
17,7,0.6363636363636364,rank,,,8,0.75
17,8,0.7272727272727273,rank,,,7,0.5714285714285714
17,9,0.8181818181818182,rank,,,6,0.3333333333333333
17,10,0.9090909090909091,rank,,,5,0.4
17,11,1.0,rank,,,4,0.0
18,1,0.1,rank,,,12,
18,2,0.2,rank,,,11,0.5454545454545454
18,3,0.3,rank,,,9,0.4444444444444444
18,4,0.4,rank,,,9,0.6666666666666666
18,5,0.5,rank,,,9,0.3333333333333333
18,6,0.6,rank,,,8,0.25
18,7,0.7,rank,,,7,0.2857142857142857
18,8,0.8,rank,,,6,0.5
18,9,0.9,rank,,,5,0.4
18,10,1.0,rank,,,4,0.0
19,1,0.09090909090909091,rank,,,13,
19,2,0.18181818181818182,rank,,,12,0.6666666666666666
19,3,0.2727272727272727,rank,,,11,0.5454545454545454
19,4,0.36363636363636365,rank,,,10,0.5
19,5,0.45454545454545453,rank,,,9,0.4444444444444444
19,6,0.5454545454545454,rank,,,9,0.5555555555555556
19,7,0.6363636363636364,rank,,,8,0.375
19,8,0.7272727272727273,rank,,,7,0.42857142857142855
19,9,0.8181818181818182,rank,,,6,0.16666666666666666
19,10,0.9090909090909091,rank,,,5,0.2
19,11,1.0,rank,,,4,1.0
20,1,0.1,rank,,,12,
20,2,0.2,rank,,,12,0.5
20,3,0.3,rank,,,11,0.18181818181818182
20,4,0.4,rank,,,10,0.4
20,5,0.5,rank,,,9,0.4444444444444444
20,6,0.6,rank,,,8,0.375
20,7,0.7,rank,,,7,0.5714285714285714
20,8,0.8,rank,,,6,0.8333333333333334
20,9,0.9,rank,,,4,0.5
20,10,1.0,rank,,,3,0.3333333333333333
21,1,0.09090909090909091,rank,,,13,
21,2,0.18181818181818182,rank,,,13,0.6923076923076923
21,3,0.2727272727272727,rank,,,10,0.6
21,4,0.36363636363636365,rank,,,10,0.4
21,5,0.45454545454545453,rank,,,9,0.8888888888888888
21,6,0.5454545454545454,rank,,,9,0.4444444444444444
21,7,0.6363636363636364,rank,,,8,0.625
21,8,0.7272727272727273,rank,,,7,0.5714285714285714
21,9,0.8181818181818182,rank,,,6,0.16666666666666666
21,10,0.9090909090909091,rank,,,4,0.5
21,11,1.0,rank,,,4,0.25
22,1,0.1,rank,,,12,
22,2,0.2,rank,,,12,0.5833333333333334
22,3,0.3,rank,,,11,0.5454545454545454
22,4,0.4,rank,,,10,0.8
22,5,0.5,rank,,,9,0.5555555555555556
22,6,0.6,rank,,,9,0.8888888888888888
22,7,0.7,rank,,,8,0.5
22,8,0.8,rank,,,6,0.3333333333333333
22,9,0.9,rank,,,5,0.6
22,10,1.0,rank,,,3,0.0
23,1,0.09090909090909091,rank,,,13,
23,2,0.18181818181818182,rank,,,13,0.5384615384615384
23,3,0.2727272727272727,rank,,,12,0.6666666666666666
23,4,0.36363636363636365,rank,,,11,0.5454545454545454
23,5,0.45454545454545453,rank,,,9,0.6666666666666666
23,6,0.5454545454545454,rank,,,9,0.6666666666666666
23,7,0.6363636363636364,rank,,,8,0.5
23,8,0.7272727272727273,rank,,,7,0.42857142857142855
23,9,0.8181818181818182,rank,,,6,0.5
23,10,0.9090909090909091,rank,,,5,0.6
23,11,1.0,rank,,,4,0.0
24,1,0.1,rank,,,12,
24,2,0.2,rank,,,12,0.5
24,3,0.3,rank,,,11,0.7272727272727273
24,4,0.4,rank,,,10,0.6
24,5,0.5,rank,,,9,0.4444444444444444
24,6,0.6,rank,,,8,0.5
24,7,0.7,rank,,,7,0.42857142857142855
24,8,0.8,rank,,,5,0.0
24,9,0.9,rank,,,4,0.5
24,10,1.0,rank,,,3,0.3333333333333333
25,1,0.1,rank,,,13,
25,2,0.2,rank,,,13,0.6923076923076923
25,3,0.3,rank,,,11,0.6363636363636364
25,4,0.4,rank,,,11,0.6363636363636364
25,5,0.5,rank,,,10,0.8
25,6,0.6,rank,,,9,0.5555555555555556
25,7,0.7,rank,,,8,0.875
25,8,0.8,rank,,,6,1.0
25,9,0.9,rank,,,5,0.0
25,10,1.0,rank,,,4,0.0
26,1,0.25,rank,,,10,
26,2,0.5,rank,,,8,0.375
26,3,0.75,rank,,,6,0.5
26,4,1.0,rank,,,3,0.0
27,1,0.1111111111111111,rank,,,13,
27,2,0.2222222222222222,rank,,,12,0.4166666666666667
27,3,0.3333333333333333,rank,,,11,0.45454545454545453
27,4,0.4444444444444444,rank,,,10,0.8
27,5,0.5555555555555556,rank,,,9,0.7777777777777778
27,6,0.6666666666666666,rank,,,9,0.5555555555555556
27,7,0.7777777777777778,rank,,,8,0.375
27,8,0.8888888888888888,rank,,,6,0.6666666666666666
27,9,1.0,rank,,,4,0.25
28,1,0.09090909090909091,rank,,,12,
28,2,0.18181818181818182,rank,,,12,0.5833333333333334
28,3,0.2727272727272727,rank,,,10,0.8
28,4,0.36363636363636365,rank,,,10,0.5
28,5,0.45454545454545453,rank,,,9,0.4444444444444444
28,6,0.5454545454545454,rank,,,9,0.7777777777777778
28,7,0.6363636363636364,rank,,,8,0.375
28,8,0.7272727272727273,rank,,,7,0.5714285714285714
28,9,0.8181818181818182,rank,,,6,0.16666666666666666
28,10,0.9090909090909091,rank,,,5,0.6
28,11,1.0,rank,,,4,0.0
29,1,0.09090909090909091,rank,,,15,
29,2,0.18181818181818182,rank,,,15,0.5333333333333333
29,3,0.2727272727272727,rank,,,14,0.5
29,4,0.36363636363636365,rank,,,13,0.8461538461538461
29,5,0.45454545454545453,rank,,,12,0.6666666666666666
29,6,0.5454545454545454,rank,,,11,0.7272727272727273
29,7,0.6363636363636364,rank,,,10,0.7
29,8,0.7272727272727273,rank,,,8,0.75
29,9,0.8181818181818182,rank,,,7,0.42857142857142855
29,10,0.9090909090909091,rank,,,6,0.5
29,11,1.0,rank,,,4,0.75
30,1,0.1,rank,,,15,
30,2,0.2,rank,,,15,0.6
30,3,0.3,rank,,,14,0.8571428571428571
30,4,0.4,rank,,,13,0.38461538461538464
30,5,0.5,rank,,,11,0.6363636363636364
30,6,0.6,rank,,,10,0.6
30,7,0.7,rank,,,9,0.6666666666666666
30,8,0.8,rank,,,8,0.75
30,9,0.9,rank,,,6,0.6666666666666666
30,10,1.0,rank,,,4,1.0
31,1,0.1,rank,,,16,
31,2,0.2,rank,,,15,0.6666666666666666
31,3,0.3,rank,,,14,0.6428571428571429
31,4,0.4,rank,,,13,0.38461538461538464
31,5,0.5,rank,,,12,0.5
31,6,0.6,rank,,,10,0.6
31,7,0.7,rank,,,9,0.5555555555555556
31,8,0.8,rank,,,8,0.75
31,9,0.9,rank,,,6,0.6666666666666666
31,10,1.0,rank,,,4,0.75
32,1,0.09090909090909091,rank,,,14,
32,2,0.18181818181818182,rank,,,13,0.6923076923076923
32,3,0.2727272727272727,rank,,,12,0.6666666666666666
32,4,0.36363636363636365,rank,,,11,0.6363636363636364
32,5,0.45454545454545453,rank,,,10,0.6
32,6,0.5454545454545454,rank,,,9,0.4444444444444444
32,7,0.6363636363636364,rank,,,8,0.5
32,8,0.7272727272727273,rank,,,7,0.14285714285714285
32,9,0.8181818181818182,rank,,,6,0.16666666666666666
32,10,0.9090909090909091,rank,,,5,0.2
32,11,1.0,rank,,,5,0.2
33,1,0.1111111111111111,rank,,,13,
33,2,0.2222222222222222,rank,,,13,0.5384615384615384
33,3,0.3333333333333333,rank,,,11,0.5454545454545454
33,4,0.4444444444444444,rank,,,9,0.8888888888888888
33,5,0.5555555555555556,rank,,,8,0.875
33,6,0.6666666666666666,rank,,,7,0.5714285714285714
33,7,0.7777777777777778,rank,,,6,0.3333333333333333
33,8,0.8888888888888888,rank,,,5,0.0
33,9,1.0,rank,,,5,0.2
34,1,0.09090909090909091,rank,,,14,
34,2,0.18181818181818182,rank,,,14,0.5714285714285714
34,3,0.2727272727272727,rank,,,12,0.5833333333333334
34,4,0.36363636363636365,rank,,,11,0.7272727272727273
34,5,0.45454545454545453,rank,,,10,0.7
34,6,0.5454545454545454,rank,,,10,0.5
34,7,0.6363636363636364,rank,,,9,0.4444444444444444
34,8,0.7272727272727273,rank,,,8,0.625
34,9,0.8181818181818182,rank,,,7,0.14285714285714285
34,10,0.9090909090909091,rank,,,6,0.3333333333333333
34,11,1.0,rank,,,5,0.4
1,1,0.16666666666666666,percent,,,6,
1,2,0.3333333333333333,percent,,,6,0.0
1,3,0.5,percent,,,5,0.2
1,4,0.6666666666666666,percent,,,4,0.5
1,5,0.8333333333333334,percent,,,3,0.3333333333333333
1,6,1.0,percent,,,2,0.0
2,1,0.125,percent,,,10,
2,2,0.25,percent,,,9,0.7777777777777778
2,3,0.375,percent,,,8,0.5
2,4,0.5,percent,,,7,0.7142857142857143
2,5,0.625,percent,,,6,0.3333333333333333
2,6,0.75,percent,,,5,0.4
2,7,0.875,percent,,,4,0.0
2,8,1.0,percent,,,3,0.0
3,1,0.1,percent,,,11,
3,2,0.2,percent,,,10,0.7
3,3,0.3,percent,,,9,0.6666666666666666
3,4,0.4,percent,,,8,0.75
3,5,0.5,percent,,,7,0.42857142857142855
3,6,0.6,percent,,,5,0.0
3,7,0.7,percent,,,5,0.4
3,8,0.8,percent,,,4,0.25
3,9,0.9,percent,,,3,0.0
3,10,1.0,percent,,,2,0.0
4,1,0.1,percent,,,11,
4,2,0.2,percent,,,11,0.6363636363636364
4,3,0.3,percent,,,10,0.6
4,4,0.4,percent,,,9,0.3333333333333333
4,5,0.5,percent,,,8,0.375
4,6,0.6,percent,,,7,0.2857142857142857
4,7,0.7,percent,,,6,0.16666666666666666
4,8,0.8,percent,,,5,0.2
4,9,0.9,percent,,,4,0.25
4,10,1.0,percent,,,3,0.3333333333333333
5,1,0.1,percent,,,12,
5,2,0.2,percent,,,11,0.6363636363636364
5,3,0.3,percent,,,10,0.3
5,4,0.4,percent,,,9,0.5555555555555556
5,5,0.5,percent,,,8,0.25
5,6,0.6,percent,,,7,0.7142857142857143
5,7,0.7,percent,,,6,0.16666666666666666
5,8,0.8,percent,,,5,0.2
5,9,0.9,percent,,,4,0.0
5,10,1.0,percent,,,3,0.0
6,1,0.1,percent,,,12,
6,2,0.2,percent,,,12,0.5833333333333334
6,3,0.3,percent,,,10,0.5
6,4,0.4,percent,,,9,0.3333333333333333
6,5,0.5,percent,,,8,0.5
6,6,0.6,percent,,,7,0.2857142857142857
6,7,0.7,percent,,,6,0.5
6,8,0.8,percent,,,5,0.4
6,9,0.9,percent,,,4,0.0
6,10,1.0,percent,,,3,0.0
7,1,0.1,percent,,,13,
7,2,0.2,percent,,,11,0.5454545454545454
7,3,0.3,percent,,,9,0.2222222222222222
7,4,0.4,percent,,,9,0.7777777777777778
7,5,0.5,percent,,,8,0.375
7,6,0.6,percent,,,7,0.2857142857142857
7,7,0.7,percent,,,6,0.5
7,8,0.8,percent,,,5,0.4
7,9,0.9,percent,,,4,0.25
7,10,1.0,percent,,,3,0.0
8,1,0.09090909090909091,percent,,,13,
8,2,0.18181818181818182,percent,,,13,0.6153846153846154
8,3,0.2727272727272727,percent,,,12,0.5
8,4,0.36363636363636365,percent,,,11,0.2727272727272727
8,5,0.45454545454545453,percent,,,9,0.4444444444444444
8,6,0.5454545454545454,percent,,,8,0.25
8,7,0.6363636363636364,percent,,,7,0.2857142857142857
8,8,0.7272727272727273,percent,,,6,0.8333333333333334
8,9,0.8181818181818182,percent,,,5,0.4
8,10,0.9090909090909091,percent,,,4,0.25
8,11,1.0,percent,,,3,0.0
9,1,0.1,percent,,,16,
9,2,0.2,percent,,,14,0.7142857142857143
9,3,0.3,percent,,,13,0.6923076923076923
9,4,0.4,percent,,,11,0.5454545454545454
9,5,0.5,percent,,,10,0.6
9,6,0.6,percent,,,9,0.3333333333333333
9,7,0.7,percent,,,7,0.7142857142857143
9,8,0.8,percent,,,5,0.4
9,9,0.9,percent,,,4,0.25
9,10,1.0,percent,,,3,0.3333333333333333
10,1,0.1,percent,,,11,
10,2,0.2,percent,,,11,0.36363636363636365
10,3,0.3,percent,,,10,0.2
10,4,0.4,percent,,,9,0.6666666666666666
10,5,0.5,percent,,,8,0.375
10,6,0.6,percent,,,7,0.5714285714285714
10,7,0.7,percent,,,6,0.5
10,8,0.8,percent,,,5,0.2
10,9,0.9,percent,,,4,0.0
10,10,1.0,percent,,,3,0.3333333333333333
11,1,0.1,percent,,,12,
11,2,0.2,percent,,,11,0.5454545454545454
11,3,0.3,percent,,,10,0.4
11,4,0.4,percent,,,9,0.2222222222222222
11,5,0.5,percent,,,8,0.625
11,6,0.6,percent,,,7,0.7142857142857143
11,7,0.7,percent,,,6,0.5
11,8,0.8,percent,,,5,0.2
11,9,0.9,percent,,,4,0.25
11,10,1.0,percent,,,3,0.0
12,1,0.1,percent,,,11,
12,2,0.2,percent,,,11,0.45454545454545453
12,3,0.3,percent,,,10,0.6
12,4,0.4,percent,,,9,0.6666666666666666
12,5,0.5,percent,,,8,0.625
12,6,0.6,percent,,,7,0.5714285714285714
12,7,0.7,percent,,,6,0.6666666666666666
12,8,0.8,percent,,,5,0.4
12,9,0.9,percent,,,4,0.0
12,10,1.0,percent,,,3,0.0
13,1,0.1,percent,,,12,
13,2,0.2,percent,,,11,0.8181818181818182
13,3,0.3,percent,,,10,0.5
13,4,0.4,percent,,,9,0.3333333333333333
13,5,0.5,percent,,,8,0.25
13,6,0.6,percent,,,7,0.5714285714285714
13,7,0.7,percent,,,6,0.8333333333333334
13,8,0.8,percent,,,5,0.4
13,9,0.9,percent,,,4,0.5
13,10,1.0,percent,,,3,0.3333333333333333
14,1,0.1,percent,,,12,
14,2,0.2,percent,,,12,0.6666666666666666
14,3,0.3,percent,,,11,0.45454545454545453
14,4,0.4,percent,,,10,0.6
14,5,0.5,percent,,,9,0.7777777777777778
14,6,0.6,percent,,,8,0.625
14,7,0.7,percent,,,7,0.42857142857142855
14,8,0.8,percent,,,6,0.5
14,9,0.9,percent,,,4,0.0
14,10,1.0,percent,,,3,0.3333333333333333
15,1,0.1,percent,,,13,
15,2,0.2,percent,,,12,0.5
15,3,0.3,percent,,,11,0.5454545454545454
15,4,0.4,percent,,,9,0.5555555555555556
15,5,0.5,percent,,,8,0.5
15,6,0.6,percent,,,8,0.375
15,7,0.7,percent,,,7,0.42857142857142855
15,8,0.8,percent,,,7,0.2857142857142857
15,9,0.9,percent,,,5,0.6
15,10,1.0,percent,,,3,0.3333333333333333
16,1,0.1,percent,,,12,
16,2,0.2,percent,,,12,0.3333333333333333
16,3,0.3,percent,,,11,0.45454545454545453
16,4,0.4,percent,,,10,0.8
16,5,0.5,percent,,,9,0.5555555555555556
16,6,0.6,percent,,,8,0.625
16,7,0.7,percent,,,7,0.2857142857142857
16,8,0.8,percent,,,6,0.0
16,9,0.9,percent,,,5,0.4
16,10,1.0,percent,,,4,1.0
17,1,0.09090909090909091,percent,,,12,
17,2,0.18181818181818182,percent,,,12,0.5833333333333334
17,3,0.2727272727272727,percent,,,11,0.45454545454545453
17,4,0.36363636363636365,percent,,,10,0.6
17,5,0.45454545454545453,percent,,,9,0.7777777777777778
17,6,0.5454545454545454,percent,,,8,0.625
17,7,0.6363636363636364,percent,,,8,0.5
17,8,0.7272727272727273,percent,,,7,0.5714285714285714
17,9,0.8181818181818182,percent,,,6,0.0
17,10,0.9090909090909091,percent,,,5,0.4
17,11,1.0,percent,,,4,0.0
18,1,0.1,percent,,,12,
18,2,0.2,percent,,,11,0.5454545454545454
18,3,0.3,percent,,,9,0.4444444444444444
18,4,0.4,percent,,,9,0.6666666666666666
18,5,0.5,percent,,,9,0.4444444444444444
18,6,0.6,percent,,,8,0.25
18,7,0.7,percent,,,7,0.2857142857142857
18,8,0.8,percent,,,6,0.3333333333333333
18,9,0.9,percent,,,5,0.4
18,10,1.0,percent,,,4,0.0
19,1,0.09090909090909091,percent,,,13,
19,2,0.18181818181818182,percent,,,12,0.6666666666666666
19,3,0.2727272727272727,percent,,,11,0.5454545454545454
19,4,0.36363636363636365,percent,,,10,0.4
19,5,0.45454545454545453,percent,,,9,0.6666666666666666
19,6,0.5454545454545454,percent,,,9,0.6666666666666666
19,7,0.6363636363636364,percent,,,8,0.375
19,8,0.7272727272727273,percent,,,7,0.42857142857142855
19,9,0.8181818181818182,percent,,,6,0.0
19,10,0.9090909090909091,percent,,,5,0.2
19,11,1.0,percent,,,4,1.0
20,1,0.1,percent,,,12,
20,2,0.2,percent,,,12,0.5833333333333334
20,3,0.3,percent,,,11,0.45454545454545453
20,4,0.4,percent,,,10,0.4
20,5,0.5,percent,,,9,0.4444444444444444
20,6,0.6,percent,,,8,0.5
20,7,0.7,percent,,,7,0.5714285714285714
20,8,0.8,percent,,,6,0.6666666666666666
20,9,0.9,percent,,,4,0.0
20,10,1.0,percent,,,3,0.0
21,1,0.09090909090909091,percent,,,13,
21,2,0.18181818181818182,percent,,,13,0.6923076923076923
21,3,0.2727272727272727,percent,,,10,0.6
21,4,0.36363636363636365,percent,,,10,0.4
21,5,0.45454545454545453,percent,,,9,0.8888888888888888
21,6,0.5454545454545454,percent,,,9,0.4444444444444444
21,7,0.6363636363636364,percent,,,8,0.75
21,8,0.7272727272727273,percent,,,7,0.5714285714285714
21,9,0.8181818181818182,percent,,,6,0.3333333333333333
21,10,0.9090909090909091,percent,,,4,0.5
21,11,1.0,percent,,,4,0.5
22,1,0.1,percent,,,12,
22,2,0.2,percent,,,12,0.5833333333333334
22,3,0.3,percent,,,11,0.5454545454545454
22,4,0.4,percent,,,10,0.8
22,5,0.5,percent,,,9,0.6666666666666666
22,6,0.6,percent,,,9,0.8888888888888888
22,7,0.7,percent,,,8,0.625
22,8,0.8,percent,,,6,0.16666666666666666
22,9,0.9,percent,,,5,0.4
22,10,1.0,percent,,,3,0.0
23,1,0.09090909090909091,percent,,,13,
23,2,0.18181818181818182,percent,,,13,0.6153846153846154
23,3,0.2727272727272727,percent,,,12,0.6666666666666666
23,4,0.36363636363636365,percent,,,11,0.5454545454545454
23,5,0.45454545454545453,percent,,,9,0.6666666666666666
23,6,0.5454545454545454,percent,,,9,0.6666666666666666
23,7,0.6363636363636364,percent,,,8,0.625
23,8,0.7272727272727273,percent,,,7,0.2857142857142857
23,9,0.8181818181818182,percent,,,6,0.5
23,10,0.9090909090909091,percent,,,5,0.6
23,11,1.0,percent,,,4,0.0
24,1,0.1,percent,,,12,
24,2,0.2,percent,,,12,0.5
24,3,0.3,percent,,,11,0.7272727272727273
24,4,0.4,percent,,,10,0.6
24,5,0.5,percent,,,9,0.4444444444444444
24,6,0.6,percent,,,8,0.25
24,7,0.7,percent,,,7,0.2857142857142857
24,8,0.8,percent,,,5,0.0
24,9,0.9,percent,,,4,0.0
24,10,1.0,percent,,,3,0.0
25,1,0.1,percent,,,13,
25,2,0.2,percent,,,13,0.6923076923076923
25,3,0.3,percent,,,11,0.6363636363636364
25,4,0.4,percent,,,11,0.6363636363636364
25,5,0.5,percent,,,10,0.7
25,6,0.6,percent,,,9,0.5555555555555556
25,7,0.7,percent,,,8,0.875
25,8,0.8,percent,,,6,0.8333333333333334
25,9,0.9,percent,,,5,0.0
25,10,1.0,percent,,,4,0.0
26,1,0.25,percent,,,10,
26,2,0.5,percent,,,8,0.25
26,3,0.75,percent,,,6,0.3333333333333333
26,4,1.0,percent,,,3,0.0
27,1,0.1111111111111111,percent,,,13,
27,2,0.2222222222222222,percent,,,12,0.4166666666666667
27,3,0.3333333333333333,percent,,,11,0.36363636363636365
27,4,0.4444444444444444,percent,,,10,0.7
27,5,0.5555555555555556,percent,,,9,0.5555555555555556
27,6,0.6666666666666666,percent,,,9,0.6666666666666666
27,7,0.7777777777777778,percent,,,8,0.5
27,8,0.8888888888888888,percent,,,6,0.5
27,9,1.0,percent,,,4,0.25
28,1,0.09090909090909091,percent,,,12,
28,2,0.18181818181818182,percent,,,12,0.5
28,3,0.2727272727272727,percent,,,10,0.7
28,4,0.36363636363636365,percent,,,10,0.5
28,5,0.45454545454545453,percent,,,9,0.4444444444444444
28,6,0.5454545454545454,percent,,,9,0.7777777777777778
28,7,0.6363636363636364,percent,,,8,0.25
28,8,0.7272727272727273,percent,,,7,0.7142857142857143
28,9,0.8181818181818182,percent,,,6,0.3333333333333333
28,10,0.9090909090909091,percent,,,5,0.8
28,11,1.0,percent,,,4,0.0
29,1,0.09090909090909091,percent,,,15,
29,2,0.18181818181818182,percent,,,15,0.6
29,3,0.2727272727272727,percent,,,14,0.7857142857142857
29,4,0.36363636363636365,percent,,,13,0.8461538461538461
29,5,0.45454545454545453,percent,,,12,0.4166666666666667
29,6,0.5454545454545454,percent,,,11,0.5454545454545454
29,7,0.6363636363636364,percent,,,10,0.8
29,8,0.7272727272727273,percent,,,8,1.0
29,9,0.8181818181818182,percent,,,7,1.0
29,10,0.9090909090909091,percent,,,6,0.5
29,11,1.0,percent,,,4,0.75
30,1,0.1,percent,,,15,
