season,week,n_contestants,original_rule,true_k,true_eliminated,rank_eliminated,pct_eliminated,rank_bottom2,pct_bottom2,method_conflict,kendall_tau,rank_bias,pct_bias,rank_ndcg,pct_ndcg,rank_phi_J,rank_phi_F,pct_phi_J,pct_phi_F
2,6,5,rank,1,['George Hamilton'],['Lisa Rinna'],['George Hamilton'],"['Lisa Rinna', 'George Hamilton']","['George Hamilton', 'Jerry Rice']",True,0.37796447300922725,0.5571428571428572,0.7699394406545712,0.9528158034292583,1.0,1.2400000000000002,1.56,0.0009068127968040155,0.0030348137009498415
2,7,4,rank,1,['Lisa Rinna'],['Jerry Rice'],['Jerry Rice'],"['Jerry Rice', 'Lisa Rinna']","['Jerry Rice', 'Lisa Rinna']",False,0.8944271909999159,0.5,0.7326978026912084,1.0,1.0,3.6041666666666665,3.6041666666666665,0.0020108341967070118,0.0055118656424718825
2,8,3,rank,0,[],[],[],[],[],False,1.0,0.5,0.4471799513486975,1.0,1.0,1.6666666666666665,1.6666666666666665,0.0003210987152032219,0.00025973896603970014
3,1,11,percent,1,['Tucker Carlson'],['Tucker Carlson'],['Tucker Carlson'],"['Tucker Carlson', 'Sara Evans']","['Tucker Carlson', 'Sara Evans']",False,1.0,0.49479206851323204,0.3291718040295444,1.0,1.0,21.646280991735537,21.200000000000003,0.0005360962753404321,0.0002630595719549947
3,2,10,percent,1,['Shanna Moakler'],['Shanna Moakler'],['Shanna Moakler'],"['Shanna Moakler', 'Jerry Springer']","['Shanna Moakler', 'Jerry Springer']",False,1.0,0.49325766174801366,0.342395850558104,0.9981376172005827,0.9981376172005827,12.401111111111112,12.071111111111112,0.0002100515658690041,0.00010936789954536926
3,3,9,percent,1,['Harry Hamlin'],['Jerry Springer'],['Harry Hamlin'],"['Jerry Springer', 'Emmitt Smith']","['Harry Hamlin', 'Emmitt Smith']",True,0.8733260632194672,0.5011880011880013,0.3527828334205162,0.9914449395637253,0.9995576717861502,10.367283950617283,10.416666666666668,0.00022800831437298053,0.0001242819618228675
3,4,8,percent,1,['Vivica A. Fox'],['Jerry Springer'],['Vivica A. Fox'],"['Jerry Springer', 'Sara Evans']","['Vivica A. Fox', 'Sara Evans']",True,0.836501912571304,0.5118099608584155,0.36253458913626074,0.9900452059604422,0.9964217558184753,8.073660714285714,8.464285714285714,0.00029541466611940944,0.00016800603261173393
3,5,7,percent,1,['Willa Ford'],['Sara Evans'],['Willa Ford'],"['Sara Evans', 'Joey Lawrence']","['Willa Ford', 'Sara Evans']",True,0.5855400437691199,0.44809688581314877,0.36277761359456817,0.96472218075648,0.9910040629837533,7.595238095238095,6.166666666666666,4.5863437534915414e-05,2.6110552257927288e-05
3,6,5,percent,0,[],[],[],[],[],False,0.9999999999999999,0.5,0.40873954896292036,1.0,1.0,4.5,4.5,0.0013950776717747448,0.0009644200239154674
3,7,5,percent,1,['Jerry Springer'],['Jerry Springer'],['Jerry Springer'],"['Jerry Springer', 'Monique Coleman']","['Jerry Springer', 'Monique Coleman']",False,1.0,0.5,0.40826708381539395,1.0,1.0,5.76,5.76,0.0004303387755189298,0.0002969129350901091
3,8,4,percent,1,['Monique Coleman'],['Monique Coleman'],['Monique Coleman'],"['Monique Coleman', 'Emmitt Smith']","['Monique Coleman', 'Emmitt Smith']",False,1.0,0.5,0.4288076903576789,1.0,1.0,2.770833333333333,2.770833333333333,9.254598698107299e-05,6.947647974125563e-05
3,9,3,percent,0,[],[],[],[],[],False,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
3,10,2,percent,0,[],[],[],[],[],False,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
4,1,11,percent,0,[],[],[],[],[],False,0.9999999999999999,0.49924735633914125,0.32962891596062716,1.0,1.0,21.99421487603306,21.928099173553722,0.00037248443537546264,0.00018315473857432774
4,2,11,percent,1,['Paulina Porizkova'],['Shandi Finnessey'],['Paulina Porizkova'],"['Shandi Finnessey', 'Paulina Porizkova']","['Paulina Porizkova', 'Clyde Drexler']",True,0.9272727272727274,0.5190065238608927,0.32972187617780085,0.9976601418003339,0.9994167313393373,15.476859504132236,16.700000000000003,0.00015569099810226433,7.658720488376001e-05
4,3,10,percent,1,['Shandi Finnessey'],['John Ratzenberger'],['Shandi Finnessey'],"['John Ratzenberger', 'Shandi Finnessey']","['Shandi Finnessey', 'Clyde Drexler']",True,0.9069767441860466,0.4708751793400287,0.3307829814833443,0.9883524921576905,1.0,18.44,16.41,0.00014968350833836032,7.398609987055725e-05
4,4,9,percent,1,['Leeza Gibbons'],['Clyde Drexler'],['Leeza Gibbons'],"['Clyde Drexler', 'Leeza Gibbons']","['Leeza Gibbons', 'Clyde Drexler']",True,0.9860132971832694,0.5139759036144579,0.3524395276190711,0.9990764320593213,1.0,12.450617283950617,13.166666666666668,0.0008435864715865152,0.00045912811271299345
4,5,8,percent,1,['Clyde Drexler'],['Clyde Drexler'],['Clyde Drexler'],"['Clyde Drexler', 'Billy Ray Cyrus']","['Clyde Drexler', 'Billy Ray Cyrus']",False,0.9999999999999998,0.5,0.36439945121902606,1.0,1.0,11.25,11.25,0.0015525906236575418,0.0008901237928659717
4,6,7,percent,1,['Heather Mills'],['Billy Ray Cyrus'],['Heather Mills'],"['Billy Ray Cyrus', 'Heather Mills']","['Heather Mills', 'John Ratzenberger']",True,0.8783100656536799,0.47879417879417885,0.37624983028772585,0.9964493887786847,0.9952843064365657,8.52721088435374,7.833333333333332,0.0005537139859256306,0.00033400358564801704
4,7,6,percent,1,['John Ratzenberger'],['Billy Ray Cyrus'],['John Ratzenberger'],"['Billy Ray Cyrus', 'John Ratzenberger']","['John Ratzenberger', 'Billy Ray Cyrus']",True,0.9660917830792959,0.47925311203319504,0.3902294935106978,0.9917476196399573,1.0,6.972222222222221,6.416666666666666,0.0009779981493792268,0.000625880914909995
4,8,5,percent,1,['Billy Ray Cyrus'],['Billy Ray Cyrus'],['Billy Ray Cyrus'],"['Billy Ray Cyrus', 'Ian Ziering']","['Billy Ray Cyrus', 'Ian Ziering']",False,0.9999999999999999,0.5,0.40806030702654494,1.0,1.0,4.5,4.5,0.0014515181241406385,0.0010006203983654548
4,9,4,percent,1,['Ian Ziering'],['Ian Ziering'],['Ian Ziering'],"['Ian Ziering', 'Apolo Anton Ohno']","['Ian Ziering', 'Apolo Anton Ohno']",False,1.0,0.4668769716088328,0.42811944356293646,1.0,1.0,3.520833333333333,3.083333333333333,2.3887590576113522e-05,1.7882653764659748e-05
4,10,3,percent,0,[],[],[],[],[],False,1.0,0.5,0.4477424920747529,1.0,1.0,1.6666666666666665,1.6666666666666665,4.9959945734641595e-05,4.0505000450217005e-05
5,1,12,percent,1,['Josie Maran'],['Josie Maran'],['Josie Maran'],"['Josie Maran', 'Floyd Mayweather Jr.']","['Josie Maran', 'Floyd Mayweather Jr.']",False,0.9999999999999999,0.5080449262113099,0.319008537922561,1.0,1.0,23.780934343434346,24.55871212121212,0.00017897881925945454,8.384212524029008e-05
5,2,11,percent,1,['Albert Reed'],['Mark Cuban'],['Albert Reed'],"['Mark Cuban', 'Albert Reed']","['Albert Reed', 'Wayne Newton']",True,0.9159278516836723,0.5314885496183206,0.326282828143346,0.9980091514393805,0.9976468361208254,12.173553719008263,13.809917355371898,0.00023286361905216997,0.00011277640435770696
5,3,10,percent,1,['Wayne Newton'],['Wayne Newton'],['Wayne Newton'],"['Wayne Newton', 'Mark Cuban']","['Wayne Newton', 'Mark Cuban']",False,1.0,0.4819463269178639,0.3389202306162472,1.0,1.0,21.234444444444446,19.754444444444445,0.00026289061716999236,0.00013477790839244388
5,4,9,percent,1,['Floyd Mayweather Jr.'],['Mark Cuban'],['Floyd Mayweather Jr.'],"['Mark Cuban', 'Floyd Mayweather Jr.']","['Floyd Mayweather Jr.', 'Mark Cuban']",True,0.9851843661437779,0.49529562707152786,0.3522457623817635,0.9981338900890907,1.0,14.569444444444445,14.29783950617284,0.00014023549127635196,7.625941239574385e-05
5,5,8,percent,1,['Mark Cuban'],['Marie Osmond'],['Marie Osmond'],"['Marie Osmond', 'Mark Cuban']","['Marie Osmond', 'Mark Cuban']",False,1.0,0.4947994056463596,0.3654516011892194,1.0,1.0,9.866071428571427,9.662946428571427,0.00032418636434299313,0.00018670668172024967
5,6,7,percent,1,['Sabrina Bryan'],['Marie Osmond'],['Sabrina Bryan'],"['Marie Osmond', 'Jane Seymour']","['Sabrina Bryan', 'Jane Seymour']",True,0.7807200583588265,0.5058997050147492,0.3783144098133403,0.9886162932056666,0.9974662499747102,6.836734693877549,6.999999999999999,0.0003146345400429838,0.00019146459593428003
5,7,6,percent,1,['Jane Seymour'],['Jane Seymour'],['Jane Seymour'],"['Jane Seymour', 'Cameron Mathison']","['Jane Seymour', 'Cameron Mathison']",False,1.0,0.5,0.3945121918502047,1.0,1.0,6.355555555555556,6.355555555555556,2.995761666515664e-05,1.9519212202296368e-05
5,8,5,percent,1,['Cameron Mathison'],['Marie Osmond'],['Cameron Mathison'],"['Marie Osmond', 'Jennie Garth']","['Cameron Mathison', 'Marie Osmond']",True,0.8366600265340755,0.5,0.4102472718156161,0.9830774960511447,0.9948817144080534,3.5,3.5,0.0002700216196813944,0.0001878340319790642
5,9,4,percent,1,['Jennie Garth'],['Marie Osmond'],['Jennie Garth'],"['Marie Osmond', 'Jennie Garth']","['Jennie Garth', 'Marie Osmond']",True,0.912870929175277,0.4631578947368421,0.4247615783939336,0.9800889190382928,1.0,3.1875,2.75,7.713437425428452e-05,5.695676318908243e-05
5,10,3,percent,0,[],[],[],[],[],False,1.0,0.5,0.4464046823743457,1.0,1.0,1.6666666666666665,1.6666666666666665,0.002029520466448085,0.0016365518463608603
6,1,12,percent,0,[],[],[],[],[],False,1.0,0.49447295432315463,0.3197164469776745,1.0,1.0,23.818813131313135,23.2979797979798,0.0003468157141930607,0.00016299480915745593
6,2,12,percent,2,"['Penn Jillette', 'Monica Seles']","['Monica Seles', 'Steve Guttenberg']","['Monica Seles', 'Steve Guttenberg']","['Monica Seles', 'Steve Guttenberg']","['Monica Seles', 'Steve Guttenberg']",False,1.0,0.49741450229169115,0.31912025175319314,1.0,1.0,26.998106060606062,26.720328282828284,0.0003676059596839789,0.00017229254754953078
6,3,10,percent,1,['Steve Guttenberg'],['Marissa Jaret Winokur'],['Steve Guttenberg'],"['Marissa Jaret Winokur', 'Steve Guttenberg']","['Steve Guttenberg', 'Marissa Jaret Winokur']",True,0.9885710532241613,0.5398193946544448,0.34121006306090296,0.9975204389782604,1.0,11.267777777777777,13.217777777777776,0.0001780740050468719,9.223067792118967e-05
6,4,9,percent,1,['Adam Carolla'],['Adam Carolla'],['Adam Carolla'],"['Adam Carolla', 'Priscilla Presley']","['Adam Carolla', 'Priscilla Presley']",False,0.9999999999999999,0.5,0.35189820071374733,1.0,1.0,14.219135802469136,14.219135802469136,0.0003138177599684255,0.00017039283829565818
6,5,8,percent,1,['Priscilla Presley'],['Priscilla Presley'],['Priscilla Presley'],"['Priscilla Presley', 'Marlee Matlin']","['Priscilla Presley', 'Marlee Matlin']",False,1.0,0.5062330115287281,0.36701388253833295,1.0,1.0,11.758928571428571,12.055803571428571,0.00029847722937793414,0.0001730611205859726
6,6,7,percent,1,['Marlee Matlin'],['Marlee Matlin'],['Marlee Matlin'],"['Marlee Matlin', 'Shannon Elizabeth']","['Marlee Matlin', 'Shannon Elizabeth']",False,1.0,0.5138422818791947,0.3792331849558958,1.0,1.0,7.8843537414965965,8.333333333333332,0.00039687482179914715,0.0002424551362156833
6,7,6,percent,1,['Shannon Elizabeth'],['Shannon Elizabeth'],['Shannon Elizabeth'],"['Shannon Elizabeth', 'Cristian de la Fuente']","['Shannon Elizabeth', 'Cristian de la Fuente']",False,0.9660917830792959,0.5199020208205756,0.38795812013296227,1.0,1.0,4.355555555555556,4.716666666666667,0.00010835573645116191,6.868400546110971e-05
6,8,5,percent,1,['Mario'],['Marissa Jaret Winokur'],['Mario'],"['Marissa Jaret Winokur', 'Jason Taylor']","['Mario', 'Marissa Jaret Winokur']",True,0.8366600265340755,0.5,0.40826925861634106,0.9662871640752764,1.0,3.5,3.5,0.00012394868011194097,8.551936243408027e-05
6,9,4,percent,1,['Marissa Jaret Winokur'],['Marissa Jaret Winokur'],['Marissa Jaret Winokur'],"['Marissa Jaret Winokur', 'Jason Taylor']","['Marissa Jaret Winokur', 'Jason Taylor']",False,1.0,0.5,0.42768990837751164,1.0,1.0,2.9166666666666665,2.9166666666666665,0.00014098973077995454,0.00010536226063828394
6,10,3,percent,0,[],[],[],[],[],False,1.0,0.5,0.44724413078359804,1.0,1.0,1.6666666666666665,1.6666666666666665,0.0008202594242087365,0.000663685785403516
7,1,13,percent,2,"['Ted McGinley', 'Jeffrey Ross']","['Jeffrey Ross', 'Cloris Leachman']","['Jeffrey Ross', 'Cloris Leachman']","['Jeffrey Ross', 'Cloris Leachman']","['Jeffrey Ross', 'Cloris Leachman']",False,0.9999999999999998,0.500104748603352,0.3066592947108517,1.0,1.0,28.238658777120314,28.25049309664694,0.00021381793352430011,9.457003777637557e-05
7,2,11,percent,1,['Kim Kardashian'],['Cloris Leachman'],['Kim Kardashian'],"['Cloris Leachman', 'Rocco DiSpirito']","['Kim Kardashian', 'Cloris Leachman']",True,0.9723448696087955,0.4848087805248566,0.32795452364092703,0.9953098694540281,0.9987297050186166,22.422314049586777,21.1,0.000262403863936779,0.00012805165308923993
7,3,9,percent,0,[],[],[],[],[],False,0.9999999999999999,0.5,0.35288968249294717,1.0,1.0,13.589506172839505,13.589506172839505,0.0004058120776023013,0.00022130213557492617
7,4,9,percent,1,['Rocco DiSpirito'],['Rocco DiSpirito'],['Rocco DiSpirito'],"['Rocco DiSpirito', 'Maurice Greene']","['Rocco DiSpirito', 'Maurice Greene']",False,0.9999999999999999,0.5063789070805869,0.35238146256208697,1.0,1.0,14.330246913580247,14.700617283950617,0.00023245984938512974,0.0001264857890531702
7,5,8,percent,1,['Toni Braxton'],['Cloris Leachman'],['Cloris Leachman'],"['Cloris Leachman', 'Toni Braxton']","['Cloris Leachman', 'Toni Braxton']",False,0.5400617248673217,0.577373211963589,0.9480511318756649,1.0,0.5077723337852691,2.9017857142857144,3.9642857142857144,9.32283616156932e-05,0.001701389403540601
7,6,7,percent,1,['Cloris Leachman'],['Cloris Leachman'],['Cloris Leachman'],"['Cloris Leachman', 'Maurice Greene']","['Cloris Leachman', 'Maurice Greene']",False,1.0,0.5,0.37465062433169477,1.0,1.0,8.312925170068027,8.312925170068027,0.0009028458634712518,0.0005409004623428398
7,7,6,percent,1,['Susan Lucci'],['Warren Sapp'],['Susan Lucci'],"['Warren Sapp', 'Cody Linley']","['Susan Lucci', 'Cody Linley']",True,0.8944271909999159,0.48698532891623275,0.393129113277909,0.9839539290194269,1.0,6.022222222222223,5.716666666666667,0.0005979840255984329,0.00038737223169105586
7,8,5,percent,1,['Maurice Greene'],['Maurice Greene'],['Maurice Greene'],"['Maurice Greene', 'Cody Linley']","['Maurice Greene', 'Cody Linley']",False,0.9999999999999999,0.5434782608695653,0.41106487680983433,1.0,1.0,3.36,4.0,0.00024829212709740535,0.00017330291337572406
7,9,4,percent,1,['Cody Linley'],['Cody Linley'],['Cody Linley'],"['Cody Linley', 'Brooke Burke']","['Cody Linley', 'Brooke Burke']",False,1.0,0.5,0.4296448315711498,1.0,1.0,2.770833333333333,2.770833333333333,0.0008089592773342258,0.0006093837519095613
7,10,3,percent,0,[],[],[],[],[],False,0.9999999999999999,0.5,0.44813800408083815,1.0,1.0,0.5555555555555556,0.5555555555555556,0.00041458985276595733,0.00033666654073769594
8,1,13,percent,0,[],[],[],[],[],False,0.9999999999999998,0.5,0.30972997146430264,1.0,1.0,29.536489151873766,29.536489151873766,0.0002697427786182212,0.00012103585505712379
8,2,13,percent,1,['Belinda Carlisle'],['Steve Wozniak'],['Belinda Carlisle'],"['Steve Wozniak', 'David Alan Grier']","['Belinda Carlisle', 'Steve-O']",True,0.9091675835657294,0.5116299982015466,0.3092047163542449,0.9958285851396057,0.9994351080316343,24.10207100591716,25.25,0.00026210291165005195,0.00011731906452033003
8,3,12,percent,1,['Denise Richards'],['Steve-O'],['Denise Richards'],"['Steve-O', 'Denise Richards']","['Denise Richards', 'Steve Wozniak']",True,0.9612691930663656,0.4870327143912824,0.3118662558357335,0.9963898359668941,1.0,27.60858585858586,26.212752525252526,0.0006127032848883486,0.0002776807285165926
8,4,11,percent,2,"['Holly Madison', 'Steve Wozniak']","['Steve Wozniak', 'Steve-O']","['Steve Wozniak', 'Holly Madison']","['Steve Wozniak', 'Steve-O']","['Steve Wozniak', 'Holly Madison']",True,0.9906974722292782,0.4970352215677748,0.3274540943957571,0.999321975652162,1.0,21.030578512396694,20.78264462809917,0.0008231742209575784,0.0004007931158415429
8,5,9,percent,1,['David Alan Grier'],['Lawrence Taylor'],['David Alan Grier'],"['Lawrence Taylor', 'David Alan Grier']","['David Alan Grier', 'Steve-O']",True,0.8733260632194672,0.48960425280567044,0.35067477838245775,0.9979154028240828,0.997440316347836,13.334876543209877,12.791666666666668,0.00034982382874299716,0.00018892596426757868
8,6,8,percent,1,['Steve-O'],['Steve-O'],['Steve-O'],"['Steve-O', 'Ty Murray']","['Steve-O', 'Ty Murray']",False,1.0,0.5,0.3627035610087879,1.0,1.0,11.752232142857142,11.752232142857142,0.0007840569337256771,0.0004462291399997226
8,7,7,percent,1,['Lawrence Taylor'],['Lawrence Taylor'],['Lawrence Taylor'],"['Lawrence Taylor', 'Ty Murray']","['Lawrence Taylor', 'Ty Murray']",False,1.0,0.5,0.3773135630077905,1.0,1.0,8.931972789115646,8.931972789115646,0.00031855948430962826,0.00019302943972151102
8,8,6,percent,1,['Chuck Wicks'],['Chuck Wicks'],['Chuck Wicks'],"['Chuck Wicks', 'Melissa Rycroft']","['Chuck Wicks', 'Melissa Rycroft']",False,0.9999999999999999,0.5014164305949008,0.38949501974048695,1.0,1.0,4.888888888888889,4.916666666666666,0.00014367804701788446,9.16649094913481e-05
8,9,5,percent,1,"[""Lil' Kim""]",['Ty Murray'],"[""Lil' Kim""]","['Ty Murray', ""Lil' Kim""]","[""Lil' Kim"", 'Ty Murray']",True,0.9486832980505138,0.4907621247113164,0.4043470040939859,0.984081510133046,1.0,4.41,4.25,0.0003212563516031291,0.0002180783849148737
8,10,4,percent,1,['Ty Murray'],['Ty Murray'],['Ty Murray'],"['Ty Murray', 'Melissa Rycroft']","['Ty Murray', 'Melissa Rycroft']",False,1.0,0.5,0.4273576514882298,1.0,1.0,2.9166666666666665,2.9166666666666665,0.0007590829627927235,0.000566496545543484
8,11,3,percent,0,[],[],[],[],[],False,1.0,0.5,0.4477840609955875,1.0,1.0,1.6666666666666665,1.6666666666666665,0.00010944186446691867,8.874485333088862e-05
9,1,16,percent,2,"['Ashley Hamiliton', 'Macy Gray']","['Macy Gray', 'Ashley Hamiliton']","['Macy Gray', 'Ashley Hamiliton']","['Macy Gray', 'Ashley Hamiliton']","['Macy Gray', 'Ashley Hamiliton']",False,1.0,0.5048059405194185,0.28397257454763764,1.0,1.0,41.05416666666667,41.85104166666667,0.00022778645359706248,9.03388660485566e-05
9,2,14,percent,1,['Kathy Ireland'],['Kathy Ireland'],['Kathy Ireland'],"['Kathy Ireland', 'Tom DeLay']","['Kathy Ireland', 'Tom DeLay']",False,0.9999999999999998,0.5099026241954118,0.3042608806842465,1.0,1.0,30.301020408163268,31.525510204081634,0.00014930467408737013,6.529397351233434e-05
9,3,13,percent,1,['Debi Mazar'],['Tom DeLay'],['Debi Mazar'],"['Tom DeLay', 'Debi Mazar']","['Debi Mazar', 'Michael Irvin']",True,0.9487179487179485,0.5011684931749376,0.31044497294679113,0.9989161438469198,0.9993784401442274,27.786489151873766,27.916666666666664,0.0002975753656866308,0.00013397157982446135
9,4,11,percent,1,['Chuck Liddell'],['Michael Irvin'],['Chuck Liddell'],"['Michael Irvin', 'Chuck Liddell']","['Chuck Liddell', 'Michael Irvin']",True,0.9908673886137245,0.49762733312242957,0.32888522818014765,0.9992698445016288,1.0,20.99834710743802,20.8,0.0004941742253323585,0.00024217408062477802
9,5,10,percent,1,['Natalie Coughlin'],['Michael Irvin'],['Natalie Coughlin'],"['Michael Irvin', 'Natalie Coughlin']","['Natalie Coughlin', 'Michael Irvin']",True,0.9880235200593537,0.5099291947966409,0.34255374021776586,0.9987312783221728,1.0,16.534444444444443,17.20444444444444,0.00014662673154143928,7.639793299921297e-05
9,6,9,percent,2,"['Melissa Joan Hart', 'Louie Vito']","['Melissa Joan Hart', 'Louie Vito']","['Louie Vito', 'Michael Irvin']","['Melissa Joan Hart', 'Louie Vito']","['Louie Vito', 'Michael Irvin']",True,0.9296696802013682,0.5,0.3522607391553329,0.9959299614403629,1.0,13.291666666666668,13.291666666666668,0.0005403202301300027,0.0002938429321050802
9,7,7,percent,2,"['Michael Irvin', 'Mark Dacascos']","['Mark Dacascos', 'Michael Irvin']","['Mark Dacascos', 'Michael Irvin']","['Mark Dacascos', 'Michael Irvin']","['Mark Dacascos', 'Michael Irvin']",False,1.0,0.5,0.3784224749128786,1.0,1.0,8.931972789115646,8.931972789115646,0.00019672986202830023,0.00011977106358146379
9,8,5,percent,1,['Aaron Carter'],['Aaron Carter'],['Aaron Carter'],"['Aaron Carter', 'Donny Osmond']","['Aaron Carter', 'Donny Osmond']",False,1.0,0.5,0.4126890754195564,1.0,1.0,3.0599999999999996,3.0599999999999996,0.0003068103532225314,0.000215588159016462
9,9,4,percent,1,['Joanna Krupa'],['Donny Osmond'],['Joanna Krupa'],"['Donny Osmond', 'Kelly Osbourne']","['Joanna Krupa', 'Donny Osmond']",True,0.7071067811865477,0.5,0.4233921894010257,0.9462615436624829,1.0,1.5833333333333333,1.5833333333333333,0.0002927621801802929,0.0002149697214673357
9,10,3,percent,0,[],[],[],[],[],False,1.0,0.5,0.44687886377305064,1.0,1.0,1.6666666666666665,1.6666666666666665,0.0008547655371889131,0.0006905840819191098
10,1,11,percent,0,[],[],[],[],[],False,0.9999999999999999,0.49818203854078297,0.3307942393437322,1.0,1.0,20.531404958677687,20.38264462809917,0.00036197624404749073,0.00017892801190588407
10,2,11,percent,1,['Shannen Doherty'],['Kate Gosselin'],['Shannen Doherty'],"['Kate Gosselin', 'Chad Ochocinco']","['Shannen Doherty', 'Kate Gosselin']",True,0.8440722199302099,0.50153515505066,0.3226098994382677,0.9908122562534574,0.9975709663207585,16.100826446280994,16.2,0.00046934364204528336,0.00022352689393697502
10,3,10,percent,1,['Buzz Aldrin'],['Buzz Aldrin'],['Buzz Aldrin'],"['Buzz Aldrin', 'Kate Gosselin']","['Buzz Aldrin', 'Kate Gosselin']",False,1.0,0.4973205051866245,0.337735706530162,1.0,1.0,17.82222222222222,17.632222222222218,0.0004882605080761494,0.00024899878989683815
10,4,9,percent,1,['Aiden Turner'],['Kate Gosselin'],['Aiden Turner'],"['Kate Gosselin', 'Aiden Turner']","['Aiden Turner', 'Kate Gosselin']",True,0.9860132971832694,0.5,0.35373794420991067,0.9994310249671087,1.0,14.041666666666668,14.041666666666668,0.0005519683222910893,0.0003021253342152934
10,5,8,percent,1,['Kate Gosselin'],['Kate Gosselin'],['Kate Gosselin'],"['Kate Gosselin', 'Chad Ochocinco']","['Kate Gosselin', 'Chad Ochocinco']",False,0.9999999999999998,0.5121208941127086,0.36674013284828433,1.0,1.0,10.377232142857142,10.892857142857142,0.0010658097907544851,0.000617243006430181
10,6,7,percent,1,['Jake Pavelka'],['Jake Pavelka'],['Jake Pavelka'],"['Jake Pavelka', 'Niecy Nash']","['Jake Pavelka', 'Niecy Nash']",False,1.0,0.5,0.38055733119931745,1.0,1.0,8.666666666666666,8.666666666666666,0.0005681301829918959,0.00034903327959595913
10,7,6,percent,1,['Pamela Anderson'],['Niecy Nash'],['Pamela Anderson'],"['Niecy Nash', 'Pamela Anderson']","['Pamela Anderson', 'Niecy Nash']",True,0.9660917830792959,0.49030067895247337,0.3927532133404128,0.991939552982021,1.0,5.838888888888889,5.616666666666667,5.006454464983224e-05,3.238059256568607e-05
10,8,5,percent,1,['Niecy Nash'],['Niecy Nash'],['Niecy Nash'],"['Niecy Nash', 'Chad Ochocinco']","['Niecy Nash', 'Chad Ochocinco']",False,1.0,0.5,0.41057470462281637,1.0,1.0,4.86,4.86,0.0009803912044923642,0.0006829089833032657
