season,week,method,w_judge,w_fan,n_contestants,eliminated,revived,excitement_var
5,3,percent,,,10,Wayne Newton,,0.12003069563825156
5,4,percent,,,9,Floyd Mayweather Jr.,,0.08565960359257824
5,5,percent,,,8,Marie Osmond,,0.12258377077206645
5,6,percent,,,7,Sabrina Bryan,,0.137098134535879
5,7,percent,,,6,Jane Seymour,,0.10416564548186924
5,8,percent,,,5,Cameron Mathison,,0.20880766431672654
5,9,percent,,,4,Jennie Garth,,0.24999989934951763
5,10,percent,,,3,,,0.20910937118034925
6,1,percent,,,12,Monica Seles,,0.09460487134045958
6,2,percent,,,12,"Monica Seles,Steve Guttenberg",,0.11305256477504565
6,3,percent,,,10,Steve Guttenberg,,0.12158022425633967
6,4,percent,,,9,Adam Carolla,,0.10033976866221243
6,5,percent,,,8,Priscilla Presley,,0.10937484070307496
6,6,percent,,,7,Marlee Matlin,,0.09423633316688493
6,7,percent,,,6,Shannon Elizabeth,,0.14584651010515318
6,8,percent,,,5,Mario,,0.16324570467655047
6,9,percent,,,4,Marissa Jaret Winokur,,0.1399555679788797
6,10,percent,,,3,,,0.17007933471518033
7,1,percent,,,13,"Jeffrey Ross,Cloris Leachman",,0.05939057825689099
7,2,percent,,,11,Kim Kardashian,,0.1317409474523821
7,3,percent,,,9,Cloris Leachman,,0.07016676284983296
7,4,percent,,,9,Rocco DiSpirito,,0.09438456686457791
7,5,percent,,,8,Cloris Leachman,,0.19946341037003712
7,6,percent,,,7,Cloris Leachman,,0.09601255755703209
7,7,percent,,,6,Susan Lucci,,0.1268733987107356
7,8,percent,,,5,Maurice Greene,,0.17952904791546737
7,9,percent,,,4,Cody Linley,,0.13814855644558538
7,10,percent,,,3,,,0.22222222222222224
8,1,percent,,,13,Steve Wozniak,,0.08965781795990838
8,2,percent,,,13,Belinda Carlisle,,0.10381998915902663
8,3,percent,,,12,Denise Richards,,0.13744941167173053
8,4,percent,,,11,"Steve Wozniak,Holly Madison",,0.09825591513140157
8,5,percent,,,9,David Alan Grier,,0.12021082092526078
8,6,percent,,,8,Steve-O,,0.11587866355385686
8,7,percent,,,7,Lawrence Taylor,,0.09816218392738081
8,8,percent,,,6,Chuck Wicks,,0.1465541711526346
8,9,percent,,,5,Lil' Kim,,0.20344304250875841
8,10,percent,,,4,Ty Murray,,0.1296295544777043
8,11,percent,,,3,,,0.17286653311553937
9,1,percent,,,16,"Macy Gray,Ashley Hamiliton",,0.11780099349588366
9,2,percent,,,14,Kathy Ireland,,0.10945997298177733
9,3,percent,,,13,Debi Mazar,,0.09868665073112695
9,4,percent,,,11,Chuck Liddell,,0.13942388291417077
9,5,percent,,,10,Natalie Coughlin,,0.09781547628392843
9,6,percent,,,9,"Louie Vito,Michael Irvin",,0.13549258107077258
9,7,percent,,,7,"Mark Dacascos,Michael Irvin",,0.10002888803796775
9,8,percent,,,5,Aaron Carter,,0.1413200300330695
9,9,percent,,,4,Joanna Krupa,,0.18161613506448998
9,10,percent,,,3,,,0.18983496540589537
10,1,percent,,,11,Buzz Aldrin,,0.08555521211369721
10,2,percent,,,11,Shannen Doherty,,0.09937675678871788
10,3,percent,,,10,Buzz Aldrin,,0.07674792232946256
10,4,percent,,,9,Aiden Turner,,0.12526379351365732
10,5,percent,,,8,Kate Gosselin,,0.09959245872837552
10,6,percent,,,7,Jake Pavelka,,0.12135715093520304
10,7,percent,,,6,Pamela Anderson,,0.17542150303930115
10,8,percent,,,5,Niecy Nash,,0.1335799252363918
10,9,percent,,,4,Chad Ochocinco,,0.1684006762694313
10,10,percent,,,3,,,0.20994472268943312
11,1,percent,,,12,David Hasselhoff,,0.1282918681920324
11,2,percent,,,11,Michael Bolton,,0.06878327985129633
11,3,percent,,,10,Margaret Cho,,0.09810403027414065
11,4,percent,,,9,The Situation,,0.08865271866697799
11,5,percent,,,8,Florence Henderson,,0.1218250765786414
11,6,percent,,,7,Audrina Patridge,,0.10239822568532216
11,7,percent,,,6,Rick Fox,,0.20124907690904906
11,8,percent,,,5,Kurt Warner,,0.22481755477842014
11,9,percent,,,4,Brandy,,0.1798515961637282
11,10,percent,,,3,,,0.16968748746759518
12,1,percent,,,11,Mike Catherwood,,0.08686564615014708
12,2,percent,,,11,Mike Catherwood,,0.15781383075824806
12,3,percent,,,10,Wendy Williams,,0.07659585670531381
12,4,percent,,,9,Sugar Ray Leonard,,0.11129483688243479
12,5,percent,,,8,Petra Nemcova,,0.1672123949814416
12,6,percent,,,7,Chris Jericho,,0.11693647190962554
12,7,percent,,,6,Kendra Wilkinson,,0.20842059875872435
12,8,percent,,,5,Romeo,,0.1774292295981496
12,9,percent,,,4,Ralph Macchio,,0.13730795219369124
12,10,percent,,,3,,,0.22222222222222224
13,1,percent,,,12,Metta World Peace (Ron),,0.10563998591313108
13,2,percent,,,11,Elisabetta Canalis,,0.13057497912621593
13,3,percent,,,10,Kristin Cavallari,,0.12213512017813681
13,4,percent,,,9,Chynna Phillips,,0.10286395034636679
13,5,percent,,,8,Carson Kressley,,0.08329804781120186
13,6,percent,,,7,Chaz Bono,,0.13677131424195252
13,7,percent,,,6,David Arquette,,0.13714098817058964
13,8,percent,,,5,Nancy Grace,,0.10066120301480679
13,9,percent,,,4,Hope Solo,,0.16115332779097252
13,10,percent,,,3,,,0.1666666799650267
14,1,percent,,,12,Gavin DeGraw,,0.11795634080352245
14,2,percent,,,12,Martina Navratilova,,0.09589654816028194
14,3,percent,,,11,Jack Wagner,,0.11873367544270744
14,4,percent,,,10,Sherri Sheperd,,0.11740137936163246
14,5,percent,,,9,Gavin DeGraw,,0.11450740928479725
14,6,percent,,,8,Gladys Knight,,0.1009505205262007
14,7,percent,,,7,Jaleel White,,0.1063820351041282
14,8,percent,,,6,"Melissa Gilbert,Maria Menounos",,0.10876422966341735
14,9,percent,,,4,Maria Menounos,,0.18748835365676436
14,10,percent,,,3,,,0.22222222222222224
15,1,percent,,,13,Pamela Anderson,,0.06543481782657337
15,2,percent,,,12,Joey Fatone,,0.10712593123251223
15,3,percent,,,11,"Drew Lachey,Bristol Palin",,0.11351536514911732
15,4,percent,,,9,Bristol Palin,,0.12227053736663034
