celebrity_name,fan_share_mean,score,fan_rank,final_rank,season,method
Susan Lucci,0.1149337545487126,-10.428571428571429,6.0,8.0,7,rank
Ted McGinley,0.05486478771070878,-20.0,12.0,12.0,7,rank
Toni Braxton,0.10367090967908435,-8.2,7.0,4.0,7,rank
Warren Sapp,0.16085393446560975,-6.4,3.0,3.0,7,rank
Belinda Carlisle,0.06765169575439978,-20.0,12.0,12.0,8,rank
Chuck Wicks,0.11117779710140283,-10.5,6.0,5.0,8,rank
David Alan Grier,0.08688480560516543,-13.6,8.0,7.0,8,rank
Denise Richards,0.07206932827605377,-15.333333333333334,11.0,8.0,8,rank
Gilles Marini,0.1677879002568534,-3.4545454545454546,2.0,1.0,8,rank
Holly Madison,0.0725283256453694,-17.25,10.0,10.0,8,rank
Lawrence Taylor,0.08861153033851199,-15.714285714285714,7.0,9.0,8,rank
Lil' Kim,0.12889253306643467,-6.333333333333333,4.0,4.0,8,rank
Melissa Rycroft,0.15478540090178544,-5.2727272727272725,3.0,3.0,8,rank
Shawn Johnson,0.17064573493785706,-4.636363636363637,1.0,2.0,8,rank
Steve Wozniak,0.06224273022719912,-23.25,13.0,13.0,8,rank
Steve-O,0.07278076305909462,-19.666666666666668,9.0,11.0,8,rank
Ty Murray,0.11431505099521969,-12.3,5.0,6.0,8,rank
Aaron Carter,0.11084651631968978,-7.25,5.0,4.0,9,rank
Ashley Hamiliton,0.042285080345880945,-31.0,16.0,16.0,9,rank
Chuck Liddell,0.06562606258843542,-20.25,12.0,12.0,9,rank
Debi Mazar,0.06598381190529391,-17.333333333333332,11.0,10.0,9,rank
Donny Osmond,0.14976424681732708,-6.9,2.0,3.0,9,rank
Joanna Krupa,0.1311227579890532,-5.777777777777778,4.0,2.0,9,rank
Kathy Ireland,0.0498948080333751,-26.0,14.0,14.0,9,rank
Kelly Osbourne,0.13739029120988006,-9.7,3.0,5.0,9,rank
Louie Vito,0.07704354123063605,-15.833333333333334,9.0,9.0,9,rank
Macy Gray,0.04282842232112713,-30.0,15.0,15.0,9,rank
Mark Dacascos,0.09253715604870931,-11.428571428571429,6.0,7.0,9,rank
Melissa Joan Hart,0.08243512500101811,-14.5,7.0,8.0,9,rank
Michael Irvin,0.07643879020831393,-19.428571428571427,10.0,11.0,9,rank
Mya,0.16802129637072,-3.8,1.0,1.0,9,rank
Natalie Coughlin,0.08233044284266497,-10.8,8.0,6.0,9,rank
Tom DeLay,0.061550021118645666,-24.333333333333332,13.0,13.0,9,rank
Aiden Turner,0.08783067097035308,-16.5,8.0,9.0,10,rank
Buzz Aldrin,0.06887001897596996,-21.333333333333332,11.0,11.0,10,rank
Chad Ochocinco,0.13148268312573957,-10.444444444444445,4.0,6.0,10,rank
Erin Andrews,0.16264462191489043,-6.2,3.0,3.0,10,rank
Evan Lysacek,0.17515827319533028,-4.1,2.0,2.0,10,rank
Jake Pavelka,0.10718878099150464,-10.333333333333334,7.0,5.0,10,rank
Kate Gosselin,0.0830976467212893,-17.8,10.0,10.0,10,rank
Nicole Scherzinger,0.19464198869952984,-2.5,1.0,1.0,10,rank
Niecy Nash,0.11117863701876109,-11.625,6.0,7.0,10,rank
Pamela Anderson,0.11643713203458063,-8.428571428571429,5.0,4.0,10,rank
Shannen Doherty,0.08558216650694436,-13.0,9.0,8.0,10,rank
Audrina Patridge,0.1193014362240723,-6.166666666666667,7.0,3.0,11,rank
Brandy,0.15856859542616206,-4.222222222222222,3.0,2.0,11,rank
Bristol Palin,0.138289537203277,-11.6,4.0,7.0,11,rank
David Hasselhoff,0.07066343840515642,-21.0,11.0,12.0,11,rank
Florence Henderson,0.08947348198980147,-14.4,8.0,8.0,11,rank
Jennifer Grey,0.18391765702803534,-3.4,1.0,1.0,11,rank
Kurt Warner,0.1196320809706665,-10.25,6.0,6.0,11,rank
Kyle Massey,0.16308006225773158,-7.4,2.0,4.0,11,rank
Margaret Cho,0.07408432486568363,-20.333333333333332,10.0,11.0,11,rank
Michael Bolton,0.06556973217011583,-20.0,12.0,10.0,11,rank
Rick Fox,0.12145741571876989,-8.0,5.0,5.0,11,rank
The Situation,0.08137990346037527,-17.5,9.0,9.0,11,rank
Chelsea Kane,0.1836151086417618,-5.0,1.0,2.0,12,rank
Chris Jericho,0.11026404935699285,-8.833333333333334,6.0,6.0,12,rank
Hines Ward,0.18282992269790227,-3.7,2.0,1.0,12,rank
Kendra Wilkinson,0.107493850351997,-11.714285714285714,7.0,8.0,12,rank
Kirstie Alley,0.1477265646467924,-8.6,3.0,5.0,12,rank
Mike Catherwood,0.07172289604782792,-21.0,11.0,11.0,12,rank
Petra Nemcova,0.09681172114405937,-11.0,8.0,7.0,12,rank
Ralph Macchio,0.13407985141473508,-7.888888888888889,4.0,4.0,12,rank
Romeo,0.13086131881800436,-7.625,5.0,3.0,12,rank
Sugar Ray Leonard,0.08658908655629162,-17.25,9.0,9.0,12,rank
Wendy Williams,0.07225761140390981,-19.666666666666668,10.0,10.0,12,rank
Carson Kressley,0.08508113122731645,-16.6,10.0,11.0,13,rank
Chaz Bono,0.08988929056762303,-16.5,9.0,9.0,13,rank
Chynna Phillips,0.10164004188090071,-7.75,7.0,4.0,13,rank
David Arquette,0.11268223615015152,-10.142857142857142,5.0,7.0,13,rank
Elisabetta Canalis,0.07794581706900688,-16.5,11.0,9.0,13,rank
Hope Solo,0.1356322126960209,-8.444444444444445,4.0,5.0,13,rank
J.R. Martinez,0.1735224876928422,-3.9,2.0,1.0,13,rank
Kristin Cavallari,0.09704655758053443,-8.666666666666666,8.0,6.0,13,rank
Metta World Peace (Ron),0.06781860988959733,-24.0,12.0,12.0,13,rank
Nancy Grace,0.11183048600194834,-12.0,6.0,8.0,13,rank
Ricki Lake,0.17453591839364072,-4.0,1.0,2.0,13,rank
Rob Kardashian,0.17291549999691977,-7.6,3.0,3.0,13,rank
Donald Driver,0.14508312247718602,-7.7,3.0,4.0,14,rank
Gavin DeGraw,0.08225490017324313,-16.2,10.0,11.0,14,rank
Gladys Knight,0.08377765443666174,-15.833333333333334,9.0,10.0,14,rank
Jack Wagner,0.08104527904594978,-14.333333333333334,11.0,8.0,14,rank
Jaleel White,0.10515858970730418,-9.857142857142858,6.0,6.0,14,rank
Katherine Jenkins,0.1683763881125167,-3.7,1.0,1.0,14,rank
Maria Menounos,0.13828018675455572,-7.333333333333333,4.0,3.0,14,rank
Martina Navratilova,0.06353872955195572,-22.5,12.0,12.0,14,rank
Melissa Gilbert,0.09230147036160505,-15.75,7.0,9.0,14,rank
Roshon Fegan,0.11695515439939246,-8.25,5.0,5.0,14,rank
Sherri Sheperd,0.08440190223954991,-13.25,8.0,7.0,14,rank
William Levy,0.1588958754586715,-5.3,2.0,2.0,14,rank
Apolo Anton Ohno,0.12754759385058667,-7.444444444444445,4.0,5.0,15,rank
Bristol Palin,0.07478624117777381,-20.75,12.0,12.0,15,rank
Drew Lachey,0.0763596093840802,-17.0,10.0,10.0,15,rank
Emmitt Smith,0.11737142611408292,-10.666666666666666,6.0,7.0,15,rank
Gilles Marini,0.11844985994521343,-6.375,5.0,4.0,15,rank
Helio Castroneves,0.08589947806060778,-11.666666666666666,9.0,8.0,15,rank
Joey Fatone,0.07606161741903875,-18.0,11.0,11.0,15,rank
Kelly Monaco,0.1402460918503809,-9.7,3.0,6.0,15,rank
Kirstie Alley,0.087812950198969,-16.875,8.0,9.0,15,rank
Melissa Rycroft,0.16259117668988274,-5.9,1.0,2.0,15,rank
Pamela Anderson,0.0463744159782205,-26.0,13.0,13.0,15,rank
Sabrina Bryan,0.11258454127463761,-5.833333333333333,7.0,1.0,15,rank
Shawn Johnson,0.14573265282525952,-6.0,2.0,3.0,15,rank
Alexandra Raisman,0.15006790476947213,-4.7,3.0,3.0,16,rank
Andy Dick,0.08792493167755962,-15.571428571428571,8.0,9.0,16,rank
D. L. Hughley,0.0749552200036234,-19.0,11.0,12.0,16,rank
Dorothy Hamill,0.07713237606490356,-15.0,10.0,8.0,16,rank
Ingo Rademacher,0.10960171389547314,-10.555555555555555,5.0,5.0,16,rank
Jacoby Jones,0.1382498769720817,-7.2,4.0,4.0,16,rank
Kellie Pickler,0.15443397998277386,-4.5,1.0,2.0,16,rank
Lisa Vanderpump,0.0797476433274133,-17.25,9.0,10.0,16,rank
Sean Lowe,0.10483208592049272,-11.875,6.0,6.0,16,rank
Victor Ortiz,0.08835580250402854,-14.666666666666666,7.0,7.0,16,rank
Wynonna Judd,0.0733852338355441,-18.666666666666668,12.0,11.0,16,rank
Zendaya,0.15336138066022248,-3.6,2.0,1.0,16,rank
Amber Riley,0.14723737712347387,-6.090909090909091,2.0,2.0,17,rank
Bill Engvall,0.11122128057701461,-14.181818181818182,6.0,9.0,17,rank
Bill Nye,0.06441646266258387,-22.333333333333332,11.0,11.0,17,rank
Brant Daugherty,0.11108632695344242,-9.125,7.0,6.0,17,rank
Christina Milian,0.10205014646061457,-6.6,9.0,3.0,17,rank
Corbin Bleu,0.1511151013268618,-3.727272727272727,1.0,1.0,17,rank
Elizabeth Berkley Lauren,0.11913835753850827,-6.888888888888889,4.0,4.0,17,rank
Jack Osbourne,0.13889719325170932,-8.727272727272727,3.0,5.0,17,rank
Keyshawn Johnson,0.062123166885946844,-22.5,12.0,12.0,17,rank
Leah Remini,0.11670050180101921,-11.2,5.0,8.0,17,rank
"Nicole ""Snooki"" Polizzi",0.1042229934237495,-10.142857142857142,8.0,7.0,17,rank
Valerie Harper,0.07039281635426856,-19.25,10.0,10.0,17,rank
Amy Purdy,0.1546296200101138,-5.0,2.0,2.0,18,rank
Billy Dee Williams,0.06714236938185977,-23.0,12.0,12.0,18,rank
Candace Cameron Bure,0.12346939467429927,-11.2,6.0,6.0,18,rank
Charlie White,0.13416149425091659,-5.555555555555555,4.0,3.0,18,rank
Cody Simpson,0.0955639176203718,-13.6,8.0,8.0,18,rank
Danica McKellar,0.12485407355227066,-7.5,5.0,5.0,18,rank
Diana Nyad,0.07073400709304713,-22.0,11.0,11.0,18,rank
Drew Carey,0.08928449293212233,-15.333333333333334,9.0,9.0,18,rank
James Maslow,0.13929745287375295,-7.2,3.0,4.0,18,rank
Meryl Davis,0.15607557551912327,-4.0,1.0,1.0,18,rank
NeNe Leakes,0.09722404757405091,-13.428571428571429,7.0,7.0,18,rank
Sean Avery,0.07993995399048814,-18.5,10.0,10.0,18,rank
Alfonso Ribeiro,0.14663254381535754,-4.545454545454546,2.0,1.0,19,rank
Antonio Sabato Jr.,0.08948556699939544,-14.857142857142858,8.0,8.0,19,rank
Bethany Mota,0.14347931585433382,-6.0,3.0,3.0,19,rank
Betsey Johnson,0.07467396335297798,-18.5,12.0,12.0,19,rank
Janel Parrish,0.1479818204889005,-5.7272727272727275,1.0,2.0,19,rank
Jonathan Bennett,0.09064253423472812,-13.166666666666666,7.0,6.0,19,rank
Lea Thompson,0.11453030911956412,-7.222222222222222,5.0,5.0,19,rank
Lolo Jones,0.05574565480306613,-25.0,13.0,13.0,19,rank
Michael Waltrip,0.08438818019859151,-17.875,9.0,11.0,19,rank
Randy Couture,0.07502051668859983,-16.333333333333332,11.0,9.0,19,rank
Sadie Robertson,0.14223934101781938,-6.636363636363637,4.0,4.0,19,rank
Tavis Smiley,0.07644442322384915,-16.5,10.0,10.0,19,rank
Tommy Chong,0.10078124642620548,-13.6,6.0,7.0,19,rank
Charlotte McKinney,0.06591372856551077,-21.666666666666668,12.0,12.0,20,rank
Chris Soules,0.09961954494400807,-14.25,7.0,7.0,20,rank
Michael Sam,0.08265587461346988,-14.25,9.0,7.0,20,rank
Nastia Liukin,0.14426395058286182,-3.6666666666666665,3.0,1.0,20,rank
Noah Galloway,0.13801971446052677,-10.2,4.0,5.0,20,rank
Patti LaBelle,0.08834447994682183,-15.5,8.0,9.0,20,rank
Redfoo,0.07856013524066831,-16.5,11.0,11.0,20,rank
Riker Lynch,0.16859164983492952,-4.5,1.0,2.0,20,rank
Robert Herjavec,0.09994185551412492,-12.125,6.0,6.0,20,rank
Rumer Willis,0.16203152351452468,-4.6,2.0,3.0,20,rank
Suzanne Somers,0.08207157686842662,-16.2,10.0,10.0,20,rank
Willow Shields,0.11325637776207965,-7.285714285714286,5.0,4.0,20,rank
Alek Skarlatos,0.12559371799577676,-10.454545454545455,4.0,6.0,21,rank
Alexa PenaVega,0.1171588041257283,-8.333333333333334,5.0,5.0,21,rank
Andy Grammer,0.10470846223981568,-11.5,7.0,8.0,21,rank
Bindi Irwin,0.15542047642354206,-3.6363636363636362,1.0,1.0,21,rank
Carlos PenaVega,0.1481425298466452,-6.636363636363637,2.0,3.0,21,rank
Chaka Khan,0.05597619139654278,-25.0,13.0,13.0,21,rank
Gary Busey,0.06773494749285129,-20.25,10.0,11.0,21,rank
Hayes Grier,0.1010632640626573,-10.714285714285714,8.0,7.0,21,rank
Kim Zolciak-Biermann,0.06623583170323347,-22.0,11.0,12.0,21,rank
Nick Carter,0.1433075298799764,-6.2727272727272725,3.0,2.0,21,rank
Paula Deen,0.07520692049856151,-18.5,9.0,9.0,21,rank
Tamar Braxton,0.11184122749190333,-8.0,6.0,4.0,21,rank
Victor Espinoza,0.06508850715825905,-20.0,12.0,10.0,21,rank
Antonio Brown,0.10967174112761408,-11.88888888888889,5.0,7.0,22,rank
Doug Flutie,0.08042144201041716,-17.5,10.0,10.0,22,rank
Geraldo Rivera,0.05907953153657458,-24.0,12.0,12.0,22,rank
Ginger Zee,0.13944881049080687,-6.7,3.0,4.0,22,rank
Jodie Sweetin,0.10781913356781901,-10.25,6.0,5.0,22,rank
Kim Fields,0.0955818386429901,-13.714285714285714,8.0,9.0,22,rank
Marla Maples,0.08572965625290203,-11.5,9.0,6.0,22,rank
Mischa Barton,0.06576454972535693,-21.333333333333332,11.0,11.0,22,rank
Nyle DiMarco,0.14991817582725958,-5.5,2.0,3.0,22,rank
Paige VanZant,0.1601900614957646,-4.9,1.0,1.0,22,rank
Von Miller,0.09621038574978891,-12.142857142857142,7.0,8.0,22,rank
Wanya Morris,0.13015391367753631,-5.111111111111111,4.0,2.0,22,rank
Amber Rose,0.07820213421052466,-16.333333333333332,9.0,10.0,23,rank
Babyface,0.07591533395333949,-13.75,10.0,8.0,23,rank
Calvin Johnson Jr.,0.13323033626112685,-8.090909090909092,3.0,5.0,23,rank
Jake T. Austin,0.06490062571206254,-22.5,12.0,12.0,23,rank
James Hinchcliffe,0.14370623520671602,-4.818181818181818,2.0,2.0,23,rank
Jana Kramer,0.1324177621413768,-7.909090909090909,4.0,4.0,23,rank
Laurie Hernandez,0.14896748626126496,-3.909090909090909,1.0,1.0,23,rank
Marilu Henner,0.10124752752938478,-11.444444444444445,6.0,6.0,23,rank
Maureen McCormick,0.08837347647958861,-13.714285714285714,8.0,7.0,23,rank
Rick Perry,0.06011170142947995,-25.0,13.0,13.0,23,rank
Ryan Lochte,0.09129713942592811,-15.5,7.0,9.0,23,rank
Terra Jole,0.12164729463951622,-7.9,5.0,3.0,23,rank
Vanilla Ice,0.07468933492785698,-16.75,11.0,11.0,23,rank
Bonner Bolton,0.09907519981253132,-13.625,7.0,7.0,24,rank
Charo,0.07386309029508979,-19.333333333333332,10.0,10.0,24,rank
Chris Kattan,0.06074704182142698,-23.5,12.0,12.0,24,rank
David Ross,0.1328392023317865,-11.2,4.0,6.0,24,rank
Erika Jayne,0.08737160417735552,-14.0,9.0,8.0,24,rank
Heather Morris,0.11073224942513128,-6.0,6.0,4.0,24,rank
Mr. T,0.07015841185721888,-20.75,11.0,11.0,24,rank
Nancy Kerrigan,0.11160674949001706,-7.857142857142857,5.0,5.0,24,rank
Nick Viall,0.0944503098923511,-14.0,8.0,8.0,24,rank
Normani,0.1719280054635238,-4.5,1.0,1.0,24,rank
Rashad Jennings,0.17018324533016724,-5.2,2.0,2.0,24,rank
Simone Biles,0.1433917705748703,-5.444444444444445,3.0,3.0,24,rank
Barbara Corcoran,0.05355403118914689,-26.0,13.0,13.0,25,rank
Debbie Gibson,0.072480418911861,-17.5,12.0,10.0,25,rank
Derek Fisher,0.0760166994085031,-17.5,10.0,10.0,25,rank
Drew Scott,0.11418418274883284,-11.3,5.0,6.0,25,rank
Frankie Muniz,0.1307524077271375,-7.2,3.0,3.0,25,rank
Jordan Fisher,0.15238846269139686,-3.1,1.0,1.0,25,rank
Lindsey Stirling,0.14477717527850342,-5.0,2.0,2.0,25,rank
Nick Lachey,0.07384507522376696,-18.333333333333332,11.0,12.0,25,rank
Nikki Bella,0.09250843770591936,-12.571428571428571,8.0,7.0,25,rank
Sasha Pieterse,0.080005986740386,-15.4,9.0,9.0,25,rank
Terrell Owens,0.09665636165772816,-13.375,7.0,8.0,25,rank
Vanessa Lachey,0.09843402349084603,-8.714285714285714,6.0,5.0,25,rank
Victoria Arlen,0.11887705678017231,-8.666666666666666,4.0,4.0,25,rank
Adam Rippon,0.2131298403801012,-2.0,1.0,1.0,26,rank
Arike Ogunbowale,0.09979355253875201,-12.0,7.0,7.0,26,rank
Chris Mazdzer,0.12749630676038007,-9.0,5.0,5.0,26,rank
Jamie Anderson,0.0877055465079585,-16.0,8.0,8.0,26,rank
Jennie Finch Daigle,0.11230048302979505,-11.666666666666666,6.0,6.0,26,rank
Johnny Damon,0.08438947588737751,-18.0,10.0,9.0,26,rank
Josh Norman,0.19004619293967148,-5.25,2.0,2.0,26,rank
Kareem Abdul-Jabbar,0.08679211311555907,-18.0,9.0,9.0,26,rank
Mirai Nagasu,0.1445129479527774,-5.666666666666667,4.0,3.0,26,rank
Tonya Harding,0.17227507494702343,-6.5,3.0,4.0,26,rank
Alexis Ren,0.13277361945041713,-6.888888888888889,3.0,4.0,27,rank
Bobby Bones,0.10452921494069484,-13.777777777777779,5.0,8.0,27,rank
Danelle Umstead,0.06485877506863647,-21.5,12.0,12.0,27,rank
DeMarcus Ware,0.10294245177143162,-9.714285714285714,6.0,6.0,27,rank
Evanna Lynch,0.13525878056904958,-7.555555555555555,2.0,5.0,27,rank
Joe Amabile,0.08311752056510145,-18.625,10.0,11.0,27,rank
John Schneider,0.09045411990072726,-15.857142857142858,9.0,9.0,27,rank
Juan Pablo Di Pace,0.121835012201276,-4.25,4.0,1.0,27,rank
Mary Lou Retton,0.09517153426893032,-11.166666666666666,7.0,7.0,27,rank
Milo Manheim,0.14302762572441513,-4.888888888888889,1.0,2.0,27,rank
Nancy McKeon,0.07649232912530207,-17.333333333333332,11.0,10.0,27,rank
Nikki Glaser,0.0621578780571709,-24.0,13.0,13.0,27,rank
Tinashe,0.09347973720468662,-6.0,8.0,3.0,27,rank
Ally Brooke,0.15097093417325036,-4.909090909090909,1.0,1.0,28,rank
Hannah Brown,0.13747218566789535,-7.0,3.0,3.0,28,rank
James Van Der Beek,0.12972352924178265,-5.6,5.0,2.0,28,rank
Karamo Brown,0.09546407696166623,-13.142857142857142,8.0,8.0,28,rank
Kate Flannery,0.10393603340184143,-9.875,7.0,7.0,28,rank
Kel Mitchell,0.14481506216579454,-7.545454545454546,2.0,4.0,28,rank
Lamar Odom,0.06873373238318442,-21.75,12.0,12.0,28,rank
Lauren Alaina,0.13188585599556363,-8.545454545454545,4.0,5.0,28,rank
Mary Wilson,0.07329538444358917,-16.5,11.0,9.0,28,rank
Ray Lewis,0.07479819374714641,-19.0,10.0,11.0,28,rank
Sailor Brinkley-Cook,0.10398296948196402,-9.333333333333334,6.0,6.0,28,rank
Sean Spicer,0.08793595342247146,-17.11111111111111,9.0,10.0,28,rank
AJ McLean,0.09000744195809558,-10.666666666666666,7.0,5.0,29,rank
Anne Heche,0.06233733220595889,-19.0,13.0,13.0,29,rank
Carole Baskin,0.050939512402179775,-27.0,14.0,14.0,29,rank
Charles Oakley,0.047590561502446574,-29.0,15.0,15.0,29,rank
Chrishell Stause,0.07756058509689248,-16.25,10.0,10.0,29,rank
Jeannie Mai,0.0778631861633328,-14.428571428571429,9.0,8.0,29,rank
Jesse Metcalfe,0.06720404833564932,-17.0,12.0,11.0,29,rank
Johnny Weir,0.10409529576318581,-7.5,4.0,3.0,29,rank
Justina Machado,0.11868561345678703,-8.272727272727273,3.0,4.0,29,rank
Kaitlyn Bristowe,0.1252943092497303,-5.545454545454546,2.0,2.0,29,rank
Monica Aldama,0.07862540341273998,-12.428571428571429,8.0,7.0,29,rank
Nelly,0.09857113798163696,-14.636363636363637,5.0,9.0,29,rank
Nev Schulman,0.12974949453550264,-4.454545454545454,1.0,1.0,29,rank
Skai Jackson,0.09746003519916946,-11.8,6.0,6.0,29,rank
Veron Davis,0.07163326112869943,-17.333333333333332,11.0,12.0,29,rank
Amanda Kloots,0.11888206078864787,-5.7,2.0,2.0,30,rank
Brian Austin Green,0.05729149571132015,-24.75,14.0,14.0,30,rank
Christine Chiu,0.06431279452216711,-17.666666666666668,12.0,12.0,30,rank
Cody Rigsby,0.10088813784827741,-15.6,4.0,9.0,30,rank
Iman Shumpert,0.11359437203077591,-14.7,3.0,8.0,30,rank
Jimmie Allen,0.08603065994856532,-14.125,8.0,7.0,30,rank
JoJo Siwa,0.13351183695800797,-3.2,1.0,1.0,30,rank
Kenya Moore,0.07150885461105505,-16.0,11.0,10.0,30,rank
Martin Kove,0.04240559930671594,-30.0,15.0,15.0,30,rank
Matt James,0.06289641386574885,-22.75,13.0,13.0,30,rank
Melanie C,0.07978851443168442,-9.4,9.0,6.0,30,rank
Melora Hardin,0.09839369124295762,-8.777777777777779,6.0,5.0,30,rank
"Mike ""The Miz"" Mizanin",0.07509494036861643,-16.285714285714285,10.0,11.0,30,rank
Olivia Jade,0.0926479516589632,-8.375,7.0,4.0,30,rank
Suni Lee,0.10045581186697611,-8.222222222222221,5.0,3.0,30,rank
Charli D'Amelio,0.1334430817436612,-2.4,1.0,1.0,31,rank
Cheryl Ladd,0.05335979925162726,-25.333333333333332,14.0,14.0,31,rank
Daniel Durant,0.0925879931564969,-12.666666666666666,5.0,7.0,31,rank
Gabby Windey,0.12805424079995079,-5.0,2.0,3.0,31,rank
Heidi D'Amelio,0.08661524690043824,-11.375,7.0,5.0,31,rank
Jason Lewis,0.04061354363247699,-31.0,16.0,16.0,31,rank
Jessie James Decker,0.06954100301121052,-19.833333333333332,11.0,10.0,31,rank
Jordin Sparks,0.07737204796176243,-15.0,8.0,9.0,31,rank
Joseph Baena,0.06610199091685123,-20.0,12.0,11.0,31,rank
Sam Champion,0.058235846909516956,-24.5,13.0,13.0,31,rank
Selma Blair,0.07663629948641348,-11.4,9.0,6.0,31,rank
Shangela,0.10997999745631329,-9.3,4.0,4.0,31,rank
