celebrity_name,season,week,judge_total,judge_mean,judge_count,judge1_score,judge2_score,judge3_score,judge4_score,placement,elimination_week,is_elimination_week,celebrity_industry,industry_category,age,age_group,partner,partner_experience,home_country,home_state,is_us,weekly_rank,weekly_rank_pct,season_weeks,vote_share_hat,total_votes_hat,votes_hat
Stacy Keibler,2,4,26.0,8.666666666666666,3,8.0,9.0,9.0,,3,,False,Athlete,Sports,26,26-35,Tony Dovolani,0,United States,Maryland,1,2.0,0.3571428571428571,8.0,0.10102021456900644,943071.73532545,95269.3090565422
Tia Carrere,2,4,25.0,8.333333333333334,3,9.0,8.0,8.0,,6,5.0,False,Actor/Actress,Entertainment,39,36-45,Maksim Chmerkoskiy,0,United States,Hawaii,1,4.0,0.5714285714285714,8.0,0.03716326008266529,943071.73532545,35047.62017651018
Jerry Rice,2,4,24.0,8.0,3,8.0,8.0,8.0,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,5.0,0.7142857142857143,8.0,0.013671599351319874,943071.73532545,12893.298924923529
George Hamilton,2,4,21.0,7.0,3,7.0,7.0,7.0,,5,6.0,False,Actor/Actress,Entertainment,66,>55,Edyta Sliwinska,1,United States,Tennessee,1,6.0,0.8571428571428571,8.0,0.0006806688516022069,943071.73532545,641.9195550624744
Master P,2,4,8.0,2.6666666666666665,3,4.0,2.0,2.0,,7,4.0,True,Singer/Rapper,Entertainment,35,26-35,Ashly DelGrosso,1,United States,Louisiana,1,7.0,1.0,8.0,1e-08,943071.73532545,0.0094307173532545
Stacy Keibler,2,5,30.0,10.0,3,10.0,10.0,10.0,,3,,False,Athlete,Sports,26,26-35,Tony Dovolani,0,United States,Maryland,1,1.0,0.1666666666666666,8.0,0.9431727904386453,1019537.0111626484,961599.5677737514
Drew Lachey,2,5,27.0,9.0,3,9.0,9.0,9.0,,1,,False,Singer/Rapper,Entertainment,29,26-35,Cheryl Burke,0,United States,Ohio,1,2.0,0.3333333333333333,8.0,0.04695780820027785,1019537.0111626484,47875.22342326018
Lisa Rinna,2,5,25.0,8.333333333333334,3,7.0,9.0,9.0,,4,7.0,False,Actor/Actress,Entertainment,42,36-45,Louis van Amstel,1,United States,California,1,3.0,0.5,8.0,0.006355048272955136,1019537.0111626484,6479.206922003031
George Hamilton,2,5,24.0,8.0,3,8.0,8.0,8.0,,5,6.0,False,Actor/Actress,Entertainment,66,>55,Edyta Sliwinska,1,United States,Tennessee,1,4.0,0.6666666666666666,8.0,0.0023378916072722754,1019537.0111626484,2383.567021700616
Jerry Rice,2,5,23.0,7.666666666666667,3,7.0,8.0,8.0,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,5.0,0.8333333333333334,8.0,0.0008600622580027297,1019537.0111626484,876.8653039379017
Tia Carrere,2,5,22.0,7.333333333333333,3,7.0,7.0,8.0,,6,5.0,True,Actor/Actress,Entertainment,39,36-45,Maksim Chmerkoskiy,0,United States,Hawaii,1,6.0,1.0,8.0,0.00031639922284669306,1019537.0111626484,322.5807179953022
Drew Lachey,2,6,30.0,10.0,3,10.0,10.0,10.0,,1,,False,Singer/Rapper,Entertainment,29,26-35,Cheryl Burke,0,United States,Ohio,1,1.0,0.3,8.0,0.48742187565827494,1096002.2869998473,534215.4904552245
Stacy Keibler,2,6,30.0,10.0,3,10.0,10.0,10.0,,3,,False,Athlete,Sports,26,26-35,Tony Dovolani,0,United States,Maryland,1,1.0,0.3,8.0,0.48742187565827494,1096002.2869998473,534215.4904552245
Lisa Rinna,2,6,27.0,9.0,3,9.0,9.0,9.0,,4,7.0,False,Actor/Actress,Entertainment,42,36-45,Louis van Amstel,1,United States,California,1,3.0,0.6,8.0,0.024267306247391013,1096002.2869998473,26597.023146466232
Jerry Rice,2,6,23.0,7.666666666666667,3,8.0,7.0,8.0,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,4.0,0.9,8.0,0.0005444712180295367,1096002.2869998473,596.7417001659647
George Hamilton,2,6,23.0,7.666666666666667,3,8.0,7.0,8.0,,5,6.0,True,Actor/Actress,Entertainment,66,>55,Edyta Sliwinska,1,United States,Tennessee,1,4.0,0.9,8.0,0.00034447121802953686,1096002.2869998473,377.54124276599543
Jerry Rice,2,7,20.5,6.833333333333333,3,7.0,7.0,6.5,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,4.0,1.0,8.0,0.8573428671428562,1172467.5628370459,1005206.7019547098
Drew Lachey,2,7,27.5,9.166666666666666,3,9.5,9.0,9.0,,1,,False,Singer/Rapper,Entertainment,29,26-35,Cheryl Burke,0,United States,Ohio,1,1.0,0.375,8.0,0.07132856142857165,1172467.5628370459,83630.42457882992
Stacy Keibler,2,7,27.5,9.166666666666666,3,9.0,9.0,9.5,,3,,False,Athlete,Sports,26,26-35,Tony Dovolani,0,United States,Maryland,1,1.0,0.375,8.0,0.07132856142857165,1172467.5628370459,83630.42457882992
Lisa Rinna,2,7,26.5,8.833333333333334,3,8.5,9.0,9.0,,4,7.0,True,Actor/Actress,Entertainment,42,36-45,Louis van Amstel,1,United States,California,1,3.0,0.75,8.0,1.000000052209238e-08,1172467.5628370459,0.011724676240506838
Drew Lachey,2,8,28.9998,9.6666,3,9.6666,9.6666,9.6666,,1,,False,Singer/Rapper,Entertainment,29,26-35,Cheryl Burke,0,United States,Ohio,1,1.0,0.3333333333333333,8.0,0.5514077154896383,1248932.8386742445,688671.2033733542
Stacy Keibler,2,8,28.6665,9.5555,3,9.3333,9.6666,9.6666,,3,,False,Athlete,Sports,26,26-35,Tony Dovolani,0,United States,Maryland,1,2.0,0.6666666666666666,8.0,0.3951140632895601,1248932.8386742445,493470.9286643454
Jerry Rice,2,8,26.666600000000003,8.888866666666667,3,9.0,9.0,8.6666,,2,,False,Athlete,Sports,43,36-45,Anna Trebunskaya,0,United States,Mississippi,1,3.0,1.0,8.0,0.05347822122080159,1248932.8386742445,66790.70663654496
Mario Lopez,3,1,26.0,8.666666666666666,3,9.0,8.0,9.0,,2,,False,Actor/Actress,Entertainment,32,26-35,Karina Smirnoff,0,United States,California,1,1.0,0.0909090909090909,10.0,0.8473583888343016,739820.9535095912,626893.4911917439
Emmitt Smith,3,1,24.0,8.0,3,8.0,8.0,8.0,,1,,False,Athlete,Sports,37,36-45,Cheryl Burke,1,United States,Florida,1,2.0,0.1818181818181818,10.0,0.11467748755581,739820.9535095912,84840.80818962364
Willa Ford,3,1,22.0,7.333333333333333,3,7.0,7.0,8.0,,7,5.0,False,Singer/Rapper,Entertainment,25,≤25,Maksim Chmerkoskiy,1,United States,Florida,1,3.0,0.3181818181818182,10.0,0.015519910259228671,739820.9535095912,11481.954806365842
Vivica A. Fox,3,1,22.0,7.333333333333333,3,6.0,8.0,8.0,,8,4.0,False,Actor/Actress,Entertainment,42,36-45,Nick Kosovich,1,United States,Indiana,1,3.0,0.3181818181818182,10.0,0.015519910259228671,739820.9535095912,11481.954806365842
Joey Lawrence,3,1,21.0,7.0,3,7.0,7.0,7.0,,3,,False,Actor/Actress,Entertainment,30,26-35,Edyta Sliwinska,2,United States,Pennsylvania,1,5.0,0.4545454545454545,10.0,0.005709455913195979,739820.9535095912,4223.975117721623
Monique Coleman,3,1,19.0,6.333333333333333,3,6.0,6.0,7.0,,4,8.0,False,Actor/Actress,Entertainment,25,≤25,Louis van Amstel,2,United States,South Carolina,1,6.0,0.5454545454545454,10.0,0.000772690833139331,739820.9535095912,571.6528689412603
Shanna Moakler,3,1,18.0,6.0,3,7.0,5.0,6.0,,10,2.0,False,Model,Model,31,26-35,Jesse DeSoto,0,United States,Rhode Island,1,7.0,0.6363636363636364,10.0,0.0002842570718935933,739820.9535095912,210.2993379701626
Harry Hamlin,3,1,17.0,5.666666666666667,3,5.0,6.0,6.0,,9,3.0,False,Actor/Actress,Entertainment,54,46-55,Ashly DelGrosso,2,United States,California,1,8.0,0.7272727272727273,10.0,0.0001045723327572456,739820.9535095912,77.3648029311877
Jerry Springer,3,1,16.0,5.333333333333333,3,5.0,5.0,6.0,,5,7.0,False,TV Personality,Media,62,>55,Kym Johnson,0,England,Unknown,0,9.0,0.8181818181818182,10.0,3.8470011336729626e-05,739820.9535095912,28.460920468664096
Sara Evans,3,1,15.0,5.0,3,5.0,5.0,5.0,,6,-1.0,False,Singer/Rapper,Entertainment,35,26-35,Tony Dovolani,1,United States,Missouri,1,10.0,0.9090909090909092,10.0,1.4152326272415143e-05,739820.9535095912,10.47018751723701
Tucker Carlson,3,1,12.0,4.0,3,5.0,4.0,3.0,,11,1.0,True,TV Personality,Media,37,36-45,Elena Grinenko,0,United States,California,1,11.0,1.0,10.0,7.046028356890499e-07,739820.9535095912,0.5212799417450347
Joey Lawrence,3,2,29.0,9.666666666666666,3,10.0,9.0,10.0,,3,,False,Actor/Actress,Entertainment,30,26-35,Edyta Sliwinska,2,United States,Pennsylvania,1,1.0,0.1,10.0,0.3991999100000004,801472.6996353905,319947.82956190524
Jerry Springer,3,2,19.0,6.333333333333333,3,7.0,6.0,6.0,,5,7.0,False,TV Personality,Media,62,>55,Kym Johnson,0,England,Unknown,0,10.0,1.0,10.0,0.30020000999999924,801472.6996353905,240602.1124452706
Mario Lopez,3,2,21.0,7.0,3,7.0,6.0,8.0,,2,,False,Actor/Actress,Entertainment,32,26-35,Karina Smirnoff,0,United States,California,1,7.0,0.8,10.0,0.10020001000000002,801472.6996353905,80307.57251819315
Sara Evans,3,2,21.0,7.0,3,7.0,7.0,7.0,,6,-1.0,False,Singer/Rapper,Entertainment,35,26-35,Tony Dovolani,1,United States,Missouri,1,7.0,0.8,10.0,0.10020000999999988,801472.6996353905,80307.57251819303
Harry Hamlin,3,2,21.0,7.0,3,7.0,7.0,7.0,,9,3.0,False,Actor/Actress,Entertainment,54,46-55,Ashly DelGrosso,2,United States,California,1,7.0,0.8,10.0,0.10020000999999974,801472.6996353905,80307.57251819292
Shanna Moakler,3,2,22.0,7.333333333333333,3,8.0,7.0,7.0,,10,2.0,True,Model,Model,31,26-35,Jesse DeSoto,0,United States,Rhode Island,1,6.0,0.6,10.0,1.0000000308721386e-08,801472.6996353905,0.008014727243785668
Willa Ford,3,2,23.0,7.666666666666667,3,7.0,8.0,8.0,,7,5.0,False,Singer/Rapper,Entertainment,25,≤25,Maksim Chmerkoskiy,1,United States,Florida,1,5.0,0.5,10.0,1.0000000149560507e-08,801472.6996353905,0.008014727116222569
Vivica A. Fox,3,2,24.0,8.0,3,8.0,8.0,8.0,,8,4.0,False,Actor/Actress,Entertainment,42,36-45,Nick Kosovich,1,United States,Indiana,1,3.0,0.35,10.0,1.0000000148259464e-08,801472.6996353905,0.008014727115179818
Monique Coleman,3,2,26.0,8.666666666666666,3,9.0,8.0,9.0,,4,8.0,False,Actor/Actress,Entertainment,25,≤25,Louis van Amstel,2,United States,South Carolina,1,2.0,0.2,10.0,1.000000000167533e-08,801472.6996353905,0.008014726997696637
Emmitt Smith,3,2,24.0,8.0,3,8.0,8.0,8.0,,1,,False,Athlete,Sports,37,36-45,Cheryl Burke,1,United States,Florida,1,3.0,0.35,10.0,9.999999999999995e-09,801472.6996353905,0.008014726996353902
Emmitt Smith,3,3,19.0,6.333333333333333,3,7.0,6.0,6.0,,1,,False,Athlete,Sports,37,36-45,Cheryl Burke,1,United States,Florida,1,9.0,1.0,10.0,0.3752000100000003,863124.4457611898,323844.3006808431
Vivica A. Fox,3,3,27.0,9.0,3,9.0,9.0,9.0,,8,4.0,False,Actor/Actress,Entertainment,42,36-45,Nick Kosovich,1,United States,Indiana,1,1.0,0.1666666666666666,10.0,0.24949996499999985,863124.4457611898,215349.51900806112
Monique Coleman,3,3,27.0,9.0,3,9.0,9.0,9.0,,4,8.0,False,Actor/Actress,Entertainment,25,≤25,Louis van Amstel,2,United States,South Carolina,1,1.0,0.1666666666666666,10.0,0.24949996499999977,863124.4457611898,215349.51900806106
Jerry Springer,3,3,21.0,7.0,3,7.0,7.0,7.0,,5,7.0,False,TV Personality,Media,62,>55,Kym Johnson,0,England,Unknown,0,8.0,0.8888888888888888,10.0,0.12520000999999992,863124.4457611898,108063.18924054535
Mario Lopez,3,3,22.0,7.333333333333333,3,8.0,6.0,8.0,,2,,False,Actor/Actress,Entertainment,32,26-35,Karina Smirnoff,0,United States,California,1,4.0,0.6111111111111112,10.0,0.00020001000000024983,863124.4457611898,172.6335203969112
Joey Lawrence,3,3,22.0,7.333333333333333,3,8.0,6.0,8.0,,3,,False,Actor/Actress,Entertainment,30,26-35,Edyta Sliwinska,2,United States,Pennsylvania,1,4.0,0.6111111111111112,10.0,0.0002000100000000382,863124.4457611898,172.63352039672853
Willa Ford,3,3,22.0,7.333333333333333,3,7.0,7.0,8.0,,7,5.0,False,Singer/Rapper,Entertainment,25,≤25,Maksim Chmerkoskiy,1,United States,Florida,1,4.0,0.6111111111111112,10.0,0.0002000100000000061,863124.4457611898,172.63352039670085
Harry Hamlin,3,3,22.0,7.333333333333333,3,7.0,8.0,7.0,,9,3.0,True,Actor/Actress,Entertainment,54,46-55,Ashly DelGrosso,2,United States,California,1,4.0,0.6111111111111112,10.0,1e-08,863124.4457611898,0.008631244457611898
Sara Evans,3,3,25.0,8.333333333333334,3,8.0,9.0,8.0,,6,-1.0,False,Singer/Rapper,Entertainment,35,26-35,Tony Dovolani,1,United States,Missouri,1,3.0,0.3333333333333333,10.0,1e-08,863124.4457611898,0.008631244457611898
Sara Evans,3,4,20.0,6.666666666666667,3,6.0,7.0,7.0,,6,-1.0,False,Singer/Rapper,Entertainment,35,26-35,Tony Dovolani,1,United States,Missouri,1,8.0,1.0,10.0,0.44464445444444384,924776.191886989,411196.60532480053
