season,week,celebrity_name,partner,celebrity_industry,industry_category,home_state,home_country,age,age_group,judge_total,judge_mean,judge_count,p_survive_next,vote_share_hat,total_votes_hat,votes_hat,placement,elimination_week
2,1,Drew Lachey,Cheryl Burke,Singer/Rapper,Entertainment,Ohio,United States,29,26-35,24.0,8.0,3,0.9873900243526121,0.11563828175152618,800000.0,92510.62540122095,1,
2,1,Tatum O'Neal,Nick Kosovich,Actor/Actress,Entertainment,California,United States,42,36-45,23.0,7.666666666666667,3,0.9832163648009223,0.11265033995489054,800000.0,90120.27196391244,9,2.0
2,1,Giselle Fernandez,Jonathan Roberts,News Anchor,Media,Unknown,Mexico,44,36-45,23.0,7.666666666666667,3,0.9664331597060641,0.11170897836545048,800000.0,89367.18269236038,8,3.0
2,1,Stacy Keibler,Tony Dovolani,Athlete,Sports,Maryland,United States,26,26-35,22.0,7.333333333333333,3,0.9873279028057048,0.10992830009708804,800000.0,87942.64007767042,3,
2,1,Jerry Rice,Anna Trebunskaya,Athlete,Sports,Mississippi,United States,43,36-45,21.0,7.0,3,0.9863833310711029,0.10679453147379189,800000.0,85435.62517903351,2,
2,1,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Entertainment,Hawaii,United States,39,36-45,20.0,6.666666666666667,3,0.981330942671193,0.10340783263186056,800000.0,82726.26610548844,6,5.0
2,1,Lisa Rinna,Louis van Amstel,Actor/Actress,Entertainment,California,United States,42,36-45,19.0,6.333333333333333,3,0.9681566916975363,0.09967956789877848,800000.0,79743.65431902278,4,7.0
2,1,George Hamilton,Edyta Sliwinska,Actor/Actress,Entertainment,Tennessee,United States,66,>55,18.0,6.0,3,0.9648114742449617,0.09660092278671997,800000.0,77280.73822937597,5,6.0
2,1,Master P,Ashly DelGrosso,Singer/Rapper,Entertainment,Louisiana,United States,35,26-35,12.0,4.0,3,0.8776957391321091,0.08081040566583865,800000.0,64648.32453267092,7,4.0
2,1,Kenny Mayne,Andrea Hale,Sports Broadcaster,Media,Washington,United States,46,46-55,13.0,4.333333333333333,3,0.3410161386136555,0.06278083937405526,800000.0,50224.671499244214,10,1.0
2,2,Stacy Keibler,Tony Dovolani,Athlete,Sports,Maryland,United States,26,26-35,29.0,9.666666666666666,3,0.9835328625017127,0.13742233625094188,885714.2857142858,121716.92639369139,3,
2,2,Drew Lachey,Cheryl Burke,Singer/Rapper,Entertainment,Ohio,United States,29,26-35,27.0,9.0,3,0.9785855204297517,0.13193359398861196,885714.2857142858,116855.46896134203,1,
2,2,Jerry Rice,Anna Trebunskaya,Athlete,Sports,Mississippi,United States,43,36-45,23.0,7.666666666666667,3,0.9756513358902007,0.11862829779790465,885714.2857142858,105070.7780495727,2,
2,2,Giselle Fernandez,Jonathan Roberts,News Anchor,Media,Unknown,Mexico,44,36-45,24.0,8.0,3,0.9150018534044652,0.11844945122325086,885714.2857142858,104912.37108345077,8,3.0
2,2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Entertainment,Hawaii,United States,39,36-45,22.0,7.333333333333333,3,0.9595362058104105,0.11426209625528608,885714.2857142858,101203.57096896767,6,5.0
2,2,George Hamilton,Edyta Sliwinska,Actor/Actress,Entertainment,Tennessee,United States,66,>55,22.0,7.333333333333333,3,0.9325580451135781,0.11273115437067582,885714.2857142858,99847.59387117003,5,6.0
2,2,Lisa Rinna,Louis van Amstel,Actor/Actress,Entertainment,California,United States,42,36-45,20.0,6.666666666666667,3,0.8647353265860779,0.10287758676089577,885714.2857142858,91120.14827393627,4,7.0
2,2,Master P,Ashly DelGrosso,Singer/Rapper,Entertainment,Louisiana,United States,35,26-35,16.0,5.333333333333333,3,0.7570093617722026,0.08888517200656744,885714.2857142858,78726.86663438831,7,4.0
2,2,Tatum O'Neal,Nick Kosovich,Actor/Actress,Entertainment,California,United States,42,36-45,17.0,5.666666666666667,3,0.3736531745302228,0.07481031134586547,885714.2857142858,66260.56147776656,9,2.0
2,3,Stacy Keibler,Tony Dovolani,Athlete,Sports,Maryland,United States,26,26-35,27.0,9.0,3,0.9843279991005933,0.1430331022107047,971428.5714285715,138946.4421475417,3,
2,3,Drew Lachey,Cheryl Burke,Singer/Rapper,Entertainment,Ohio,United States,29,26-35,27.0,9.0,3,0.9795396311493514,0.1426910642636778,971428.5714285715,138614.17671328702,1,
2,3,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Entertainment,Hawaii,United States,39,36-45,26.0,8.666666666666666,3,0.98219102115986,0.13958225540603064,971428.5714285715,135594.19096585835,6,5.0
2,3,Lisa Rinna,Louis van Amstel,Actor/Actress,Entertainment,California,United States,42,36-45,25.0,8.333333333333334,3,0.9746274113649505,0.13559611584678957,971428.5714285715,131721.94110830987,4,7.0
2,3,George Hamilton,Edyta Sliwinska,Actor/Actress,Entertainment,Tennessee,United States,66,>55,22.0,7.333333333333333,3,0.9338484661511841,0.12245729640535997,971428.5714285715,118958.51650806399,5,6.0
2,3,Jerry Rice,Anna Trebunskaya,Athlete,Sports,Mississippi,United States,43,36-45,19.0,6.333333333333333,3,0.9045571463731376,0.11169639707549235,971428.5714285715,108505.071444764,2,
2,3,Giselle Fernandez,Jonathan Roberts,News Anchor,Media,Unknown,Mexico,44,36-45,22.0,7.333333333333333,3,0.7427883478522587,0.11130033957747183,971428.5714285715,108120.32987525835,8,3.0
2,3,Master P,Ashly DelGrosso,Singer/Rapper,Entertainment,Louisiana,United States,35,26-35,14.0,4.666666666666667,3,0.7295264522442466,0.0936434292144731,971428.5714285715,90967.90266548816,7,4.0
2,4,Drew Lachey,Cheryl Burke,Singer/Rapper,Entertainment,Ohio,United States,29,26-35,28.0,9.333333333333334,3,0.9841113727923914,0.16123993956953847,1057142.8571428573,170453.65040208356,1,
2,4,Stacy Keibler,Tony Dovolani,Athlete,Sports,Maryland,United States,26,26-35,26.0,8.666666666666666,3,0.9781357045870918,0.15551457709257643,1057142.8571428573,164401.1243550094,3,
2,4,Lisa Rinna,Louis van Amstel,Actor/Actress,Entertainment,California,United States,42,36-45,26.0,8.666666666666666,3,0.9746175197497259,0.1552412530506245,1057142.8571428573,164112.1817963745,4,7.0
2,4,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Entertainment,Hawaii,United States,39,36-45,25.0,8.333333333333334,3,0.9667047115322723,0.151930837875815,1057142.8571428573,160612.60004014728,6,5.0
2,4,Jerry Rice,Anna Trebunskaya,Athlete,Sports,Mississippi,United States,43,36-45,24.0,8.0,3,0.9575504734092892,0.14852961179828147,1057142.8571428573,157017.01818675472,2,
2,4,George Hamilton,Edyta Sliwinska,Actor/Actress,Entertainment,Tennessee,United States,66,>55,21.0,7.0,3,0.952652580316785,0.14022414174823547,1057142.8571428573,148236.94984813465,5,6.0
2,4,Master P,Ashly DelGrosso,Singer/Rapper,Entertainment,Louisiana,United States,35,26-35,8.0,2.6666666666666665,3,0.3432505538575444,0.08731963886492856,1057142.8571428573,92309.33251435307,7,4.0
2,5,Stacy Keibler,Tony Dovolani,Athlete,Sports,Maryland,United States,26,26-35,30.0,10.0,3,0.9763217770216552,0.20430421681534988,1142857.1428571427,233490.53350325697,3,
2,5,Drew Lachey,Cheryl Burke,Singer/Rapper,Entertainment,Ohio,United States,29,26-35,27.0,9.0,3,0.9846366062432405,0.18680478029344297,1142857.1428571427,213491.17747822052,1,
2,5,Lisa Rinna,Louis van Amstel,Actor/Actress,Entertainment,California,United States,42,36-45,25.0,8.333333333333334,3,0.9820848950352958,0.17171541878160593,1142857.1428571427,196246.19289326388,4,7.0
2,5,George Hamilton,Edyta Sliwinska,Actor/Actress,Entertainment,Tennessee,United States,66,>55,24.0,8.0,3,0.8857560000281756,0.1569008524508111,1142857.1428571427,179315.25994378407,5,6.0
2,5,Jerry Rice,Anna Trebunskaya,Athlete,Sports,Mississippi,United States,43,36-45,23.0,7.666666666666667,3,0.8915843005605201,0.15128682747007555,1142857.1428571427,172899.23139437204,2,
2,5,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Entertainment,Hawaii,United States,39,36-45,22.0,7.333333333333333,3,0.6424707986368539,0.12898790418871453,1142857.1428571427,147414.74764424516,6,5.0
2,6,Stacy Keibler,Tony Dovolani,Athlete,Sports,Maryland,United States,26,26-35,30.0,10.0,3,0.9708642017697527,0.23411340417047607,1228571.4285714286,287625.03940944205,3,
2,6,Drew Lachey,Cheryl Burke,Singer/Rapper,Entertainment,Ohio,United States,29,26-35,30.0,10.0,3,0.9656239703456745,0.23350080285543473,1228571.4285714286,286872.41493667697,1,
2,6,Lisa Rinna,Louis van Amstel,Actor/Actress,Entertainment,California,United States,42,36-45,27.0,9.0,3,0.9212045497054631,0.2069985690017021,1228571.4285714286,254312.5276306626,4,7.0
2,6,Jerry Rice,Anna Trebunskaya,Athlete,Sports,Mississippi,United States,43,36-45,23.0,7.666666666666667,3,0.8046547086639835,0.17107112744728978,1228571.4285714286,210173.09943524175,2,
2,6,George Hamilton,Edyta Sliwinska,Actor/Actress,Entertainment,Tennessee,United States,66,>55,23.0,7.666666666666667,3,0.5985020158533959,0.15431609652509742,1228571.4285714286,189588.3471594054,5,6.0
2,7,Drew Lachey,Cheryl Burke,Singer/Rapper,Entertainment,Ohio,United States,29,26-35,27.5,9.166666666666666,3,0.9712895364566964,0.2774553548798276,1314285.7142857143,364655.6092706306,1,
2,7,Stacy Keibler,Tony Dovolani,Athlete,Sports,Maryland,United States,26,26-35,27.5,9.166666666666666,3,0.9644644723786864,0.2765101432915994,1314285.7142857143,363413.33118324494,3,
2,7,Lisa Rinna,Louis van Amstel,Actor/Actress,Entertainment,California,United States,42,36-45,26.5,8.833333333333334,3,0.910762490973547,0.2598501373006122,1314285.7142857143,341517.323309376,4,7.0
2,7,Jerry Rice,Anna Trebunskaya,Athlete,Sports,Mississippi,United States,43,36-45,20.5,6.833333333333333,3,0.633106869377234,0.18618436452796072,1314285.7142857143,244699.45052246266,2,
2,8,Drew Lachey,Cheryl Burke,Singer/Rapper,Entertainment,Ohio,United States,29,26-35,28.9998,9.6666,3,0.9466991615361228,0.3776646944532119,1400000.0,528730.5722344966,1,
2,8,Stacy Keibler,Tony Dovolani,Athlete,Sports,Maryland,United States,26,26-35,28.6665,9.5555,3,0.8985183778865244,0.3576293692063787,1400000.0,500681.1168889302,3,
2,8,Jerry Rice,Anna Trebunskaya,Athlete,Sports,Mississippi,United States,43,36-45,26.666600000000003,8.888866666666667,3,0.6635982395591913,0.2647059363404094,1400000.0,370588.31087657314,2,
3,1,Mario Lopez,Karina Smirnoff,Actor/Actress,Entertainment,California,United States,32,26-35,26.0,8.666666666666666,3,0.9843771455847481,0.10888444069354063,800000.0,87107.5525548325,2,
3,1,Emmitt Smith,Cheryl Burke,Athlete,Sports,Florida,United States,37,36-45,24.0,8.0,3,0.987688304768177,0.10492778960796423,800000.0,83942.23168637138,1,
3,1,Vivica A. Fox,Nick Kosovich,Actor/Actress,Entertainment,Indiana,United States,42,36-45,22.0,7.333333333333333,3,0.9897288693078926,0.099985169724589,800000.0,79988.1357796712,8,4.0
3,1,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Entertainment,Florida,United States,25,≤25,22.0,7.333333333333333,3,0.9873279028057048,0.09986521122147038,800000.0,79892.1689771763,7,5.0
3,1,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Entertainment,Pennsylvania,United States,30,26-35,21.0,7.0,3,0.9873279028057048,0.09711854685497981,800000.0,77694.83748398385,3,
3,1,Monique Coleman,Louis van Amstel,Actor/Actress,Entertainment,South Carolina,United States,25,≤25,19.0,6.333333333333333,3,0.984407274816265,0.09140492179260885,800000.0,73123.93743408709,4,8.0
3,1,Shanna Moakler,Jesse DeSoto,Model,Model,Rhode Island,United States,31,26-35,18.0,6.0,3,0.9685626224411358,0.08803337237434537,800000.0,70426.6978994763,10,2.0
3,1,Harry Hamlin,Ashly DelGrosso,Actor/Actress,Entertainment,California,United States,54,46-55,17.0,5.666666666666667,3,0.9367422056475645,0.08420008982359185,800000.0,67360.07185887349,9,3.0
3,1,Jerry Springer,Kym Johnson,TV Personality,Media,Unknown,England,62,>55,16.0,5.333333333333333,3,0.9545790343567084,0.0827035049587563,800000.0,66162.80396700503,5,7.0
3,1,Sara Evans,Tony Dovolani,Singer/Rapper,Entertainment,Missouri,United States,35,26-35,15.0,5.0,3,0.9088622314180997,0.07887299022050451,800000.0,63098.392176403606,6,-1.0
3,1,Tucker Carlson,Elena Grinenko,TV Personality,Media,California,United States,37,36-45,12.0,4.0,3,0.6063837135355652,0.0640039627276492,800000.0,51203.170182119364,11,1.0
3,2,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Entertainment,Pennsylvania,United States,30,26-35,29.0,9.666666666666666,3,0.9825943252705526,0.12687702858643204,866666.6666666667,109960.09144157445,3,
3,2,Monique Coleman,Louis van Amstel,Actor/Actress,Entertainment,South Carolina,United States,25,≤25,26.0,8.666666666666666,3,0.9737126375440903,0.117184634904769,866666.6666666667,101560.01691746648,4,8.0
3,2,Emmitt Smith,Cheryl Burke,Athlete,Sports,Florida,United States,37,36-45,24.0,8.0,3,0.9862511808600836,0.10928163180877495,866666.6666666667,94710.74756760497,1,
3,2,Vivica A. Fox,Nick Kosovich,Actor/Actress,Entertainment,Indiana,United States,42,36-45,24.0,8.0,3,0.9815844360984622,0.10902693433496892,866666.6666666667,94490.00975697307,8,4.0
3,2,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Entertainment,Florida,United States,25,≤25,23.0,7.666666666666667,3,0.9762501524061478,0.10420205918074185,866666.6666666667,90308.45128997628,7,5.0
3,2,Mario Lopez,Karina Smirnoff,Actor/Actress,Entertainment,California,United States,32,26-35,21.0,7.0,3,0.923713276885556,0.09343584077591785,866666.6666666667,80977.72867246214,2,
3,2,Sara Evans,Tony Dovolani,Singer/Rapper,Entertainment,Missouri,United States,35,26-35,21.0,7.0,3,0.9044388984656808,0.09253970694075697,866666.6666666667,80201.07934865604,6,-1.0
3,2,Harry Hamlin,Ashly DelGrosso,Actor/Actress,Entertainment,California,United States,54,46-55,21.0,7.0,3,0.8535260086111394,0.09021370644775827,866666.6666666667,78185.21225472384,9,3.0
3,2,Shanna Moakler,Jesse DeSoto,Model,Model,Rhode Island,United States,31,26-35,22.0,7.333333333333333,3,0.5149293492268222,0.07928710986464761,866666.6666666667,68715.49521602794,10,2.0
3,2,Jerry Springer,Kym Johnson,TV Personality,Media,Unknown,England,62,>55,19.0,6.333333333333333,3,0.6941835217292727,0.07795134715523233,866666.6666666667,67557.83420120136,5,7.0
3,3,Vivica A. Fox,Nick Kosovich,Actor/Actress,Entertainment,Indiana,United States,42,36-45,27.0,9.0,3,0.9829173357344132,0.133241298637217,933333.3333333334,124358.54539473588,8,4.0
3,3,Monique Coleman,Louis van Amstel,Actor/Actress,Entertainment,South Carolina,United States,25,≤25,27.0,9.0,3,0.9726233395652222,0.13255726779115748,933333.3333333334,123720.11660508031,4,8.0
3,3,Sara Evans,Tony Dovolani,Singer/Rapper,Entertainment,Missouri,United States,35,26-35,25.0,8.333333333333334,3,0.9835328625017127,0.12447351992100572,933333.3333333334,116175.28525960534,6,-1.0
3,3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Entertainment,Florida,United States,25,≤25,22.0,7.333333333333333,3,0.9540667672832736,0.1074237928655238,933333.3333333334,100262.20667448889,7,5.0
3,3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Entertainment,Pennsylvania,United States,30,26-35,22.0,7.333333333333333,3,0.9537707325445275,0.10740789345501925,933333.3333333334,100247.36722468464,3,
3,3,Mario Lopez,Karina Smirnoff,Actor/Actress,Entertainment,California,United States,32,26-35,22.0,7.333333333333333,3,0.8918323192669778,0.10413253560160725,933333.3333333334,97190.36656150011,2,
3,3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,Entertainment,California,United States,54,46-55,22.0,7.333333333333333,3,0.8746998424434157,0.10324432123469131,933333.3333333334,96361.36648571189,9,3.0
3,3,Jerry Springer,Kym Johnson,TV Personality,Media,Unknown,England,62,>55,21.0,7.0,3,0.8501036597861639,0.09775926852492839,933333.3333333334,91241.98395659983,5,7.0
3,3,Emmitt Smith,Cheryl Burke,Athlete,Sports,Florida,United States,37,36-45,19.0,6.333333333333333,3,0.8161218320435824,0.08976010196884975,933333.3333333334,83776.09517092643,1,
3,4,Mario Lopez,Karina Smirnoff,Actor/Actress,Entertainment,California,United States,32,26-35,29.0,9.666666666666666,3,0.9759306983657368,0.15284343690779,1000000.0,152843.43690779002,2,
3,4,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Entertainment,Florida,United States,25,≤25,28.0,9.333333333333334,3,0.9812940383643578,0.14892310508850062,1000000.0,148923.10508850063,7,5.0
3,4,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Entertainment,Pennsylvania,United States,30,26-35,27.0,9.0,3,0.9812940383643578,0.14400685011850858,1000000.0,144006.8501185086,3,
3,4,Emmitt Smith,Cheryl Burke,Athlete,Sports,Florida,United States,37,36-45,24.0,8.0,3,0.9278771022491403,0.12454242673788213,1000000.0,124542.42673788212,1,
3,4,Monique Coleman,Louis van Amstel,Actor/Actress,Entertainment,South Carolina,United States,25,≤25,24.0,8.0,3,0.925955177306564,0.12442280362557015,1000000.0,124422.80362557014,4,8.0
3,4,Jerry Springer,Kym Johnson,TV Personality,Media,Unknown,England,62,>55,22.0,7.333333333333333,3,0.8523244337823056,0.11127371190851011,1000000.0,111273.71190851011,5,7.0
3,4,Sara Evans,Tony Dovolani,Singer/Rapper,Entertainment,Missouri,United States,35,26-35,20.0,6.666666666666667,3,0.7176149353341341,0.09823376659196971,1000000.0,98233.7665919697,6,-1.0
3,4,Vivica A. Fox,Nick Kosovich,Actor/Actress,Entertainment,Indiana,United States,42,36-45,24.0,8.0,3,0.40214692868089535,0.09575389902126871,1000000.0,95753.8990212687,8,4.0
3,5,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Entertainment,Florida,United States,25,≤25,27.0,9.0,3,0.9830663958548346,0.1616015095653129,1066666.6666666667,172374.9435363338,7,5.0
3,5,Emmitt Smith,Cheryl Burke,Athlete,Sports,Florida,United States,37,36-45,27.0,9.0,3,0.980997467761819,0.16143442505016806,1066666.6666666667,172196.7200535126,1,
3,5,Mario Lopez,Karina Smirnoff,Actor/Actress,Entertainment,California,United States,32,26-35,27.0,9.0,3,0.9781999337841332,0.16120877375912498,1066666.6666666667,171956.02534306666,2,
3,5,Monique Coleman,Louis van Amstel,Actor/Actress,Entertainment,South Carolina,United States,25,≤25,27.0,9.0,3,0.9631614858512012,0.16000115475252408,1066666.6666666667,170667.89840269237,4,8.0
3,5,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Entertainment,Pennsylvania,United States,30,26-35,25.0,8.333333333333334,3,0.891642424961148,0.13101781090166462,1066666.6666666667,139752.33162844228,3,
3,5,Sara Evans,Tony Dovolani,Singer/Rapper,Entertainment,Missouri,United States,35,26-35,24.0,8.0,3,0.7320709522306766,0.11289527532198336,1066666.6666666667,120421.6270101156,6,-1.0
3,5,Jerry Springer,Kym Johnson,TV Personality,Media,Unknown,England,62,>55,24.0,8.0,3,0.713307053675025,0.11184105064922202,1066666.6666666667,119297.1206925035,5,7.0
3,6,Mario Lopez,Karina Smirnoff,Actor/Actress,Entertainment,California,United States,32,26-35,28.0,9.333333333333334,3,0.9610099389105083,0.2326377032819351,1133333.3333333333,263656.0637195264,2,
3,6,Emmitt Smith,Cheryl Burke,Athlete,Sports,Florida,United States,37,36-45,25.0,8.333333333333334,3,0.9685796116463045,0.21396934058153683,1133333.3333333333,242498.5859924084,1,
3,6,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Entertainment,Pennsylvania,United States,30,26-35,24.0,8.0,3,0.9503899165570853,0.20500397548856952,1133333.3333333333,232337.83888704545,3,
3,6,Monique Coleman,Louis van Amstel,Actor/Actress,Entertainment,South Carolina,United States,25,≤25,23.0,7.666666666666667,3,0.9084569416868794,0.19399790186011748,1133333.3333333333,219864.2887747998,4,8.0
3,6,Jerry Springer,Kym Johnson,TV Personality,Media,Unknown,England,62,>55,18.0,6.0,3,0.73351784391043,0.15439107878784114,1133333.3333333333,174976.55595955328,5,7.0
3,7,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Entertainment,Pennsylvania,United States,30,26-35,28.5,9.5,3,0.9579670367519006,0.2217294116328158,1200000.0,266075.29395937896,3,
3,7,Emmitt Smith,Cheryl Burke,Athlete,Sports,Florida,United States,37,36-45,28.5,9.5,3,0.9559710129513582,0.22150823342896417,1200000.0,265809.880114757,1,
3,7,Mario Lopez,Karina Smirnoff,Actor/Actress,Entertainment,California,United States,32,26-35,28.0,9.333333333333334,3,0.9499876388951707,0.21537854178345406,1200000.0,258454.25014014487,2,
3,7,Monique Coleman,Louis van Amstel,Actor/Actress,Entertainment,South Carolina,United States,25,≤25,27.0,9.0,3,0.9203441069057854,0.20123625892055463,1200000.0,241483.51070466556,4,8.0
3,7,Jerry Springer,Kym Johnson,TV Personality,Media,Unknown,England,62,>55,23.0,7.666666666666667,3,0.5455898675961078,0.14014755423421146,1200000.0,168177.06508105376,5,7.0
3,8,Mario Lopez,Karina Smirnoff,Actor/Actress,Entertainment,California,United States,32,26-35,28.5,9.5,3,0.9687480274194518,0.3248958137800524,1266666.6666666665,411534.69745473296,2,
3,8,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Entertainment,Pennsylvania,United States,30,26-35,27.0,9.0,3,0.7516237473194927,0.24095690898776514,1266666.6666666665,305212.0847178358,3,
3,8,Emmitt Smith,Cheryl Burke,Athlete,Sports,Florida,United States,37,36-45,27.0,9.0,3,0.7424633132516159,0.23985579763821505,1266666.6666666665,303817.34367507236,1,
3,8,Monique Coleman,Louis van Amstel,Actor/Actress,Entertainment,South Carolina,United States,25,≤25,26.5,8.833333333333334,3,0.45335276297296995,0.19429147959396734,1266666.6666666665,246102.54081902525,4,8.0
3,9,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Entertainment,Pennsylvania,United States,30,26-35,29.5,9.833333333333334,3,0.8588549848601652,0.33415203266726123,1333333.3333333335,445536.04355634836,3,
3,9,Emmitt Smith,Cheryl Burke,Athlete,Sports,Florida,United States,37,36-45,29.5,9.833333333333334,3,0.8569003033040914,0.3338256117978678,1333333.3333333335,445100.81573049043,1,
