season,week,method,w_judge,n_contestants,excitement_var
7,10,rank,,3,0.33333333333333337
8,1,rank,,13,0.10665954415954415
8,2,rank,,13,0.11698354555497413
8,3,rank,,12,0.14066287878787878
8,4,rank,,11,0.10954545454545454
8,5,rank,,9,0.1421485260770975
8,6,rank,,8,0.12791545189504375
8,7,rank,,7,0.1335978835978836
8,8,rank,,6,0.13539094650205763
8,9,rank,,5,0.19795918367346937
8,10,rank,,4,0.18518518518518515
8,11,rank,,3,0.25
9,1,rank,,16,0.1017637732857709
9,2,rank,,14,0.102610989010989
9,3,rank,,13,0.11988768806950623
9,4,rank,,11,0.13524130190796857
9,5,rank,,10,0.13893229166666668
9,6,rank,,9,0.14413265306122447
9,7,rank,,7,0.13359788359788363
9,8,rank,,5,0.18888888888888888
9,9,rank,,4,0.25
9,10,rank,,3,0.25
10,1,rank,,11,0.1071818181818182
10,2,rank,,11,0.11865366467442592
10,3,rank,,10,0.11526063100137174
10,4,rank,,9,0.13222222222222224
10,5,rank,,8,0.11579810495626822
10,6,rank,,7,0.12962962962962965
10,7,rank,,6,0.19791666666666666
10,8,rank,,5,0.16875
10,9,rank,,4,0.25
10,10,rank,,3,0.25
11,1,rank,,12,0.11931818181818182
11,2,rank,,11,0.10718181818181818
11,3,rank,,10,0.11810699588477368
11,4,rank,,9,0.1171875
11,5,rank,,8,0.1661706349206349
11,6,rank,,7,0.10333333333333335
11,7,rank,,6,0.1963541666666667
11,8,rank,,5,0.2183673469387755
11,9,rank,,4,0.24000000000000002
11,10,rank,,3,0.25
12,1,rank,,11,0.1121818181818182
12,2,rank,,11,0.13041526374859708
12,3,rank,,10,0.11371742112482854
12,4,rank,,9,0.13234567901234567
12,5,rank,,8,0.14967757936507936
12,6,rank,,7,0.13988095238095238
12,7,rank,,6,0.19791666666666666
12,8,rank,,5,0.17346938775510204
12,9,rank,,4,0.1851851851851852
12,10,rank,,3,0.33333333333333337
13,1,rank,,12,0.11061545204107186
13,2,rank,,11,0.1365767045454546
13,3,rank,,10,0.10276543209876543
13,4,rank,,9,0.14069690992767916
13,5,rank,,8,0.12673104956268222
13,6,rank,,7,0.13988095238095238
13,7,rank,,6,0.16790123456790124
13,8,rank,,5,0.159375
13,9,rank,,4,0.1851851851851852
13,10,rank,,3,0.25
14,1,rank,,12,0.1428170594837261
14,2,rank,,12,0.11124154770848986
14,3,rank,,11,0.11001420454545452
14,4,rank,,10,0.12164552095347941
14,5,rank,,9,0.12890625
14,6,rank,,8,0.12244897959183675
14,7,rank,,7,0.14718614718614723
14,8,rank,,6,0.13866666666666666
14,9,rank,,4,0.16666666666666666
14,10,rank,,3,0.33333333333333337
15,1,rank,,13,0.10605858262108263
15,2,rank,,12,0.10005681818181818
15,3,rank,,11,0.14079685746352413
15,4,rank,,9,0.1393827160493827
15,5,rank,,8,0.15597667638483964
15,6,rank,,8,0.12610229276895943
15,7,rank,,7,0.12962962962962962
15,8,rank,,7,0.09821428571428574
15,9,rank,,5,0.1530612244897959
15,10,rank,,3,0.25
16,1,rank,,12,0.11737728524918606
16,2,rank,,12,0.10372839969947406
16,3,rank,,11,0.11213636363636363
16,4,rank,,10,0.12229911572472124
16,5,rank,,9,0.13010204081632654
16,6,rank,,8,0.12162900874635567
16,7,rank,,7,0.12962962962962965
16,8,rank,,6,0.13999999999999999
16,9,rank,,5,0.2
16,10,rank,,4,0.2766666666666667
17,1,rank,,12,0.11099110944152263
17,2,rank,,12,0.1234109805538377
17,3,rank,,11,0.11916393855452026
17,4,rank,,10,0.1318244170096022
17,5,rank,,9,0.12006427915518825
17,6,rank,,8,0.12244897959183672
17,7,rank,,8,0.16865079365079366
17,8,rank,,7,0.18904761904761905
17,9,rank,,6,0.10952380952380954
17,10,rank,,5,0.19387755102040813
17,11,rank,,4,0.1851851851851852
18,1,rank,,12,0.11424680691209618
18,2,rank,,11,0.13125
18,3,rank,,9,0.15234375
18,4,rank,,9,0.1140407986111111
18,5,rank,,9,0.12555555555555556
18,6,rank,,8,0.1488095238095238
18,7,rank,,7,0.12962962962962965
18,8,rank,,6,0.1
18,9,rank,,5,0.19999999999999996
18,10,rank,,4,0.24000000000000002
19,1,rank,,13,0.1134700208424216
19,2,rank,,12,0.1265198279087168
19,3,rank,,11,0.11872727272727275
19,4,rank,,10,0.1558299039780521
19,5,rank,,9,0.1267361111111111
19,6,rank,,9,0.14907955292570677
19,7,rank,,8,0.13693998309382924
19,8,rank,,7,0.12962962962962962
19,9,rank,,6,0.16008230452674893
19,10,rank,,5,0.15625
19,11,rank,,4,0.1851851851851852
20,1,rank,,12,0.1065719696969697
20,2,rank,,12,0.09928229665071768
20,3,rank,,11,0.12636615462100226
20,4,rank,,10,0.1326388888888889
20,5,rank,,9,0.16685956790123457
20,6,rank,,8,0.16455853174603172
20,7,rank,,7,0.1130952380952381
20,8,rank,,6,0.136
20,9,rank,,4,0.17592592592592593
20,10,rank,,3,0.33333333333333337
21,1,rank,,13,0.10643696581196582
21,2,rank,,13,0.10238603988603988
21,3,rank,,10,0.12349108367626885
21,4,rank,,10,0.12633744855967077
21,5,rank,,9,0.11176215277777776
21,6,rank,,9,0.1279296875
21,7,rank,,8,0.16553571428571429
21,8,rank,,7,0.1306216931216931
21,9,rank,,6,0.11866666666666666
21,10,rank,,4,0.21064814814814817
21,11,rank,,4,0.22916666666666666
22,1,rank,,12,0.12000688705234162
22,2,rank,,12,0.11023979464062111
22,3,rank,,11,0.09763636363636363
22,4,rank,,10,0.14674479166666668
22,5,rank,,9,0.11176215277777778
22,6,rank,,9,0.09418402777777778
22,7,rank,,8,0.17886658795749708
22,8,rank,,6,0.10952380952380954
22,9,rank,,5,0.15625
22,10,rank,,3,0.25
23,1,rank,,13,0.10990918803418805
23,2,rank,,13,0.12646084074655503
23,3,rank,,12,0.10573421287707002
23,4,rank,,11,0.1081818181818182
23,5,rank,,9,0.16777777777777778
23,6,rank,,9,0.1171875
23,7,rank,,8,0.17943948412698413
23,8,rank,,7,0.17476190476190476
23,9,rank,,6,0.18641975308641975
23,10,rank,,5,0.128
23,11,rank,,4,0.1851851851851852
24,1,rank,,12,0.1136207112446782
24,2,rank,,12,0.1283901515151515
24,3,rank,,11,0.12362514029180696
24,4,rank,,10,0.10438957475994512
24,5,rank,,9,0.13747165532879818
24,6,rank,,8,0.10714285714285714
24,7,rank,,7,0.19929453262786598
24,8,rank,,5,0.15625
24,9,rank,,4,0.16666666666666666
24,10,rank,,3,0.25
25,1,rank,,13,0.10861823361823363
25,2,rank,,13,0.10663728632478632
25,3,rank,,11,0.07968181818181819
25,4,rank,,11,0.10365147318055905
25,5,rank,,10,0.1259114583333333
25,6,rank,,9,0.11241319444444445
25,7,rank,,8,0.13256195335276968
25,8,rank,,6,0.19375
25,9,rank,,5,0.18055555555555558
25,10,rank,,4,0.25
26,1,rank,,10,0.14952256944444445
26,2,rank,,8,0.10640321217244295
26,3,rank,,6,0.13866666666666666
26,4,rank,,3,0.25
27,1,rank,,13,0.10748388347632208
27,2,rank,,12,0.12786023500309215
27,3,rank,,11,0.13973063973063976
27,4,rank,,10,0.10861678004535147
27,5,rank,,9,0.12413194444444445
27,6,rank,,9,0.15236686390532542
27,7,rank,,8,0.1357886904761905
27,8,rank,,6,0.1860082304526749
27,9,rank,,4,0.25
28,1,rank,,12,0.10159967443025293
28,2,rank,,12,0.1120902906617192
28,3,rank,,10,0.12294238683127572
28,4,rank,,10,0.17889546351084812
28,5,rank,,9,0.12413194444444445
28,6,rank,,9,0.1322699652777778
28,7,rank,,8,0.14462081128747797
28,8,rank,,7,0.2108843537414966
28,9,rank,,6,0.2
28,10,rank,,5,0.23199999999999998
28,11,rank,,4,0.1851851851851852
29,1,rank,,15,0.10467687074829932
29,2,rank,,15,0.11540616246498599
29,3,rank,,14,0.11083447802197803
29,4,rank,,13,0.15794159544159544
29,5,rank,,12,0.0994710417787341
29,6,rank,,11,0.1169445938676708
29,7,rank,,10,0.2777777777777778
29,8,rank,,8,0.10285714285714286
29,9,rank,,7,0.2075892857142857
29,10,rank,,6,0.17687074829931973
29,11,rank,,4,0.22222222222222224
30,1,rank,,15,0.09778911564625849
30,2,rank,,15,0.09086491739552964
30,3,rank,,14,0.1121327651939897
30,4,rank,,13,0.1535845107273679
30,5,rank,,11,0.13302411873840447
30,6,rank,,10,0.10434027777777778
30,7,rank,,9,0.10944444444444446
30,8,rank,,8,0.0816326530612245
30,9,rank,,6,0.15066666666666667
30,10,rank,,4,0.25
31,1,rank,,16,0.22916666666666666
31,2,rank,,15,0.0647776465958284
31,3,rank,,14,0.11401709401709399
31,4,rank,,13,0.12444444444444447
31,5,rank,,12,0.10386927122464312
31,6,rank,,10,0.12855831037649215
31,7,rank,,9,0.10277777777777777
31,8,rank,,8,0.20458553791887124
31,9,rank,,6,0.2416666666666667
31,10,rank,,4,0.3333333333333333
32,1,rank,,14,0.14835164835164832
32,2,rank,,13,0.08151313706869263
32,3,rank,,12,0.19502314814814817
32,4,rank,,11,0.17731029301277235
32,5,rank,,10,0.12000000000000001
32,6,rank,,9,0.19444444444444445
32,7,rank,,8,0.25749559082892415
32,8,rank,,7,0.2108843537414966
32,9,rank,,6,0.24000000000000005
32,10,rank,,5,0.15625
32,11,rank,,5,0.1609375
33,1,rank,,13,0.10051638176638177
33,2,rank,,13,0.16568550497121928
33,3,rank,,11,0.1555221637866266
33,4,rank,,9,0.13590449954086317
33,5,rank,,8,0.15714285714285717
33,6,rank,,7,0.15608465608465608
33,7,rank,,6,0.24
33,8,rank,,5,0.2
33,9,rank,,5,0.159375
34,1,rank,,14,0.10509195665445664
34,2,rank,,14,0.12395908589680217
34,3,rank,,12,0.11631944444444443
34,4,rank,,11,0.09639591178052717
34,5,rank,,10,0.10919067215363511
34,6,rank,,10,0.13415977961432507
34,7,rank,,9,0.17112482853223593
34,8,rank,,8,0.2354497354497354
34,9,rank,,7,0.2075249853027631
34,10,rank,,6,0.24375
34,11,rank,,5,0.16875
1,1,percent,,6,0.15041450792089578
1,2,percent,,6,0.2845550466973692
1,3,percent,,5,0.27697259475572983
1,4,percent,,4,0.24050449067488974
1,5,percent,,3,0.27590861499040037
1,6,percent,,2,0.5
2,1,percent,,10,0.11078033841053833
2,2,percent,,9,0.17871577866081037
2,3,percent,,8,0.16513019904900952
2,4,percent,,7,0.19764142540281662
2,5,percent,,6,0.2803933875615324
2,6,percent,,5,0.1948711405709972
2,7,percent,,4,0.31265203804794445
2,8,percent,,3,0.29244034386238854
3,1,percent,,11,0.08897582665342005
3,2,percent,,10,0.10985102027854637
3,3,percent,,9,0.16466105284446017
3,4,percent,,8,0.1674397326359265
3,5,percent,,7,0.28570956464492553
3,6,percent,,5,0.1327823826958215
3,7,percent,,5,0.17760415100790658
3,8,percent,,4,0.1875680233869762
3,9,percent,,3,0.0
3,10,percent,,2,0.0
4,1,percent,,11,0.09451145438059745
4,2,percent,,11,0.12046833410422612
4,3,percent,,10,0.17406056069654918
4,4,percent,,9,0.13722157031048482
4,5,percent,,8,0.11687618842724667
4,6,percent,,7,0.22906434193279201
4,7,percent,,6,0.21182544699960074
4,8,percent,,5,0.15660803649002833
4,9,percent,,4,0.22918779934990952
4,10,percent,,3,0.25929036186709925
5,1,percent,,12,0.08644033086150861
5,2,percent,,11,0.11894147376324608
5,3,percent,,10,0.13336743959805727
5,4,percent,,9,0.09636705404165052
5,5,percent,,8,0.1400957380252188
5,6,percent,,7,0.15994782362519214
5,7,percent,,6,0.12499877457824309
5,8,percent,,5,0.26100958039590816
5,9,percent,,4,0.33333319913269016
5,10,percent,,3,0.3136640567705239
6,1,percent,,12,0.10320531418959228
6,2,percent,,12,0.12333007066368616
6,3,percent,,10,0.13508913806259965
6,4,percent,,9,0.11288223974498898
6,5,percent,,8,0.12499981794637138
6,6,percent,,7,0.10994238869469908
6,7,percent,,6,0.1750158121261838
6,8,percent,,5,0.20405713084568808
6,9,percent,,4,0.1866074239718396
6,10,percent,,3,0.2551190020727705
7,1,percent,,13,0.0643397931116319
7,2,percent,,11,0.14491504219762033
7,3,percent,,9,0.07893760820606208
7,4,percent,,9,0.10618263772265016
7,5,percent,,8,0.22795818328004241
7,6,percent,,7,0.1120146504832041
7,7,percent,,6,0.15224807845288274
7,8,percent,,5,0.22441130989433422
7,9,percent,,4,0.1841980752607805
7,10,percent,,3,0.33333333333333337
8,1,percent,,13,0.09712930278990074
8,2,percent,,13,0.11247165492227884
8,3,percent,,12,0.14994481273279694
8,4,percent,,11,0.10808150664454172
8,5,percent,,9,0.13523717354091838
8,6,percent,,8,0.13243275834726498
8,7,percent,,7,0.1145225479152776
8,8,percent,,6,0.17586500538316152
8,9,percent,,5,0.254303803135948
8,10,percent,,4,0.1728394059702724
8,11,percent,,3,0.2592997996733091
9,1,percent,,16,0.1256543930622759
9,2,percent,,14,0.11787997090345251
9,3,percent,,13,0.1069105382920542
9,4,percent,,11,0.15336627120558782
9,5,percent,,10,0.10868386253769827
9,6,percent,,9,0.15242915370461915
9,7,percent,,7,0.11670036937762905
9,8,percent,,5,0.17665003754133687
9,9,percent,,4,0.2421548467526533
9,10,percent,,3,0.28475244810884304
10,1,percent,,11,0.09411073332506693
10,2,percent,,11,0.10931443246758968
10,3,percent,,10,0.08527546925495841
10,4,percent,,9,0.1409217677028645
10,5,percent,,8,0.11381995283242917
10,6,percent,,7,0.14158334275773687
10,7,percent,,6,0.21050580364716137
10,8,percent,,5,0.16697490654548977
10,9,percent,,4,0.2245342350259084
10,10,percent,,3,0.3149170840341497
11,1,percent,,12,0.13995476530039896
11,2,percent,,11,0.07566160783642596
11,3,percent,,10,0.10900447808237851
11,4,percent,,9,0.09973430850035024
11,5,percent,,8,0.13922865894701875
11,6,percent,,7,0.11946459663287584
11,7,percent,,6,0.24149889229085889
11,8,percent,,5,0.28102194347302517
11,9,percent,,4,0.23980212821830427
11,10,percent,,3,0.25453123120139276
12,1,percent,,11,0.09555221076516178
12,2,percent,,11,0.1735952138340729
12,3,percent,,10,0.08510650745034869
12,4,percent,,9,0.12520669149273914
12,5,percent,,8,0.1910998799787904
12,6,percent,,7,0.13642588389456314
12,7,percent,,6,0.2501047185104692
12,8,percent,,5,0.22178653699768702
12,9,percent,,4,0.18307726959158832
12,10,percent,,3,0.33333333333333337
13,1,percent,,12,0.11524362099614299
13,2,percent,,11,0.14363247703883752
13,3,percent,,10,0.13570568908681868
13,4,percent,,9,0.11572194413966264
13,5,percent,,8,0.09519776892708784
13,6,percent,,7,0.15956653328227793
13,7,percent,,6,0.16456918580470759
13,8,percent,,5,0.12582650376850849
13,9,percent,,4,0.2148711037212967
13,10,percent,,3,0.25000001994754006
14,1,percent,,12,0.12867964451293357
14,2,percent,,12,0.10461441617485302
14,3,percent,,11,0.13060704298697817
14,4,percent,,10,0.13044597706848052
14,5,percent,,9,0.1288208354453969
14,6,percent,,8,0.11537202345851508
14,7,percent,,7,0.12411237428814957
14,8,percent,,6,0.13051707559610082
14,9,percent,,4,0.24998447154235248
14,10,percent,,3,0.33333333333333337
15,1,percent,,13,0.07088771931212116
15,2,percent,,12,0.1168646522536497
15,3,percent,,11,0.12486690166402906
15,4,percent,,9,0.13755435453745912
15,5,percent,,8,0.11131775247404425
15,6,percent,,8,0.16731487969283082
15,7,percent,,7,0.11053454045896426
15,8,percent,,7,0.09995385561020625
15,9,percent,,5,0.14766997792081243
15,10,percent,,3,0.25170916261218307
16,1,percent,,12,0.059878849521283216
16,2,percent,,12,0.1120280205449177
16,3,percent,,11,0.11798548416087176
16,4,percent,,10,0.13491867994622175
16,5,percent,,9,0.12722921325548964
16,6,percent,,8,0.11741482642046575
16,7,percent,,7,0.1091345765175978
16,8,percent,,6,0.13812703112940672
16,9,percent,,5,0.18446437747379457
16,10,percent,,4,0.33333318334252476
17,1,percent,,12,0.07341778434046103
17,2,percent,,12,0.12713469419001405
17,3,percent,,11,0.11831176596382631
17,4,percent,,10,0.11023554487954897
17,5,percent,,9,0.1367061262418916
17,6,percent,,8,0.12726096108459609
17,7,percent,,8,0.18056003837381301
17,8,percent,,7,0.20677663573267904
17,9,percent,,6,0.15161732597297337
17,10,percent,,5,0.20119784004400437
17,11,percent,,4,0.18191105961169426
18,1,percent,,12,0.0743280236811271
18,2,percent,,11,0.14286853783010517
18,3,percent,,9,0.10512196766931602
18,4,percent,,9,0.07444650807713225
18,5,percent,,9,0.11932058129740675
18,6,percent,,8,0.1281415253654648
18,7,percent,,7,0.10350656512550856
18,8,percent,,6,0.16369564462615982
18,9,percent,,5,0.18877440865287037
18,10,percent,,4,0.293102059161685
19,1,percent,,13,0.0957237573037746
19,2,percent,,12,0.11197842526545139
19,3,percent,,11,0.10388009755156169
19,4,percent,,10,0.16699436018484054
19,5,percent,,9,0.12999781538505972
19,6,percent,,9,0.13015158239274965
19,7,percent,,8,0.1319421504223153
19,8,percent,,7,0.1430042856103294
19,9,percent,,6,0.2156623830303678
19,10,percent,,5,0.15594822002951128
19,11,percent,,4,0.17359050108770702
20,1,percent,,12,0.10272919323019174
20,2,percent,,12,0.12461583601414912
20,3,percent,,11,0.14775564911765948
20,4,percent,,10,0.12047834357113746
20,5,percent,,9,0.1926832321512238
20,6,percent,,8,0.13238131590820082
20,7,percent,,7,0.14409750279386216
20,8,percent,,6,0.214037327089475
20,9,percent,,4,0.24975045514226324
20,10,percent,,3,0.33333333333333337
21,1,percent,,13,0.13936004367987118
21,2,percent,,13,0.10147900510962454
21,3,percent,,10,0.09501032444940098
21,4,percent,,10,0.11778249349534538
21,5,percent,,9,0.1290533140554942
21,6,percent,,9,0.1372595914218565
21,7,percent,,8,0.1315790226916795
21,8,percent,,7,0.10580382946556632
21,9,percent,,6,0.22022348597336266
21,10,percent,,4,0.25027571729274095
21,11,percent,,4,0.3333329157638707
22,1,percent,,12,0.10956356452654603
22,2,percent,,12,0.08172155990083331
22,3,percent,,11,0.08728048197706637
22,4,percent,,10,0.16774027465768937
22,5,percent,,9,0.10342784065765953
22,6,percent,,9,0.0930499496164788
22,7,percent,,8,0.17968700851113037
22,8,percent,,6,0.17314885663327403
22,9,percent,,5,0.17201211791724194
22,10,percent,,3,0.2500000652936054
23,1,percent,,13,0.0863402025732342
23,2,percent,,13,0.1139929398718052
23,3,percent,,12,0.1131532165470698
23,4,percent,,11,0.07249092687352451
23,5,percent,,9,0.13081225433777693
23,6,percent,,9,0.1274777486118329
23,7,percent,,8,0.16030552110178295
23,8,percent,,7,0.17304806193540567
23,9,percent,,6,0.21049245846902095
23,10,percent,,5,0.1981878867518101
23,11,percent,,4,0.2070752229284422
24,1,percent,,12,0.09375485184951113
24,2,percent,,12,0.11147066997350966
24,3,percent,,11,0.1622761616494112
24,4,percent,,10,0.0885245827686834
24,5,percent,,9,0.1477007389017058
24,6,percent,,8,0.15524695215054057
24,7,percent,,7,0.17417248194055865
24,8,percent,,5,0.15798745692416127
24,9,percent,,4,0.2285629596511376
24,10,percent,,3,0.3032604586294635
25,1,percent,,13,0.09795136091169947
25,2,percent,,13,0.10017717243273082
25,3,percent,,11,0.07768142065401859
25,4,percent,,11,0.09003302998659761
25,5,percent,,10,0.12440516044709911
25,6,percent,,9,0.11239722676344673
25,7,percent,,8,0.12242926063689986
25,8,percent,,6,0.15883129596543616
25,9,percent,,5,0.2573301347064863
25,10,percent,,4,0.22533942724395048
26,1,percent,,10,0.1662049875969142
26,2,percent,,8,0.10946567228598172
26,3,percent,,6,0.11784765575267035
26,4,percent,,3,0.2500000262126644
27,1,percent,,13,0.1151585071475061
27,2,percent,,12,0.14035564495764452
27,3,percent,,11,0.10822980682099123
27,4,percent,,10,0.11374349992245301
27,5,percent,,9,0.10262930639361004
27,6,percent,,9,0.1938527180339582
27,7,percent,,8,0.13722846992750898
27,8,percent,,6,0.20201893696490852
27,9,percent,,4,0.2292324787919031
28,1,percent,,12,0.08809539589751035
28,2,percent,,12,0.1326704716612432
28,3,percent,,10,0.12054203780823891
28,4,percent,,10,0.20564203407024106
28,5,percent,,9,0.10335910736615939
28,6,percent,,9,0.1042736244042508
28,7,percent,,8,0.24379598808715036
28,8,percent,,7,0.2251725003099295
28,9,percent,,6,0.2756675431006544
28,10,percent,,5,0.2894510910096688
28,11,percent,,4,0.18518505084434422
29,1,percent,,15,0.09672367797067163
29,2,percent,,15,0.16191214483933053
29,3,percent,,14,0.12397452383124172
29,4,percent,,13,0.21186624978545232
29,5,percent,,12,0.14614518962138315
29,6,percent,,11,0.11276182004023583
29,7,percent,,10,0.15626393648907994
29,8,percent,,8,0.11442635448235791
29,9,percent,,7,0.24970676178017948
29,10,percent,,6,0.2571490373899235
29,11,percent,,4,0.24999998983331503
30,1,percent,,15,0.05801120817527329
30,2,percent,,15,0.14594467478580145
30,3,percent,,14,0.11476414876331562
30,4,percent,,13,0.1636767667092912
30,5,percent,,11,0.18539455217504947
30,6,percent,,10,0.21581625294226675
30,7,percent,,9,0.1710197251763509
30,8,percent,,8,0.1950808660018811
30,9,percent,,6,0.27212589528813796
30,10,percent,,4,0.2291986715123897
31,1,percent,,16,0.08911663973746163
31,2,percent,,15,0.05453399721342567
31,3,percent,,14,0.1373402880769545
31,4,percent,,13,0.1644966998797016
31,5,percent,,12,0.12905559023393176
31,6,percent,,10,0.20014669964040252
31,7,percent,,9,0.10962407848006353
31,8,percent,,8,0.2468778682543136
31,9,percent,,6,0.274250885452024
31,10,percent,,4,0.3333333333333333
32,1,percent,,14,0.1578386931491596
32,2,percent,,13,0.09872891684788071
32,3,percent,,12,0.1690407150655605
32,4,percent,,11,0.19586896287149602
32,5,percent,,10,0.15707520462624325
32,6,percent,,9,0.17870919782376293
32,7,percent,,8,0.25789344878200804
32,8,percent,,7,0.24036844058927612
32,9,percent,,6,0.26523366754807987
32,10,percent,,5,0.15414696770201922
32,11,percent,,5,0.177459669455584
33,1,percent,,13,0.08597693176728488
33,2,percent,,13,0.1618786230720818
33,3,percent,,11,0.18559270710168668
33,4,percent,,9,0.23145429459055436
33,5,percent,,8,0.24314169104436822
33,6,percent,,7,0.18456530494903878
33,7,percent,,6,0.2609631296074394
33,8,percent,,5,0.2200341528779509
33,9,percent,,5,0.1687325133816563
34,1,percent,,14,0.12142588468469115
34,2,percent,,14,0.12484840771276598
34,3,percent,,12,0.17985799709928754
34,4,percent,,11,0.14105276721408747
34,5,percent,,10,0.09292672002688641
34,6,percent,,10,0.1729403343512787
34,7,percent,,9,0.20159320068122208
34,8,percent,,8,0.2514157265399469
34,9,percent,,7,0.22486089602691883
34,10,percent,,6,0.2857639629831984
34,11,percent,,5,0.14443797983743656
1,1,sigmoid,0.3002838681596402,6,0.15048318002269392
1,2,sigmoid,0.3034309941654848,6,0.18811833145289542
1,3,sigmoid,0.3381397859596438,5,0.22673956821761437
1,4,sigmoid,0.5248706003543192,4,0.21159957744928923
1,5,sigmoid,0.675965339930397,3,0.27586034616753463
1,6,sigmoid,0.6979119497225766,2,0.5
2,1,sigmoid,0.30015199380590074,10,0.12742476664545355
2,2,sigmoid,0.3009890492626539,9,0.14627829732319814
2,3,sigmoid,0.3063625566847259,8,0.1309269821194615
2,4,sigmoid,0.3381397859596438,7,0.17234575815056155
2,5,sigmoid,0.46293336001837204,6,0.236860879620566
2,6,sigmoid,0.6270297904774574,5,0.17904268527104394
2,7,sigmoid,0.6867656086445184,4,0.22601318327278822
2,8,sigmoid,0.6979119497225766,3,0.29246411559071495
3,1,sigmoid,0.3001044761276383,11,0.08912092615894032
3,2,sigmoid,0.3004678041060222,10,0.08437520843508661
3,3,sigmoid,0.30208805027742336,9,0.1198309406705018
3,4,sigmoid,0.30919094796401025,8,0.11956573778739751
3,5,sigmoid,0.3381397859596438,7,0.16471709194145137
3,6,sigmoid,0.42832852032984275,5,0.13269132515063103
3,7,sigmoid,0.5716714796701571,5,0.17759786962733906
3,8,sigmoid,0.6618602140403562,4,0.18755512941222774
3,9,sigmoid,0.6908090520359897,3,0.0
3,10,sigmoid,0.6979119497225766,2,0.0
4,1,sigmoid,0.3001044761276383,11,0.0946964887285607
4,2,sigmoid,0.3004678041060222,11,0.08835117624368465
4,3,sigmoid,0.30208805027742336,10,0.10563292270922865
4,4,sigmoid,0.30919094796401025,9,0.1268400047240782
4,5,sigmoid,0.3381397859596438,8,0.11708408326339358
4,6,sigmoid,0.42832852032984275,7,0.18398410383320837
4,7,sigmoid,0.5716714796701571,6,0.20690526305259502
4,8,sigmoid,0.6618602140403562,5,0.1566286881417774
4,9,sigmoid,0.6908090520359897,4,0.22918235355474392
4,10,sigmoid,0.6979119497225766,3,0.2592819917997797
5,1,sigmoid,0.3001044761276383,12,0.08663890243431235
5,2,sigmoid,0.3004678041060222,11,0.07921725231278462
5,3,sigmoid,0.30208805027742336,10,0.13387114448307144
5,4,sigmoid,0.30919094796401025,9,0.08570776282532373
5,5,sigmoid,0.3381397859596438,8,0.13988634542376938
5,6,sigmoid,0.42832852032984275,7,0.13310857951881375
5,7,sigmoid,0.5716714796701571,6,0.12499863852160567
5,8,sigmoid,0.6618602140403562,5,0.2478628500973214
5,9,sigmoid,0.6908090520359897,4,0.28024901911801253
5,10,sigmoid,0.6979119497225766,3,0.3137062677340986
6,1,sigmoid,0.3001044761276383,12,0.10262163094899551
6,2,sigmoid,0.3004678041060222,12,0.12368890708088796
6,3,sigmoid,0.30208805027742336,10,0.10658598008889038
6,4,sigmoid,0.30919094796401025,9,0.11327955852975627
6,5,sigmoid,0.3381397859596438,8,0.1250021849171953
